Orthogroup	Noccaea_praecox	Arabidopsis_thaliana
OG0000003	Np005G3039000	AT1G43760.1
OG0000008	Np001G0535300	AT3G51690.1, AT3G51700.1
OG0000009	Np004G2021700	AT1G10000.1
OG0000009	Np002G0744000	AT2G06845.1
OG0000016	Np008G4282100	AT2G12880.1
OG0000020	Np003G1713100	AT2G06420.1
OG0000021	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200	AT1G52950.1
OG0000022	Np004G2449100	AT1G12300.1, AT1G12775.1
OG0000022	Np005G3189900	AT5G41170.1
OG0000024	Np001G0579500, Np001G0579400	AT3G56890.1, AT3G57580.1, AT3G57590.1
OG0000027	Np003G1806500	AT4G11470.2
OG0000027	Np005G2838800	AT4G23210.3
OG0000028	Np003G1643200	AT4G13680.1
OG0000028	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300	AT5G54450.1
OG0000028	Np003G1604900	AT5G52930.1, AT5G52940.1, AT5G54560.1, AT5G54550.1
OG0000030	Np001G0090700	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1
OG0000030	Np004G2249500, Np004G2249800	AT3G14030.1
OG0000030	Np007G4070000	AT3G13680.1
OG0000034	Np005G2840700, Np005G2840600	AT4G23180.1
OG0000035	Np004G2088100, Np005G3165600	AT2G07240.1
OG0000035	Np002G1060000, Np001G0383600, Np002G0991100, Np005G2830800, Np002G1134400, Np004G2299800, Np002G1000600, Np002G0894300, Np002G1040100, Np006G3284300, Np007G3930600, Np002G0953600, Np003G1528700, Np001G0239800, Np002G1120800, Np004G2470200, Np002G0910400, Np005G2829500, Np004G2306200, Np004G2311400, Np004G2256500	AT4G04957.1
OG0000038	Np007G3978400	AT4G23160.2
OG0000040	Np006G3694800, Np006G3353400	AT1G60720.1, AT1G33710.1
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	AT3G31910.1, AT5G28810.1, AT2G10260.1, AT1G37020.1, AT5G45570.1, AT4G08430.1
OG0000048	Np006G3644800, Np002G0926400	AT3G49440.1
OG0000051	Np006G3285800, Np006G3285900, Np006G3286000	AT2G42455.1
OG0000051	Np003G1730300	AT2G42480.1
OG0000052	Np001G0218600	AT3G26930.2, AT3G26920.1
OG0000052	Np002G0839600	AT3G26922.1
OG0000055	Np006G3336100, Np006G3338700, Np003G1875300	AT3G19470.1, AT3G22770.1
OG0000055	Np007G3923100, Np007G3922500	AT3G17620.1, AT3G18120.1
OG0000055	Np007G3753300	AT2G17830.1, AT5G42460.1
OG0000056	Np002G1201900, Np002G1202000, Np002G1202100	AT1G62120.1
OG0000056	Np002G1191800, Np002G1192300, Np002G1195300	AT1G61980.1, AT1G61970.1
OG0000056	Np005G3136000, Np001G0467300	AT3G46950.1
OG0000060	Np003G1526800	AT3G53730.1
OG0000060	Np001G0460200	AT2G28740.1
OG0000061	Np003G1795500	AT5G12450.1
OG0000061	Np005G2786700	AT4G27050.1
OG0000061	Np005G3181500, Np005G3181600, Np002G1245500	AT2G29910.6
OG0000061	Np002G1245100, Np002G1245200	AT1G64540.1, AT5G35995.1
OG0000065	Np005G3146600	AT5G39030.1, AT5G39020.1
OG0000066	Np004G2500100, Np003G1367200	AT1G09200.1
OG0000066	Np005G2623400, Np003G1374000, Np005G2623300, Np007G3771600, Np002G0777800	AT5G10980.1
OG0000068	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600	AT3G09160.1
OG0000069	Np006G3706900, Np006G3707500	AT3G62850.1
OG0000069	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500	AT5G35640.1, AT1G01355.1
OG0000070	Np007G3899300, Np001G0248800	AT1G10230.1, AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1
OG0000070	Np004G2353400	AT1G20140.1, AT2G25700.1
OG0000070	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400	AT1G75950.1
OG0000070	Np004G1988500	AT3G60010.1
OG0000073	Np003G1524100	AT2G11035.1
OG0000075	Np005G2617300	AT4G39580.1
OG0000076	Np005G2608900	AT4G38940.1
OG0000077	Np001G0381300	AT5G45220.1
OG0000077	Np002G1125900	AT1G57670.1
OG0000077	Np002G1121700	AT1G57850.1
OG0000077	Np002G1126100	AT1G57830.1
OG0000078	Np007G4214700	AT3G03850.1, AT3G03830.1
OG0000079	Np004G2152100, Np004G2296400, Np004G2253500	AT2G07190.1
OG0000081	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300	AT2G37125.1, AT1G48285.1
OG0000081	Np005G2602400	AT3G30165.1
OG0000086	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000	AT5G37890.1
OG0000086	Np002G0867100	AT1G66620.1, AT1G66630.1
OG0000089	Np001G0109800	AT5G23860.1
OG0000089	Np005G2870600	AT5G62700.1, AT5G62690.1
OG0000089	Np006G3501600, Np008G4281600	AT2G29550.1
OG0000089	Np003G1391100	AT5G12250.1
OG0000089	Np001G0399300	AT5G44340.1
OG0000089	Np005G2871200	AT4G20890.1
OG0000089	Np002G0774400	AT1G75780.1
OG0000091	Np003G1487100	AT5G20480.1
OG0000091	Np001G0528700	AT5G39390.1
OG0000095	Np006G3660300	AT1G64840.1
OG0000095	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600	AT2G24250.1
OG0000096	Np007G3726500	AT1G25141.1
OG0000098	Np007G3793600	AT2G14500.1
OG0000098	Np001G0116500, Np001G0115500	AT1G27540.1, AT1G27580.1, AT1G27550.1, AT2G24080.1
OG0000100	Np002G1231900	AT5G38850.1, AT1G63730.1, AT1G63740.2, AT4G14370.2, AT1G64070.1, AT2G16870.1
OG0000102	Np003G1716100	AT4G03635.1
OG0000102	Np003G1850200	AT5G52480.1
OG0000102	Np003G1849500, Np003G1850000	AT4G05460.1
OG0000105	Np002G0893000, Np002G0893200	AT4G04110.1
OG0000106	Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100, Np004G1932400, Np002G1206600, Np002G0931500, Np004G2006800, Np006G3285600, Np006G3356100, Np002G0934000, Np001G0450200, Np001G0254300, Np001G0468300, Np003G1838400, Np002G1216700, Np001G0108100, Np004G2551200, Np004G1924900, Np003G1364100, Np004G1973500, Np001G0080600	AT2G07760.1
OG0000107	Np007G3984500	AT2G27010.1, AT2G27000.1
OG0000107	Np005G3056200	AT5G47990.1, AT4G15350.1, AT3G20940.1, AT3G20950.1
OG0000107	Np007G3984300	AT4G15380.1, AT3G20080.1
OG0000108	Np006G3369500, Np001G0565800	AT3G53750.1, AT2G37620.1
OG0000108	Np001G0462100	AT3G46520.1, AT5G59370.1
OG0000108	Np007G4093400	AT3G12110.1
OG0000108	Np003G1360400	AT5G09810.1
OG0000108	Np007G3950400	AT3G18780.2
OG0000110	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300	AT1G36510.1, AT3G32260.1
OG0000111	Np005G3154700	AT4G01380.1
OG0000114	Np002G1018000	AT1G36970.1, AT4G05555.1, AT3G31560.1, AT1G36230.1, AT2G07280.1
OG0000116	Np002G1124800	AT1G14800.1
OG0000117	Np004G2300400	AT1G23640.1, AT1G23660.1
OG0000117	Np004G2299300	AT1G23590.1
OG0000117	Np004G2300300	AT1G23690.1
OG0000117	Np004G2300200	AT1G23570.2, AT1G23580.1
OG0000118	Np002G0786200	AT1G65990.1, AT4G10740.1
OG0000118	Np004G1992500, Np006G3383100	AT3G22940.1, AT3G22421.1, AT3G22870.1
OG0000119	Np001G0493200	AT2G16520.1
OG0000121	Np006G3447000, Np005G2954700, Np011G4358600, Np004G2590300, Np002G0965100, Np006G3634700, Np005G2842000, Np001G0527800, Np001G0451100, Np008G4283900, Np005G2906600, Np007G4117800, Np002G0941800, Np002G0951800, Np005G2957200, Np005G3191500, Np004G2402900, Np002G0954000, Np002G0904100, Np001G0559000, Np006G3382900, Np005G3087600, Np002G0877900, Np006G3278500, Np004G2331700, Np006G3451400, Np005G2604800, Np006G3604300	AT2G01050.1
OG0000122	Np003G1578000	AT1G32375.1
OG0000123	Np003G1843300	AT5G51105.1
