Orthogroup	Alyssum_gmelinii	Conringia_planisiliqua
OG0000000	Ag002G167150	CP3_g15530_DN1_SP0_c.t1
OG0000002	Ag005G410720	CP13_g20669_DN2_SP0_c.t1
OG0000003	Ag003G271610	CP1_g40746_DN3_SP0_c.t1, CP25_g56009_DN2_SP0_c.t1, CP12_g30974_DN2_SP0_c.t1
OG0000003	Ag007G647490	CP14_g22595_DN2_SP0_c.t1
OG0000004	Ag002G133140	CP6_g8613_DN2_SP0_c.t1, CP6_g8047_DN1_SP0_c.t1
OG0000004	Ag005G473260, Ag001G034430, Ag003G239450	CP36_g50963_DN2_SP0_c.t1
OG0000004	Ag005G427550	CP6_g8147_DN1_SP0_c.t1, CP24_g47044_DN1_SP0_c.t1, CP1_g40632_DN1_SP0_c.t1, CP3_g15136_DN1_SP0_c.t1
OG0000005	Ag005G434290	CP12_g31672_DN2_SP0_c.t1
OG0000005	Ag005G414560, Ag002G110220, Ag005G402610	CP3_g16492_DN1_SP0_c.t1
OG0000005	Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760	CP4_g26233_DN2_SP0_c.t1
OG0000005	Ag005G402580, Ag007G622540	CP15_g34531_DN3_SP0_c.t1
OG0000005	Ag003G254650, Ag008G663850, Ag004G399930, Ag002G157290, Ag001G061510, Ag004G314920	CP18_g12172_DN1_SP0_c.t1
OG0000005	Ag004G390840, Ag004G351220, Ag006G508910	CP27_g41816_DN1_SP0_c.t1
OG0000005	Ag003G238120	CP15_g35524_DN2_SP0_c.t1
OG0000005	Ag001G040530	CP6_g9755_DN1_SP0_c.t1
OG0000005	Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130	CP9_g27694_DN1_SP0_c.t1
OG0000005	Ag005G488800	CP4_g26138_DN1_SP0_c.t1
OG0000007	Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540	CP18_g11997_DN3_SP0_c.t1
OG0000007	Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220	CP2_g50571_DN2_SP0_c.t1
OG0000007	Ag003G269320	CP3_g14987_DN2_SP0_c.t1, CP5_g2400_DN1_SP0_c.t1
OG0000007	Ag001G051310	CP2_g49679_DN1_SP0_c.t1, CP6_g9325_DN2_SP0_c.t1, CP5_g2385_DN1_SP0_c.t1
OG0000007	Ag008G681210	CP3_g14603_DN1_SP0_c.t1, CP8_g52821_DN1_SP0_c.t1
OG0000007	Ag006G520850, Ag003G220210	CP2_g50561_DN2_SP0_c.t1
OG0000007	Ag001G006450, Ag006G516390	CP7_g44193_DN1_SP0_c.t1, CP18_g12259_DN2_SP0_c.t1, CP3_g14989_DN1_SP0_c.t1
OG0000007	Ag004G330770, Ag002G136200, Ag001G003030	CP1_g40811_DN1_SP0_c.t1
OG0000007	Ag002G132800	CP1_g40809_DN2_SP0_c.t1, CP84_g51830_DN2_SP0_c.t1, CP4_g26146_DN1_SP0_c.t1, CP17_g5534_DN1_SP0_c.t1, CP4_g26293_DN1_SP0_c.t1, CP8_g52685_DN1_SP0_c.t1, CP16_g55411_DN2_SP0_c.t1, CP6_g7625_DN1_SP0_c.t1, CP5_g2122_DN2_SP0_c.t1, CP18_g12295_DN2_SP0_c.t1, CP6_g8492_DN3_SP0_c.t1, CP15_g35528_DN1_SP0_c.t1, CP9_g28197_DN3_SP0_c.t1
OG0000008	Ag001G015890	CP7_g44274_DN3_SP0_c.t1
OG0000012	Ag005G452520, Ag007G638410, Ag007G621260, Ag005G417190, Ag003G250790	CP35_g52033_DN3_SP0_c.t1
OG0000013	Ag006G559810	CP26_g51269_DN2_SP0_c.t1
OG0000013	Ag004G396400, Ag004G380450	CP14_g22654_DN2_SP0_c.t1
OG0000015	Ag002G110750	CP18_g12234_DN1_SP0_c.t1, CP7_g44210_DN2_SP0_c.t1, CP7_g44211_DN2_SP0_c.t1
OG0000015	Ag008G676660	CP27_g41927_DN1_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP1_g39589_DN1_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP3_g15512_DN1_SP0_c.t1, CP3_g15767_DN1_SP0_c.t1
OG0000015	Ag004G376340	CP9_g28055_DN1_SP0_c.t1
OG0000015	Ag008G675720	CP12_g31767_DN3_SP0_c.t1
