Orthogroup	Cardamine_amara	Brassica_rapa
OG0000000	evm.model.RL_6.432	XP_033131490.1
OG0000000	evm.model.RL_4.710	XP_033142309.1
OG0000000	evm.model.RL_6.904, evm.model.RL_8.1136	XP_033138907.1, XP_033138951.1, XP_009139525.2, XP_033139209.1, XP_033139378.1
OG0000000	evm.model.RL_3.1103	XP_033132417.1
OG0000000	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582	XP_033146645.1
OG0000000	evm.model.RL_8.1072	XP_033147168.1, XP_033136031.1, XP_033137222.1, XP_033132105.1
OG0000000	evm.model.RL_2.1335	XP_033129977.1, XP_033146608.1, XP_033129968.1
OG0000000	evm.model.RL_5.2579, evm.model.RL_3.1102, evm.model.RL_6.1374	XP_033131705.1
OG0000002	evm.model.RL_1.3300, evm.model.RL_1.3293	XP_033138748.1
OG0000003	evm.model.RL_2.1084	XP_033147287.1
OG0000003	evm.model.RL_2.667, evm.model.RL_2.693, evm.model.RL_7.2022, evm.model.RL_2.688, evm.model.RL_8.1019, evm.model.RL_8.1021, evm.model.RL_1.2656, evm.model.RL_8.1024, evm.model.RL_1.2650, evm.model.RL_8.1013	XP_033145199.1, XP_033139537.1
OG0000003	evm.model.RL_6.1194	XP_009113007.1
OG0000003	evm.model.RL_2.709	XP_033139262.1, XP_033139474.1, XP_033139183.1
OG0000003	evm.model.RL_6.652	XP_033138884.1, XP_033144133.1, XP_033138943.1, XP_033138945.1
OG0000003	evm.model.RL_1.2633	XP_033139261.1
OG0000004	evm.model.RL_2.303	XP_009124577.2
OG0000005	evm.model.RL_2.1105	XP_033128715.1
OG0000005	evm.model.RL_1.1903	XP_009117682.2
OG0000006	evm.model.RL_1.2522	XP_033138798.1, XP_033143316.1
OG0000006	evm.model.RL_2.3087, evm.model.RL_5.3322	XP_018509939.2, XP_033128792.1, XP_033147221.1, XP_033145376.1
OG0000006	evm.model.RL_5.2330	XP_009129528.2, XP_033133945.1, XP_033131419.1, XP_009120498.3, XP_033136681.1, XP_033146098.1, XP_033133923.1, XP_033136572.1, XP_018512878.2, XP_033141791.1, XP_033129838.1, XP_033145000.1, XP_033132451.1, XP_033141771.1, XP_033140064.1, XP_033134351.1, XP_033134269.1, XP_033141317.1, XP_033143215.1, XP_033143219.1, XP_033129449.1, XP_033143046.1, XP_033146928.1, XP_009103805.2, XP_033131533.1, XP_033141483.1, XP_033139072.1, XP_033147020.1, XP_033139845.1
OG0000007	evm.model.RL_2.508	XP_033134315.1
OG0000007	evm.model.RL_2.539	XP_033132438.1, XP_033128765.1, XP_033146952.1, XP_009108636.2
OG0000007	evm.model.RL_2.2279	XP_033131903.1, XP_009103419.1
OG0000007	evm.model.RL_2.556	XP_009103405.1, XP_009103791.2
OG0000008	evm.model.RL_4.1914	XP_033145226.1, XP_018513989.2, XP_033139890.1, XP_033129084.1, XP_033145197.1, XP_033129879.1, XP_033140569.1, XP_033140184.1
OG0000010	evm.model.RL_6.734, evm.model.RL_8.1076	XP_033143861.1, XP_033137204.1
OG0000010	evm.model.RL_5.2592, evm.model.RL_2.396, evm.model.RL_5.2483	XP_033143393.1
OG0000011	evm.model.RL_6.446	XP_033139230.1, XP_033145505.1, XP_018512892.1, XP_033132935.1, XP_033143315.1, XP_018508590.1, XP_033145249.1, XP_033129464.1, XP_033148485.1, XP_033142991.1, XP_018512230.2, XP_033145320.1, XP_009139681.1
OG0000012	evm.model.RL_7.2040	XP_033139020.1
OG0000013	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641	XP_009108251.2, XP_033131804.1, XP_033131809.1, XP_033146254.1, XP_033139285.1
OG0000013	evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397	XP_033138760.1, XP_009124167.1, XP_033134220.1, XP_033148484.1, XP_033131813.1, XP_009123338.2, XP_033131808.1, XP_033133991.1, XP_033131108.1, XP_033129945.1, XP_033143385.1, XP_033139571.1, XP_033143261.1, XP_033139051.1, XP_033134223.1, XP_033146993.1, XP_033147620.1, XP_009123559.2, XP_033129441.1
OG0000014	evm.model.RL_1.2917	XP_009107741.1
OG0000014	evm.model.RL_3.2283	XP_009128583.2, XP_033138826.1
OG0000014	evm.model.RL_7.2497	XP_033138570.1
OG0000015	evm.model.RL_7.2535	XP_033146229.1, XP_033139829.1
OG0000015	evm.model.RL_1.2714	XP_033143581.1, XP_018509525.1, XP_033143451.1
OG0000019	evm.model.RL_7.2531	XP_033128807.1
OG0000019	evm.model.RL_1.2654	XP_009117181.1, XP_033148528.1, XP_018509802.2, XP_009124475.1, XP_033144190.1
OG0000019	evm.model.RL_7.2268	XP_033136826.1, XP_033143864.1, XP_033143559.1, XP_033130890.1, XP_033128834.1
OG0000020	evm.model.RL_7.2127	XP_033134048.1
OG0000020	evm.model.RL_8.1178	XP_033134461.1
OG0000020	evm.model.RL_2.3364	XP_033142724.1, XP_033143202.1, XP_009135997.2, XP_009150787.2, XP_033135162.1, XP_033128356.1, XP_033144111.1, XP_033143832.1, XP_033140358.1
OG0000021	evm.model.RL_4.3275, evm.model.RL_5.2792	XP_009119509.1, XP_009113517.1, XP_033146211.1, XP_033131873.1, XP_033142170.1, XP_033143214.1, XP_033146253.1
OG0000023	evm.model.RL_2.1848	XP_009136778.1, XP_009136797.2
OG0000023	evm.model.RL_2.1849	XP_033143898.1
OG0000023	evm.model.RL_2.1831	XP_009136911.1
OG0000023	evm.model.RL_2.1843	XP_009139620.1
OG0000023	evm.model.RL_2.1842	XP_009137326.1, XP_009137327.1, XP_009108600.1
OG0000023	evm.model.RL_8.636	XP_033142038.1
OG0000023	evm.model.RL_8.624, evm.model.RL_8.626, evm.model.RL_8.623, evm.model.RL_8.630	XP_009108168.1
OG0000023	evm.model.RL_2.1829, evm.model.RL_2.1830	XP_033144191.1
OG0000023	evm.model.RL_2.1825.3.687c86e4	XP_009114807.1
OG0000025	evm.model.RL_2.3111	XP_018509211.2
OG0000026	evm.model.RL_2.467, evm.model.RL_1.1627, evm.model.RL_1.2710	XP_009111790.1
OG0000026	evm.model.RL_7.315	XP_033134215.1, XP_033145240.1, XP_009131311.3, XP_033130741.1, XP_033133225.1, XP_033134481.1, XP_033135508.1, XP_033128962.1, XP_033129465.1, XP_009113561.2, XP_033130697.1, XP_033140694.1, XP_033139907.1, XP_033139909.1, XP_033141132.1
OG0000027	evm.model.RL_5.2839	XP_033132209.1
OG0000027	evm.model.RL_7.603, evm.model.RL_7.580	XP_009116539.1
OG0000028	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115	XP_009119478.1
OG0000028	evm.model.RL_4.1689	XP_009105534.2, XP_033129358.1, XP_009106480.1, XP_009102786.1, XP_009111952.1, XP_009118510.1, XP_009103430.1, XP_009103792.1, XP_033136629.1, XP_033138230.1, XP_033138123.1, XP_033128758.1, XP_009107501.2, XP_033129930.1, XP_009113849.2, XP_009124763.2, XP_009146105.1, XP_009115704.1, XP_033147848.1, XP_009130032.1, XP_009101982.1, XP_009151013.1, XP_033141106.1, XP_009145551.2, XP_009115654.1, XP_009132264.1, XP_009123077.2, XP_009121319.1, XP_033138742.1, XP_009145179.2, XP_009150817.2, XP_009138126.1, XP_009144174.1, XP_033141711.1, XP_033144745.1, XP_009137703.2, XP_009150036.1
OG0000029	evm.model.RL_4.797	XP_033135931.1
OG0000029	evm.model.RL_2.306	XP_033130775.1
OG0000030	evm.model.RL_5.2342	XP_033148072.1
OG0000030	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258	XP_009138234.2, XP_033131226.1
OG0000031	evm.model.RL_3.758	XP_009112698.1
OG0000033	evm.model.RL_2.1834, evm.model.RL_2.1824	XP_009108047.1, XP_009109092.2, XP_009136929.1, XP_009137321.1
OG0000033	evm.model.RL_2.1847, evm.model.RL_2.1846	XP_033143795.1
OG0000033	evm.model.RL_2.1820_evm.model.RL_2.1823	XP_009137317.1
OG0000033	evm.model.RL_8.413	XP_033136442.1
OG0000034	evm.model.RL_5.2588	XP_033143708.1, XP_033133157.1, XP_009145453.2, XP_033138396.1
OG0000034	evm.model.RL_4.675	XP_033139273.1, XP_033139162.1
OG0000036	evm.model.RL_5.2564	XP_033147285.1
OG0000036	evm.model.RL_2.742, evm.model.RL_2.665	XP_033134311.1, XP_033143404.1, XP_033148539.1, XP_033138233.1, XP_033131792.1, XP_033138465.1, XP_033148531.1, XP_033145221.1, XP_033139492.1, XP_033134400.1, XP_033139188.1, XP_033137200.1, XP_033141098.1, XP_033130753.1, XP_033148815.1, XP_033134234.1, XP_033134349.1, XP_033131195.1, XP_033129412.1, XP_033131764.1, XP_033139241.1, XP_033134272.1, XP_033129427.1, XP_033131918.1, XP_033139143.1, XP_033131462.1, XP_033131993.1, XP_009145099.2, XP_033131591.1, XP_033143352.1, XP_033139240.1, XP_033148558.1, XP_009150325.2, XP_033133377.1, XP_033131067.1, XP_033136880.1
OG0000037	evm.model.RL_3.518	XP_033139739.1
OG0000040	evm.model.RL_3.1121	XP_033138328.1, XP_033137984.1, XP_009141814.1
OG0000042	evm.model.RL_3.1074, evm.model.RL_8.1561, evm.model.RL_3.1047	XP_018512880.1
OG0000042	evm.model.RL_7.1972	XP_033148631.1
OG0000042	evm.model.RL_6.2221	XP_018513078.1
OG0000043	evm.model.RL_1.2849	XP_033129392.1
OG0000043	evm.model.RL_3.816	XP_033142356.1
OG0000043	evm.model.RL_2.394	XP_033133347.1, XP_033148483.1, XP_033141137.1
OG0000044	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682	XP_033147280.1, XP_033143224.1, XP_009114167.2, XP_033148557.1, XP_018512849.2, XP_033129976.1, XP_009129598.2, XP_033148784.1, XP_033131827.1, XP_033139854.1, XP_033131463.1, XP_033140741.1, XP_033146209.1, XP_033136827.1, XP_033147039.1, XP_033132745.1, XP_033146848.1, XP_033141133.1
OG0000044	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226, evm.model.RL_2.659	XP_033141811.1, XP_033147696.1, XP_009145895.1
OG0000045	evm.model.RL_7.883, evm.model.RL_8.1002	XP_033148599.1
OG0000045	evm.model.RL_1.930	XP_033141109.1, XP_009111364.2, XP_009114439.1, XP_009109995.2, XP_033129467.1
OG0000046	evm.model.RL_2.391	XP_009140044.1
OG0000046	evm.model.RL_2.1379	XP_033142550.1
