Orthogroup	Noccaea_praecox	Aethionema_saxatile
OG0000000	Np002G098530, Np005G303500, Np004G209310, Np005G297590, Np007G399430	As006G148660, As007G164610, As002G036700, As010G230770
OG0000000	Np003G178670	As011G257780
OG0000002	Np006G346800, Np002G102950	As004G091170
OG0000003	Np006G346520, Np007G404330, Np005G296980, Np008G429060, Np001G031010, Np002G099380, Np001G029010	As008G191470
OG0000003	Np009G429960, Np003G168500	As003G066710
OG0000003	Np009G429910	As010G230320
OG0000003	Np003G172810	As012G280070
OG0000004	Np002G100200	As007G177100
OG0000004	Np002G096870, Np002G110370, Np001G020590	As009G212350
OG0000005	Np006G355750, Np002G110360	As012G278720
OG0000006	Np002G092120	As011G261190
OG0000006	Np003G145740, Np005G313160, Np008G427000	As010G228090
OG0000008	Np005G291850	As007G166140
OG0000011	Np001G009230, Np006G351190	As007G165830, As002G041210
OG0000011	Np006G351200, Np005G282850, Np003G155300, Np004G199380, Np001G031320, Np007G398170, Np004G218590, Np007G395120, Np007G375140, Np006G340490, Np002G120850, Np007G415950, Np004G191040, Np004G237170, Np007G414490, Np003G184190, Np004G197460, Np003G163790	As011G266350, As011G266360
OG0000011	Np001G018210	As002G042220
OG0000013	Np002G102600, Np003G173130	As010G228550, As010G230420, As010G230620, As001G011830, As003G066230, As001G010630, As007G166800, As001G010860, As002G040060, As006G147900, As012G279880, As010G230200
OG0000015	Np005G274380, Np007G402630, Np008G427030	As010G225860
OG0000017	Np003G171300	As011G261070, As010G227380
OG0000017	Np005G282110, Np005G282180, Np007G396400	As003G065780
OG0000019	Np001G027620	As010G228470, As001G007070
OG0000019	Np004G239770	As012G281430, As001G013530
OG0000021	Np005G303890	As002G035760, As001G004280
OG0000021	Np004G199140	As011G259540, As001G012170, As001G005040
OG0000021	Np007G402490, Np003G147560, Np002G120150, Np002G109960, Np003G148260	As003G071480, As010G232120
OG0000023	Np005G284010	As003G061350
OG0000026	Np003G171320	As007G165250
OG0000027	Np002G093210	As003G071520, As009G213600, As009G213690, As003G069630, As008G195350, As003G071510, As003G071530, As003G071500, As003G071450, As007G154190, As004G087790, As010G224770, As010G236950, As010G241770, As010G241150, As009G213720, As009G213770, As009G213640, As009G213620, As009G216140, As003G071490, As007G178010, As004G090610
OG0000029	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900	As001G005440
OG0000029	Np002G073630	As001G005430
OG0000029	Np003G169850, Np001G030650, Np001G034960, Np004G225420, Np001G003630, Np001G034950	As004G091740, As005G109110
OG0000029	Np003G167270	As004G091750, As003G064310
OG0000029	Np003G172510	As008G192170
OG0000030	Np004G229860	As011G260570, As011G260600, As010G228030, As011G258250
OG0000030	Np003G173700	As001G013020
OG0000031	Np005G318980	As006G134510
OG0000033	Np005G284050, Np005G284060	As003G061230, As003G061200, As003G061190, As003G061240
OG0000033	Np005G283820, Np005G284140, Np005G284150, Np005G284160	As003G061210, As003G061160
OG0000035	Np005G313520	As005G105710, As005G106260, As012G269410
OG0000036	Np006G350450	As012G279790, As002G038510, As005G109970, As010G231320, As003G065720, As012G280900
OG0000037	Np002G110300, Np005G302190	As009G206430
OG0000038	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	As009G211050, As009G210990, As009G210820
OG0000038	Np003G165810, Np005G318000	As007G157540
OG0000041	Np003G171490, Np002G100930	As002G037900
OG0000043	Np008G426930	As010G230440, As005G110900
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	As011G256610, As008G193400, As002G039990, As001G010200, As007G166870, As011G258960, As005G108690, As002G051140, As011G259700, As009G206660, As011G259030, As002G039110
OG0000048	Np007G421470	As006G137110, As006G137010, As006G136980
OG0000048	Np003G145430, Np003G145400, Np003G145550, Np003G145440, Np003G145490, Np003G145410	As001G017720, As001G017740, As001G017730, As001G017710
OG0000049	Np002G120530	As002G044530
OG0000053	Np002G100500, Np004G233450, Np007G396260	As011G257960, As001G007050, As012G281440, As010G228180, As008G190210, As007G176800, As001G006000, As005G110970, As002G037180, As008G190350, As001G001110, As002G040700, As007G164190, As007G164220, As007G179360, As008G193110
OG0000054	Np004G255790	As007G163390, As001G010300
OG0000055	Np001G046730	As001G022050
OG0000056	Np005G282430	As007G178620
