Orthogroup	Brassica_rapa	Alyssum_gmelinii
OG0000000	XP_033139509.1, XP_033139502.1, XP_033139347.1	Ag006G573260
OG0000000	XP_033139403.1, XP_033134206.1, XP_033139196.1, XP_033129935.1, XP_033134263.1, XP_033133987.1, XP_033142456.1, XP_033145865.1	Ag004G340890, Ag001G084200
OG0000000	XP_033141125.1, XP_033140369.1, XP_033148095.1	Ag002G196660
OG0000000	XP_033140624.1, XP_033129388.1, XP_033130766.1	Ag002G167150
OG0000000	XP_033129977.1, XP_033146608.1, XP_033129968.1, XP_033131705.1	Ag007G637890, Ag001G032720
OG0000003	XP_033147287.1	Ag001G024370
OG0000003	XP_009113007.1	Ag007G591720
OG0000003	XP_033139262.1, XP_033139474.1, XP_033139183.1	Ag004G365940
OG0000003	XP_033134418.1, XP_033139330.1, XP_033138479.1, XP_033139207.1, XP_033131095.1, XP_033139140.1, XP_033139380.1, XP_033139238.1, XP_033139286.1, XP_033139473.1, XP_033139210.1, XP_033142139.1, XP_033138944.1, XP_033139394.1, XP_033139482.1, XP_033139545.1, XP_033139261.1, XP_033139353.1, XP_033138946.1, XP_033139489.1, XP_033141152.1, XP_033139497.1	Ag007G647490
OG0000004	XP_033130110.1, XP_009123632.2, XP_009150012.1, XP_009106474.1	Ag005G427550
OG0000004	XP_033148785.1, XP_033147600.1, XP_033145007.1, XP_033136130.1, XP_033140697.1, XP_033146511.1, XP_033134232.1, XP_033135264.1, XP_033130565.1, XP_033138684.1, XP_033134820.1, XP_033148015.1, XP_033142632.1, XP_033131605.1, XP_033131962.1, XP_033143073.1	Ag006G503330
OG0000005	XP_009142128.2	Ag007G610690
OG0000005	XP_009102722.2, XP_009113005.2, XP_033131870.1, XP_009135550.2, XP_033134013.1, XP_009146774.1, XP_009139318.2, XP_009124848.1, XP_009140864.1, XP_018509100.1, XP_009129720.1, XP_009122880.1, XP_018513613.1, XP_009147334.1, XP_009117702.1	Ag003G254660
OG0000005	XP_018515150.1	Ag005G414560, Ag002G110220, Ag005G402610, Ag004G325230, Ag002G102270
OG0000005	XP_033141077.1, XP_009142536.1, XP_009111228.2	Ag006G527380
OG0000005	XP_033132529.1	Ag005G402580, Ag007G622540
OG0000007	XP_033134315.1	Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540
OG0000007	XP_033132438.1, XP_033128765.1, XP_033146952.1, XP_009108636.2	Ag006G520850, Ag003G220210
OG0000007	XP_009103419.1	Ag004G330770, Ag002G136200, Ag001G003030
OG0000007	XP_033129351.1, XP_009117187.1	Ag002G132800
OG0000008	XP_033147243.1	Ag002G152740, Ag007G618090, Ag001G039140
OG0000008	XP_033143622.1	Ag001G065030, Ag001G070290
OG0000008	XP_009115858.3, XP_033131438.1, XP_033131838.1	Ag001G015890
OG0000012	XP_033139020.1	Ag003G250900
OG0000012	XP_009139567.2	Ag003G250910
OG0000012	XP_033134273.1	Ag002G161720
OG0000013	XP_033134274.1, XP_033135796.1	Ag001G041140
OG0000014	XP_033139578.1	Ag008G691080
OG0000014	XP_033131958.1, XP_009119511.1, XP_033133218.1	Ag001G020750
OG0000015	XP_033146964.1	Ag002G110750
OG0000015	XP_033136397.1, XP_033137014.1, XP_033138269.1, XP_009113103.2	Ag008G676660
OG0000015	XP_033143581.1, XP_018509525.1, XP_033143451.1	Ag008G687430
OG0000015	XP_018509062.1, XP_009118914.1	Ag004G376340
OG0000015	XP_033130405.1	Ag008G675720
OG0000019	XP_033128807.1	Ag006G545360
OG0000019	XP_033139375.1, XP_033135200.1, XP_018515142.1, XP_033129402.1, XP_033134218.1, XP_033140102.1	Ag007G642200, Ag006G545350
OG0000020	XP_033131579.1, XP_033143189.1, XP_033139131.1, XP_033134440.1, XP_033143500.1, XP_009126581.2, XP_033134407.1, XP_033137139.1, XP_018509024.2, XP_033148489.1, XP_033131448.1, XP_033147249.1, XP_033134268.1, XP_033143197.1, XP_033131889.1, XP_033133939.1, XP_009121348.3, XP_033138010.1, XP_033148490.1	Ag003G281030, Ag003G281020
OG0000021	XP_033143250.1	Ag002G135150
OG0000021	XP_009119509.1, XP_009113517.1, XP_033146211.1, XP_033131873.1, XP_033142170.1, XP_033143214.1, XP_033146253.1	Ag002G201670
OG0000023	XP_009136778.1, XP_009136797.2, XP_033143898.1, XP_009137329.1	Ag006G545600, Ag006G549030
OG0000023	XP_033132923.1, XP_009139620.1, XP_009137326.1, XP_009137327.1, XP_009108600.1	Ag006G569900, Ag006G545580, Ag006G549040
OG0000023	XP_033142038.1	Ag002G145500
OG0000023	XP_009108162.1	Ag002G145450
OG0000023	XP_009137325.1	Ag006G545440
OG0000023	XP_009108593.2, XP_033132924.1, XP_033143803.1, XP_009136374.2, XP_009114807.1, XP_009137330.1	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920
OG0000025	XP_009101849.2, XP_033129787.1, XP_033138374.1, XP_033140823.1, XP_009127106.1, XP_009127105.2, XP_033140818.1	Ag003G230310
OG0000028	XP_009105534.2, XP_033129358.1, XP_009106480.1, XP_009102786.1, XP_009111952.1, XP_009118510.1, XP_009103430.1, XP_009103792.1, XP_033136629.1, XP_033138230.1, XP_033138123.1, XP_033128758.1, XP_009107501.2, XP_033129930.1, XP_009113849.2, XP_009124763.2, XP_009146105.1, XP_009115704.1, XP_033147848.1, XP_009130032.1, XP_009101982.1, XP_009151013.1, XP_033141106.1, XP_009145551.2, XP_009115654.1, XP_009132264.1, XP_009123077.2, XP_009121319.1, XP_033138742.1, XP_009145179.2, XP_009150817.2, XP_009138126.1, XP_009144174.1, XP_033141711.1, XP_033144745.1, XP_009137703.2, XP_009150036.1	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750
OG0000029	XP_033135931.1	Ag002G168100, Ag004G354120
OG0000029	XP_009123725.2, XP_033145957.1, XP_033143361.1, XP_033133927.1	Ag005G441680, Ag006G519730
OG0000029	XP_033140045.1, XP_033135195.1, XP_033133647.1, XP_033145942.1, XP_033134398.1, XP_033140589.1, XP_033146383.1, XP_033145514.1, XP_033137046.1	Ag002G186330, Ag006G491400
OG0000029	XP_033145454.1	Ag003G216290, Ag003G216300
OG0000030	XP_033148072.1	Ag007G611240
OG0000030	XP_033130759.1, XP_033136651.1, XP_033132456.1, XP_018515301.2, XP_033148584.1, XP_033143238.1	Ag002G133450, Ag002G134890, Ag001G003750, Ag007G608580, Ag005G416870, Ag005G452160, Ag002G188880, Ag007G608590, Ag004G348700, Ag001G096020
OG0000030	XP_009120611.1	Ag004G380470
OG0000030	XP_033129992.1	Ag002G167860, Ag004G319940
OG0000030	XP_009108258.2	Ag003G292140
OG0000031	XP_033134453.1	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420
OG0000031	XP_009140073.1	Ag002G111150, Ag002G107580
OG0000031	XP_009112701.1, XP_009118532.1	Ag004G401670
OG0000033	XP_009108047.1, XP_009109092.2, XP_009136929.1, XP_009137321.1	Ag006G547230, Ag006G549390
OG0000033	XP_033135404.1, XP_009137324.1	Ag006G543630, Ag006G543880
OG0000033	XP_009137188.1, XP_009134716.1	Ag006G564890, Ag003G210460
OG0000033	XP_033137152.1, XP_033143973.1	Ag006G548990
OG0000033	XP_009137317.1, XP_009108599.1	Ag006G547380, Ag006G549570
OG0000033	XP_033136442.1	Ag002G130680, Ag002G130760
OG0000034	XP_033133157.1	Ag002G147590, Ag004G329060
OG0000034	XP_009145453.2, XP_033138396.1	Ag005G434950
OG0000034	XP_033139273.1, XP_033139162.1	Ag008G692130, Ag002G161700
OG0000034	XP_033130130.1	Ag002G144820, Ag004G317550, Ag002G142920, Ag003G264010, Ag001G058120, Ag005G440470, Ag005G463260, Ag002G205240
OG0000035	XP_009125775.1	Ag007G589380
OG0000035	XP_033137775.1, XP_033137778.1, XP_033146467.1, XP_033145502.1, XP_033147829.1, XP_033146958.1	Ag004G307250, Ag007G591050, Ag002G132200, Ag007G593340, Ag007G591090, Ag007G591040
OG0000035	XP_033145289.1	Ag006G499210
OG0000035	XP_033145357.1, XP_009141214.1	Ag005G405240, Ag002G183820
OG0000035	XP_033139568.1, XP_009127532.1	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100
OG0000036	XP_033131068.1, XP_033132741.1, XP_033146849.1, XP_009114424.1	Ag006G551100, Ag001G036210
OG0000036	XP_033147285.1	Ag003G262470, Ag003G288580, Ag005G424740
