Orthogroup	Arabis_alpina	Eutrema_salsugineum
OG0000002	Aa_G417360.h1.t1, Aa_G109850.h1.t1	XP_024006551.1
OG0000002	Aa_G166190.h1.t1	XP_024009486.1
OG0000002	Aa_G645190.h1.t1	XP_024011378.1, XP_024009474.1, XP_024005004.1, XP_024016543.1, XP_024006422.1, XP_024013731.1, XP_024014482.1, XP_024013994.1, XP_024016829.1, XP_024004771.1, XP_024007242.1, XP_024009437.1, XP_024016221.1, XP_024016325.1, XP_024006459.1, XP_024010365.1, XP_024006657.1, XP_024004145.1, XP_024013154.1, XP_024004829.1
OG0000002	Aa_G497900.h1.t1, Aa_G169610.h1.t1, Aa_G62810.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G211950.h2.t1, Aa_G211950.h1.t1, Aa_G884540.h1.t1, Aa_G181880.h1.t1, Aa_G945300.h1.t1, Aa_G1002640.h1.t1, Aa_G441820.h1.t1, Aa_G919120.h1.t1, Aa_G934630.h1.t1, Aa_G396950.h1.t1, Aa_G36530.h1.t1, Aa_G571690.h1.t1, Aa_G17980.h1.t1, Aa_G55520.h1.t1, Aa_G450290.h1.t1, Aa_G920110.h1.t1, Aa_G177660.h1.t1, Aa_G395200.h1.t1, Aa_G272260.h1.t1, Aa_G272260.h2.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G294770.h1.t1, Aa_G277830.h1.t1, Aa_G202910.h1.t1	XP_024009451.1, XP_024013993.1, XP_024016193.1, XP_024013954.1, XP_024016116.1, XP_024013210.1, XP_024015869.1, XP_024011258.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024010553.1, XP_024009251.1, XP_024010604.1, XP_024014521.1, XP_024006130.1, XP_024009464.1, XP_024009904.1, XP_024010307.1, XP_024013058.1, XP_024015923.1, XP_024011338.1, XP_024007318.1
OG0000003	Aa_G505500.h1.t1	XP_024006573.1, XP_024005010.1, XP_024016553.1
OG0000004	Aa_G305790.h1.t1	XP_024007302.1
OG0000005	Aa_G418640.h1.t1	XP_024013358.1
OG0000005	Aa_G460620.h1.t1	XP_024010679.1
OG0000005	Aa_G169510.h1.t1	XP_024016342.1, XP_024010922.1, XP_024006399.1, XP_024014499.1, XP_024014528.1, XP_024009400.1, XP_024011296.1, XP_024014507.1
OG0000007	Aa_G711210.h1.t1	XP_024006790.1
OG0000007	Aa_G508230.h1.t1	XP_024007896.1, XP_024005305.1, XP_024004058.1, XP_024010431.1
OG0000007	Aa_G188000.h1.t1	XP_024013935.1
OG0000007	Aa_G596260.h1.t1	XP_024016848.1, XP_024013889.1, XP_024007769.1
OG0000007	Aa_G437570.h1.t1	XP_024013556.1, XP_024014247.1
OG0000007	Aa_G727680.h1.t1	XP_006397474.2, XP_024004398.1, XP_024011387.1, XP_024013912.1, XP_024004241.1, XP_024005863.1, XP_024004112.1
OG0000008	Aa_G302250.h1.t1	XP_024013173.1
OG0000009	Aa_G430190.h1.t1	XP_024009307.1
OG0000012	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1	XP_024010329.1, XP_024013517.1, XP_024010663.1, XP_024004111.1, XP_024013978.1, XP_024006076.1, XP_024004769.1, XP_024016352.1, XP_006390305.1, XP_024008034.1, XP_024006880.1, XP_024004313.1, XP_024007964.1, XP_024013590.1, XP_024004088.1, XP_024013911.1, XP_024004169.1, XP_024005329.1, XP_024014256.1, XP_024004751.1, XP_024015027.1, XP_024011205.1, XP_024007772.1, XP_024013764.1, XP_024008044.1, XP_024010049.1, XP_024004131.1, XP_024006429.1, XP_024004872.1, XP_024011320.1, XP_024004073.1, XP_024004925.1, XP_024007953.1, XP_024015281.1, XP_024006278.1, XP_024006105.1, XP_024005001.1, XP_024006611.1, XP_024010628.1, XP_024009442.1, XP_024004156.1, XP_024011358.1, XP_024016363.1, XP_024009190.1, XP_024004052.1, XP_024010680.1, XP_024007768.1, XP_024004173.1
OG0000012	Aa_G727670.h1.t1	XP_024010254.1, XP_024009382.1, XP_024009379.1, XP_024004817.1, XP_024016208.1, XP_024013308.1, XP_024006882.1, XP_024015930.1, XP_024014989.1, XP_024006092.1, XP_024013538.1, XP_024013984.1, XP_024013319.1, XP_024007927.1, XP_024006840.1, XP_024006606.1, XP_024009011.1, XP_024010250.1, XP_024014667.1, XP_024007778.1, XP_024013297.1, XP_024004787.1, XP_024009476.1, XP_024014518.1, XP_024009301.1, XP_024004077.1, XP_024011119.1, XP_024009973.1, XP_024016528.1, XP_024010312.1, XP_024006271.1, XP_024011218.1, XP_024016237.1, XP_024016855.1, XP_024007215.1, XP_024011231.1
OG0000012	Aa_G1031570.h1.t1	XP_024009752.1, XP_024004034.1, XP_024014463.1, XP_024013982.1, XP_024007975.1, XP_024004037.1, XP_024016238.1
OG0000012	Aa_G378160.h1.t1, Aa_G870430.h1.t1	XP_024009191.1
OG0000014	Aa_G102160.h1.t1, Aa_G108660.h1.t1	XP_024006535.1
OG0000014	Aa_G17450.h1.t1	XP_006408809.2
OG0000014	Aa_G227980.h1.t1, Aa_G848940.h1.t1, Aa_G286860.h1.t1, Aa_G162930.h1.t1, Aa_G7690.h1.t1	XP_024014048.1
OG0000015	Aa_G982290.h1.t1	XP_024006143.1
OG0000016	Aa_G370.h1.t1	XP_024014539.1
OG0000020	Aa_G135640.h1.t1	XP_024013930.1, XP_024006617.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024013948.1, XP_024013964.1, XP_024013965.1, XP_006405034.2, XP_024010782.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013043.1, XP_024013056.1, XP_024010319.1, XP_024014443.1, XP_024006547.1, XP_024014425.1, XP_024007259.1, XP_024009794.1, XP_024011333.1, XP_024006565.1, XP_024013063.1, XP_024010757.1, XP_024016106.1, XP_024014812.1, XP_024015878.1, XP_024010923.1, XP_024016723.1, XP_024004986.1, XP_024015902.1, XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1
OG0000022	Aa_G447870.h1.t1	XP_006400202.2
OG0000022	Aa_G357190.h1.t1	XP_006391807.1
OG0000022	Aa_G830960.h1.t1	XP_006391821.1, XP_006391819.1, XP_006391862.1, XP_006391806.1, XP_006391783.1, XP_006391822.1, XP_024003783.1, XP_006391808.1, XP_006391749.1
OG0000022	Aa_G319760.h1.t1, Aa_G683730.h1.t1	XP_006391829.2
OG0000022	Aa_G291980.h1.t1, Aa_G291990.h1.t1, Aa_G291960.h1.t1, Aa_G328340.h1.t1	XP_006417199.1, XP_006417205.1, XP_006417216.1
OG0000022	Aa_G22660.h1.t1	XP_024008093.1
OG0000022	Aa_G97120.h1.t1	XP_024014798.1, XP_024015415.1
OG0000023	Aa_G297380.h1.t1	XP_024016167.1
OG0000024	Aa_G737030.h1.t1, Aa_G731070.h1.t1	XP_006415351.1
OG0000024	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	XP_024004275.1, XP_006402766.1
OG0000025	Aa_G387540.h1.t1	XP_024009129.1, XP_024015901.1, XP_024016220.1, XP_024016720.1, XP_024006566.1, XP_024016096.1, XP_024006568.1, XP_024007336.1, XP_024013062.1, XP_024006403.1, XP_024014257.1, XP_024015953.1, XP_024011323.1, XP_024014480.1, XP_024007296.1, XP_024013049.1, XP_024004954.1, XP_024012916.1, XP_024010763.1, XP_024014390.1, XP_024013392.1, XP_024014398.1, XP_024010323.1, XP_024011260.1, XP_024004142.1, XP_024015028.1, XP_024004413.1, XP_024014090.1, XP_024010651.1, XP_024009163.1, XP_024014222.1, XP_024015865.1, XP_024014393.1, XP_024004761.1, XP_024014962.1, XP_024010657.1, XP_024004987.1, XP_024006404.1, XP_024015864.1, XP_024007297.1, XP_024014500.1, XP_024012918.1, XP_024013403.1, XP_024013306.1, XP_024009983.1, XP_024006433.1, XP_024014732.1, XP_024014743.1, XP_024007900.1, XP_024013980.1, XP_024010438.1, XP_024010204.1, XP_024015304.1, XP_024009430.1, XP_024010439.1, XP_024009325.1, XP_024006530.1, XP_024011284.1, XP_024013992.1
OG0000027	Aa_G200970.h1.t1	XP_006413565.1
OG0000027	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1	XP_024013896.1
OG0000027	Aa_G200900.h1.t1	XP_006413569.1
OG0000027	Aa_G597270.h1.t1	XP_006396890.1
OG0000027	Aa_G191740.h1.t1	XP_006413573.1
OG0000028	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1	XP_006411607.2
OG0000029	Aa_G248570.h1.t1	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1
OG0000029	Aa_G288600.h1.t1, Aa_G637980.h1.t1, Aa_G988890.h1.t1	XP_024013922.1
OG0000030	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1	XP_024016186.1
OG0000032	Aa_G907350.h1.t1	XP_024005014.1
OG0000034	Aa_G782810.h1.t1, Aa_G619140.h1.t1	XP_006413571.1, XP_024010975.1
OG0000034	Aa_G191730.h1.t1	XP_006413574.2
OG0000034	Aa_G317970.h1.t1, Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1, Aa_G58920.h1.t1	XP_024005104.1
OG0000034	Aa_G191690.h1.t1	XP_006413576.1
OG0000035	Aa_G7660.h1.t1, Aa_G44290.h1.t1	XP_024010425.1, XP_024007977.1
OG0000035	Aa_G275180.h1.t1, Aa_G417510.h1.t1, Aa_G75180.h1.t1, Aa_G54410.h1.t1	XP_024004785.1, XP_024005785.1, XP_024004877.1, XP_024016694.1, XP_024016229.1, XP_024011093.1, XP_024010243.1, XP_024006613.1, XP_006409421.2, XP_024009313.1, XP_024006556.1, XP_024015936.1
OG0000035	Aa_G9270.h1.t1	XP_006393440.2
OG0000041	Aa_G135690.h1.t1	XP_024011348.1
OG0000043	Aa_G30.h1.t1	XP_024014240.1
OG0000044	Aa_G639660.h1.t1	XP_024004579.1
OG0000044	Aa_G208060.h1.t1	XP_024009991.1
OG0000044	Aa_G313590.h1.t1	XP_006398345.1
OG0000044	Aa_G173310.h1.t1, Aa_G620000.h1.t1, Aa_G197680.h1.t1, Aa_G173300.h1.t1, Aa_G685500.h1.t1, Aa_G565790.h1.t1, Aa_G902620.h1.t1, Aa_G685490.h1.t1, Aa_G628640.h1.t1, Aa_G295910.h1.t1, Aa_G628620.h1.t1, Aa_G565810.h1.t1, Aa_G173340.h1.t1, Aa_G715510.h1.t1	XP_024009767.1
OG0000046	Aa_G675110.h1.t1	XP_024009472.1, XP_024009471.1
OG0000047	Aa_G631350.h1.t1	XP_024014421.1, XP_024011365.1
OG0000048	Aa_G20510.h1.t1	XP_024005913.1
OG0000048	Aa_G154560.h1.t1	XP_006391498.1, XP_006406621.1, XP_006406579.1, XP_006410338.1
OG0000048	Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1	XP_006406533.1
OG0000050	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1	XP_024004962.1, XP_024006598.1
OG0000051	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1	XP_024009195.1, XP_006418389.2, XP_024008111.1
OG0000051	Aa_G399340.h1.t1	XP_006411503.1
OG0000051	Aa_G592860.h1.t1, Aa_G678670.h1.t1	XP_006392148.1, XP_024013725.1, XP_024013699.1
OG0000052	Aa_G696490.h1.t1	XP_024007553.1
OG0000052	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1	XP_024008507.1
OG0000052	Aa_G379100.h1.t1	XP_006404062.1, XP_006404060.2, XP_006404061.2
OG0000055	Aa_G659190.h1.t1	XP_006398121.1, XP_006406735.1
