"Arabidopsis_lyrata_Rawat"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"AL1007U10010"	810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G23160.2"	"41.573"	"267"	"152"	"1"	"507"	"769"	"77"	"343"	"7.13e-66"	"237"	"32"	"811"	"1043"
"AL1008U10010"	252	"AT5G42830.1"	"AT5G42830.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G42830.1"	"92.43"	"251"	"19"	"0"	"1"	"251"	"1"	"251"	"1.56e-167"	"470"	"99"	"253"	"450"
"AL100U10010"	556	"AT2G39210.1"	"AT2G39210.1"	"orthologue"	"AT2G39210.1"	"N0.HOG0008168"	"AT2G39210.1"	"OG0003183"	"AT2G39210.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G39210.1"	"90.849"	"601"	"10"	"2"	"1"	"556"	"1"	"601"	"0"	"1035"	"99"	"557"	"601"
"AL1010U10010"	213	"AT5G58730.1"	"AT5G58730.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G58730.1"	"95.238"	"210"	"10"	"0"	"1"	"210"	"1"	"210"	"3.6e-145"	"408"	"98"	"214"	"353"
"AL1010U10020"	95	"AT5G58720.1"	"AT5G58720.1"	"orthologue"	"AT5G58720.1"	"N0.HOG0012338"	"AT5G58720.1"	"OG0006403"	"AT5G58720.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G58720.1"	"88.75"	"80"	"9"	"0"	"12"	"91"	"12"	"91"	"3.63e-41"	"140"	"83"	"96"	"519"
"AL1014U10010"	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL1017U10010"	302	"AT3G22250.1"	"AT3G22250.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G22250.1"	"91.694"	"301"	"24"	"1"	"1"	"301"	"161"	"460"	"0"	"576"	"99"	"303"	"461"
"AL1019U10010"	148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL1025U10010"	107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL1031U10010"	213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G52950.1"	"28.421"	"190"	"130"	"3"	"3"	"191"	"52"	"236"	"1.79e-17"	"79.7"	"88"	"214"	"566"
