Orthogroup	Conringia_planisiliqua	Cardamine_hirsuta
OG0000000	CP18_g12262_DN2_SP0_c.t1, CP2_g50571_DN2_SP0_c.t1, CP3_g14987_DN2_SP0_c.t1	CARHR219240, CARHR166210
OG0000000	CP18_g11997_DN3_SP0_c.t1	CARHR219900, CARHR034550
OG0000000	CP6_g8147_DN1_SP0_c.t1, CP9_g27797_DN2_SP0_c.t1, CP28_g34012_DN1_SP0_c.t1, CP25_g55831_DN3_SP0_c.t1, CP9_g28197_DN3_SP0_c.t1, CP6_g7625_DN1_SP0_c.t1, CP4_g26146_DN1_SP0_c.t1, CP84_g51830_DN2_SP0_c.t1, CP1_g40809_DN2_SP0_c.t1, CP6_g8492_DN3_SP0_c.t1, CP15_g35528_DN1_SP0_c.t1, CP5_g2122_DN2_SP0_c.t1, CP12_g30577_DN2_SP0_c.t1, CP6_g9323_DN3_SP0_c.t1, CP18_g12295_DN2_SP0_c.t1, CP5_g2382_DN2_SP0_c.t1, CP24_g46940_DN2_SP0_c.t1, CP36_g50963_DN2_SP0_c.t1	CARHR153350
OG0000007	CP8_g52162_DN2_SP0_c.t1	CARHR057560, CARHR111840, CARHR100700, CARHR258710, CARHR180780, CARHR182530, CARHR055190
OG0000008	CP27_g41699_DN2_SP0_c.t1	CARHR159360
OG0000008	CP8_g52854_DN2_SP0_c.t1	CARHR217630
OG0000008	CP5_g2806_DN2_SP0_c.t1	CARHR035430, CARHR217860
OG0000008	CP7_g44274_DN3_SP0_c.t1	CARHR291920, CARHR221030, CARHR117380
OG0000009	CP29_g21990_DN1_SP0_c.t1	CARHR077050, CARHR056420, CARHR034120
OG0000011	CP9_g27503_DN1_SP0_c.t1, CP14_g23601_DN2_SP0_c.t1	CARHR218510
OG0000011	CP18_g11548_DN1_SP0_c.t1	CARHR259400
OG0000015	CP3_g15512_DN1_SP0_c.t1, CP1_g39589_DN1_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP27_g41927_DN1_SP0_c.t1	CARHR258200, CARHR258330
OG0000015	CP6_g9041_DN3_SP0_c.t1, CP9_g28182_DN2_SP0_c.t1, CP25_g55897_DN3_SP0_c.t1, CP39_g21117_DN1_SP0_c.t1, CP3_g15322_DN2_SP0_c.t1, CP18_g12595_DN3_SP0_c.t1, CP1_g38947_DN3_SP0_c.t1, CP22_g17115_DN3_SP0_c.t1, CP16_g55608_DN2_SP0_c.t1, CP17_g5068_DN1_SP0_c.t1, CP28_g34029_DN2_SP0_c.t1, CP3_g15510_DN3_SP0_c.t1, CP6_g9737_DN2_SP0_c.t1, CP26_g51309_DN1_SP0_c.t1, CP22_g17109_DN3_SP0_c.t1, CP17_g6289_DN1_SP0_c.t1, CP15_g34907_DN2_SP0_c.t1, CP44_g20942_DN1_SP0_c.t1, CP26_g51311_DN3_SP0_c.t1, CP4_g26055_DN1_SP0_c.t1, CP15_g34881_DN2_SP0_c.t1, CP7_g44360_DN2_SP0_c.t1, CP1_g38946_DN3_SP0_c.t1, CP15_g34909_DN3_SP0_c.t1, CP27_g41956_DN2_SP0_c.t1, CP27_g41954_DN2_SP0_c.t1, CP7_g44359_DN2_SP0_c.t1, CP22_g17112_DN1_SP0_c.t1, CP15_g34879_DN2_SP0_c.t1, CP7_g44357_DN2_SP0_c.t1, CP5_g3123_DN1_SP0_c.t1, CP18_g12598_DN2_SP0_c.t1, CP2_g50255_DN1_SP0_c.t1, CP14_g23594_DN3_SP0_c.t1, CP31_g46711_DN2_SP0_c.t1, CP7_g44381_DN2_SP0_c.t1, CP1_g39588_DN3_SP0_c.t1, CP9_g28055_DN1_SP0_c.t1, CP7_g44209_DN2_SP0_c.t1, CP12_g31541_DN2_SP0_c.t1	CARHR110600
OG0000021	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	CARHR146600
OG0000022	CP2_g49169_DN2_SP0_c.t1	CARHR048220
OG0000024	CP3_g13494_DN2_SP0_c.t1	CARHR168020, CARHR167830
