Orthogroup	Capsella_rubella	Noccaea_praecox
OG0000000	XP_023638874.1	Np007G401540, Np010G434720
OG0000000	XP_023632701.1	Np002G098530, Np005G303500, Np004G209310, Np005G297590, Np007G399430
OG0000000	XP_023633832.1	Np005G293490
OG0000002	XP_023638855.1	Np008G427570, Np002G103600, Np002G105770, Np011G436400, Np008G426050, Np005G296560
OG0000003	XP_023639625.1	Np005G296980, Np008G429060, Np001G031010, Np002G099380
OG0000003	XP_023643366.1	Np001G029010
OG0000003	XP_023638126.1	Np007G402470
OG0000003	XP_023643044.1	Np006G346690
OG0000004	XP_023632892.1, XP_023635799.1	Np002G100200
OG0000004	XP_023643231.1	Np005G308780, Np001G054660
OG0000005	XP_006292284.1	Np006G356630
OG0000005	XP_023641325.1	Np001G027520
OG0000005	XP_023640809.1	Np008G427710
OG0000006	XP_023640317.1, XP_023635150.1, XP_023634518.1, XP_023644453.1	Np005G313160
OG0000006	XP_023635039.1	Np008G427000
OG0000007	XP_023637681.1	Np006G356870
OG0000008	XP_023641963.1	Np002G102670
OG0000008	XP_023633343.1, XP_006303816.2, XP_023644880.1	Np005G307780, Np002G103180
OG0000008	XP_006299996.2	Np007G406420
OG0000008	XP_023633344.1, XP_023638567.1, XP_023633352.1	Np001G053530
OG0000010	XP_023634279.1, XP_023638462.1	Np006G346340, Np001G030570, Np005G296780, Np005G297010, Np006G346440, Np006G348980, Np001G036300, Np006G354450
OG0000010	XP_023636068.1	Np002G095240
OG0000011	XP_023645773.1, XP_023636126.1	Np001G009230, Np006G351190
OG0000012	XP_023636237.1	Np010G434900, Np004G239110
OG0000013	XP_023644225.1	Np004G228920
OG0000014	XP_023638088.1, XP_023641911.1	Np001G042570, Np002G073300
OG0000015	XP_023633382.1	Np008G427030
OG0000017	XP_023640323.1	Np003G166290
OG0000017	XP_023636109.1	Np003G171300
OG0000017	XP_023644234.1, XP_023642646.1, XP_023636041.1, XP_023633702.1, XP_023644500.1, XP_023633829.1, XP_023644232.1	Np005G282110, Np005G282180, Np007G396400
OG0000018	XP_023634149.1, XP_023640318.1, XP_023645856.1, XP_023634431.1, XP_023634319.1	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010
OG0000018	XP_023641905.1, XP_023634354.1, XP_023638482.1	Np004G226280, Np003G180600, Np001G028240, Np005G281980, Np003G149980
OG0000019	XP_023638956.1	Np007G405080, Np001G027610
OG0000020	XP_023632591.1	Np005G303330, Np004G208430
OG0000020	XP_023634318.1	Np008G428370
OG0000021	XP_023641338.1	Np005G270390, Np007G393560
OG0000023	XP_006283253.1	Np005G283730
OG0000023	XP_006285954.1	Np005G284120
OG0000023	XP_006286185.1, XP_023634702.1	Np005G284010
OG0000023	XP_023634685.1	Np005G283870
OG0000023	XP_006282816.1	Np005G284070
OG0000024	XP_023638107.1	Np002G100170, Np001G029650, Np002G091590, Np007G393480
OG0000025	XP_006285133.1, XP_006292343.1, XP_006291347.1	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360
OG0000025	XP_023633414.1	Np003G183240
OG0000026	XP_023639056.1	Np002G101380, Np004G216210
OG0000026	XP_023636110.1	Np003G172690
OG0000026	XP_023644550.1, XP_023641958.1, XP_023644451.1, XP_023634078.1, XP_023644235.1, XP_023636040.1	Np003G171320
OG0000026	XP_023642430.1	Np006G365240
OG0000027	XP_023633039.1	Np004G214870, Np005G271730, Np004G214850
OG0000027	XP_023632980.1, XP_023632975.1, XP_023632970.1	Np004G215070
OG0000027	XP_023633004.1, XP_023639207.1	Np001G057950, Np001G057940
OG0000028	XP_023640355.1	Np003G170790, Np003G189760, Np004G207130
OG0000031	XP_006306232.1, XP_006303621.1, XP_006303680.2, XP_006306401.2, XP_006303167.1	Np004G244900
OG0000031	XP_023635463.1	Np005G318980
