Orthogroup	Noccaea_praecox	Capsella_rubella
OG0000000	Np004G2263100, Np001G0314800, Np002G0926900, Np004G2012200	XP_023633614.1
OG0000000	Np005G3087900, Np001G0546600	XP_023643231.1, XP_023644538.1
OG0000000	Np005G3094200, Np004G2127900, Np001G0216600, Np005G3036600, Np004G2157000, Np001G0630500, Np005G3117600, Np002G0913600, Np003G1515800, Np003G1649400, Np001G0236600, Np003G1751900, Np003G1819000, Np006G3224000, Np005G3184600	XP_023640443.1, XP_023633512.1
OG0000000	Np002G1002000	XP_023632892.1
OG0000002	Np005G2965700, Np008G4260500, Np002G1057800, Np002G1036100, Np011G4364100, Np008G4275700, Np002G1017600	XP_023638855.1
OG0000003	Np007G3935700	XP_023641338.1
OG0000003	Np006G3546100, Np001G0132800, Np004G1961000, Np002G0878000, Np004G2165400, Np005G2971100, Np004G2177600, Np001G0443800	XP_023637460.1, XP_023637566.1
OG0000003	Np004G2027900	XP_023644456.1
OG0000004	Np005G2950600, Np010G4347300, Np007G4015400	XP_023644517.1, XP_023638874.1
OG0000005	Np007G4024700	XP_023638126.1
OG0000005	Np006G3465300	XP_023645768.1
OG0000005	Np012G4370200, Np004G2223900	XP_023642453.1, XP_023636063.1
OG0000007	Np003G1457500	XP_023639048.1, XP_023644546.1, XP_023641719.1, XP_023637544.1, XP_023643663.1, XP_023636902.1, XP_023640335.1, XP_023643356.1, XP_023634292.1, XP_023634518.1, XP_023644418.1, XP_023636143.1, XP_023633251.1, XP_023633686.1, XP_023640302.1
OG0000008	Np005G2918600, Np002G1026800	XP_023641963.1
OG0000008	Np002G1031900, Np005G3077900	XP_023633343.1
OG0000008	Np002G0964800	XP_006282156.2, XP_023641902.1, XP_006299996.2
OG0000008	Np001G0535300	XP_023638567.1
OG0000009	Np005G2652900, Np004G2035600	XP_023639354.1
OG0000009	Np001G0275200	XP_023641325.1
OG0000009	Np003G1663900, Np001G0129200, Np003G1783000	XP_023640352.1
OG0000009	Np006G3566400	XP_006292284.1
OG0000011	Np001G0276300	XP_023644226.1
OG0000011	Np007G4050800, Np001G0276100	XP_023638956.1
OG0000012	Np001G0263200	XP_023636126.1, XP_023645773.1
OG0000014	Np009G4305300	XP_023638462.1, XP_023634279.1
OG0000015	Np008G4270200	XP_023633382.1
OG0000016	Np002G0990500	XP_023634145.1
OG0000016	Np007G3999600	XP_023639630.1
OG0000018	Np003G1756100	XP_023639601.1
OG0000020	Np003G1663000	XP_023640323.1
OG0000020	Np005G2821900, Np005G2821200	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1
OG0000021	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200	XP_023634149.1, XP_023640318.1, XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1, XP_023645856.1, XP_023634319.1
OG0000022	Np004G2449100	XP_006306401.2, XP_006303167.1
OG0000022	Np005G3189900	XP_023635463.1
OG0000023	Np006G3543300, Np005G2842200, Np006G3594200, Np004G2178800	XP_023633772.1
OG0000023	Np006G3415100	XP_023642187.1
OG0000023	Np004G2391200, Np010G4349100	XP_023636237.1
OG0000024	Np004G2150800	XP_023632980.1, XP_023632975.1, XP_023632970.1
OG0000024	Np001G0579500, Np001G0579400	XP_023633004.1, XP_023639207.1
OG0000025	Np003G1727000	XP_023636110.1
OG0000027	Np003G1806500	XP_023635858.1, XP_006289355.2, XP_006286462.1
OG0000027	Np005G2841300	XP_006285954.1
OG0000027	Np005G2840800	XP_006282816.1
OG0000027	Np005G2838800	XP_023634685.1
OG0000027	Np005G2840200	XP_023634702.1
OG0000028	Np003G1643200	XP_023634475.1
OG0000028	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300	XP_006281712.1
OG0000028	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700	XP_006285133.1
OG0000028	Np001G0479800, Np001G0480000	XP_006299262.2
OG0000028	Np003G1832500	XP_023633414.1
OG0000029	Np003G1708000, Np003G1897700, Np004G2071400	XP_023634815.1, XP_023641328.1, XP_023642217.1, XP_023644323.1, XP_023644233.1, XP_023640355.1
OG0000030	Np001G0090700	XP_006303634.1, XP_023632886.1, XP_023632793.1
OG0000030	Np004G2249500, Np004G2249800	XP_006305030.1, XP_006299109.2
OG0000030	Np004G2250000	XP_006297854.1, XP_006297862.1, XP_006300177.2
OG0000030	Np007G4070000	XP_006298407.2
OG0000032	Np008G4283700	XP_023634318.1
OG0000032	Np005G3033300, Np004G2084500, Np002G1024100, Np004G2084400, Np005G3033400	XP_023632591.1
OG0000034	Np005G2840700, Np005G2840600	XP_006283285.1
OG0000034	Np005G2841400	XP_023634692.1
OG0000034	Np005G2839700, Np005G2840900	XP_006285944.1
OG0000034	Np005G2841600	XP_006284972.1
OG0000034	Np005G2841500	XP_006283283.1
OG0000035	Np004G2088100, Np005G3165600	XP_023633542.1, XP_023633652.1, XP_023639706.1
OG0000035	Np002G1060000, Np001G0383600, Np002G0991100, Np005G2830800, Np002G1134400, Np004G2299800, Np002G1000600	XP_023640381.1, XP_023634177.1
OG0000035	Np007G3930700	XP_023634166.1
OG0000040	Np006G3694800, Np006G3353400	XP_023643216.1, XP_023641303.1, XP_023638978.1, XP_023642459.1, XP_023632551.1, XP_023638973.1, XP_023644566.1, XP_023634840.1, XP_023636105.1, XP_023633811.1
OG0000042	Np004G2298700, Np004G2161100, Np002G0961400	XP_023634283.1
OG0000043	Np006G3382800, Np003G1722000, Np002G0941700, Np003G1677700, Np006G3278600	XP_006299187.2
OG0000044	Np006G3308500	XP_023638542.1
OG0000046	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1
OG0000048	Np006G3565700	XP_023640388.1
OG0000050	Np005G2619700, Np002G0988200, Np001G0256300, Np007G3953400, Np006G3570900	XP_006299955.2
