Orthogroup	Arabidopsis_lyrata_Rawat	Rorippa_islandica
OG0000000	AL6G27580	Roisl.0214s0322.1.p, Roisl.0008s0147.1.p, Roisl.0082s0510.1.p, Roisl.0009s0190.1.p, Roisl.0191s0689.1.p, Roisl.0053s0029.1.p, Roisl.0055s0043.1.p, Roisl.0046s1083.1.p, Roisl.0185s0067.1.p, Roisl.0204s0096.1.p, Roisl.0185s0075.1.p
OG0000000	AL1G56600	Roisl.0188s0090.1.p
OG0000000	AL3G23500, AL3G28120, AL7G39870	Roisl.0012s0255.1.p, Roisl.0053s0040.1.p
OG0000000	AL3G39580, AL2G19540	Roisl.0213s0782.1.p
OG0000000	AL5G18640	Roisl.0053s0185.1.p, Roisl.0046s0703.1.p, Roisl.0210s0593.1.p
OG0000000	AL3G15150	Roisl.0038s0044.1.p, Roisl.0022s0187.1.p, Roisl.0210s1364.1.p
OG0000000	AL3G48680	Roisl.0020s0052.1.p
OG0000000	AL396U10020, AL4G14390, AL4G39790, nbis-gene-231, AL8G17890, AL5G12810, AL6G49130	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p
OG0000000	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040, AL6G34180, AL4G31100, AL4G37840, AL7G43450, AL4G13050, AL5G14690, AL8G39910, AL1G63670	Roisl.0213s0280.1.p
OG0000002	AL7G45780, AL7G43430, AL5G25580, AL2G27160, AL1G53170, AL9U10140, AL5G30280, AL3G49840, AL3G15910	Roisl.0194s0020.1.p
OG0000002	AL8G20200	Roisl.0213s0015.1.p, Roisl.0008s0085.1.p, Roisl.0204s0005.1.p, Roisl.0188s0060.1.p, Roisl.0040s0101.1.p, Roisl.0012s0044.1.p, Roisl.0200s0037.1.p, Roisl.0210s2181.1.p, Roisl.0014s0020.1.p, Roisl.0111s0033.1.p, Roisl.0022s0019.1.p, Roisl.0076s0006.1.p, Roisl.0214s0254.1.p, Roisl.0066s0414.1.p, Roisl.0006s0156.1.p, Roisl.0014s0086.1.p, Roisl.0083s0030.1.p, Roisl.0032s0054.1.p, Roisl.0041s0032.1.p
OG0000003	AL1G64130, AL5G19200, AL5G16490, AL6G17120, AL3G42610, AL1G59200, AL3G47980, AL6G47170, AL3G48090, AL6G41430, AL1G46060, AL4G47110, AL6G10850, AL8G41490, AL4G39950, AL363U10020, AL7G48880	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p
OG0000003	AL433U10010	Roisl.0058s0052.1.p, Roisl.0189s0151.1.p, Roisl.0214s0907.1.p, Roisl.0047s0023.1.p, Roisl.0213s0678.1.p, Roisl.0005s0145.1.p, Roisl.0214s0184.1.p, Roisl.0188s0028.1.p, Roisl.0004s0406.1.p, Roisl.0053s0433.1.p, Roisl.0037s0060.1.p, Roisl.0184s0058.1.p
OG0000003	AL4G19540	Roisl.0046s0266.1.p, Roisl.0013s0148.1.p, Roisl.0184s0125.1.p, Roisl.0191s0324.1.p, Roisl.0184s0019.1.p, Roisl.0041s0045.1.p, Roisl.0209s0112.1.p, Roisl.0111s0003.1.p
OG0000003	AL3G44960, AL4G18440, AL8G19180, AL27U10030	Roisl.0194s0028.1.p, Roisl.0209s0038.1.p
OG0000004	AL7G43300	Roisl.0022s0436.1.p
OG0000005	AL8G18430	Roisl.0040s0022.1.p, Roisl.0036s0006.1.p, Roisl.0006s0578.1.p
OG0000005	AL2G18790	Roisl.0195s0004.1.p
OG0000005	AL3G54340	Roisl.0189s0112.1.p, Roisl.0082s0055.1.p, Roisl.0072s0015.1.p, Roisl.0083s0019.1.p, Roisl.0048s0032.1.p, Roisl.0015s0171.1.p, Roisl.0185s0098.1.p, Roisl.0040s0024.1.p, Roisl.0082s0029.1.p, Roisl.0210s2094.1.p, Roisl.0210s2173.1.p, Roisl.0023s0063.1.p, Roisl.0075s0018.1.p
OG0000005	AL3G44970	Roisl.0010s0028.1.p, Roisl.0027s0129.1.p, Roisl.0211s0001.1.p, Roisl.0010s0029.1.p, Roisl.0082s0007.1.p, Roisl.0209s0534.1.p, Roisl.0213s0012.1.p, Roisl.0210s2163.1.p, Roisl.0083s0041.1.p, Roisl.0179s0032.1.p, Roisl.0206s0002.1.p, Roisl.0075s0007.1.p, Roisl.0185s0041.1.p, Roisl.0061s0001.1.p, Roisl.0077s0002.1.p, Roisl.0087s0026.1.p, Roisl.0184s0028.1.p, Roisl.0061s0007.1.p
OG0000007	AL5G15300	Roisl.0064s0008.1.p
OG0000008	AL8G21520, AL3G44870, AL6G46960, AL2G19610, AL5G20410, AL4G18090, AL1G45690, AL3G40710, AL5G24310, AL2G22310, AL4G13380, AL3G52160	Roisl.0066s0187.1.p, Roisl.0066s0390.1.p, Roisl.0050s0011.1.p
OG0000008	AL3G23450	Roisl.0037s0001.1.p, Roisl.0041s0027.1.p, Roisl.0213s0638.1.p
OG0000008	AL5G32180	Roisl.0046s1132.1.p, Roisl.0046s1119.1.p
OG0000009	AL5G15340	Roisl.0075s0043.1.p
OG0000011	AL6G32670	Roisl.0008s0052.1.p
OG0000012	AL8G15640, AL3G37530, AL6G20560	Roisl.0198s0021.1.p, Roisl.0082s0083.1.p
OG0000014	AL4G20510	Roisl.0082s0067.1.p
OG0000014	AL8G19810, AL2G20440	Roisl.0055s0030.1.p, Roisl.0021s0586.1.p, Roisl.0191s0716.1.p
OG0000014	AL9U11460	Roisl.0023s0108.1.p
OG0000014	AL8G23060	Roisl.0041s0069.1.p
OG0000015	AL25U10010, AL6G22310, AL7G26200	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p
OG0000015	AL3G46060	Roisl.0010s0007.1.p
OG0000015	AL8G27740, AL429U10010, AL792U10020, AL1G20970	Roisl.0214s0740.1.p
OG0000016	AL5G24080	Roisl.0058s0009.1.p, Roisl.0058s0084.1.p
OG0000016	AL5G18180	Roisl.0185s0024.1.p, Roisl.0209s0493.1.p, Roisl.0064s0035.1.p
OG0000016	AL2G23610, AL5G12380, AL5G12270	Roisl.0210s2086.1.p
OG0000016	AL1G50200	Roisl.0083s0011.1.p, Roisl.0194s0032.1.p
OG0000020	AL189U10010, AL189U10020, AL3G44820, AL7G51100	Roisl.0179s0050.1.p
OG0000020	AL6G40580, AL7G44020, AL3G44050, AL460U10020	Roisl.0082s0242.1.p
OG0000020	AL6G44340, AL6G44350, AL1G18490, AL5G20700, AL4G18270, AL4G19490, AL5G11530, AL6G46630	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p
OG0000020	AL7G16690, AL7G11240, AL4G42290	Roisl.0214s0109.1.p
OG0000020	AL4G19770	Roisl.0188s0046.1.p
OG0000021	AL39U10070	Roisl.0179s0097.1.p, Roisl.0198s0008.1.p
