Orthogroup	Euclidium_syriacum	Brassica_rapa
OG0000000	ESY7_g16163_DN2_SP0_c0.t1	XP_009139680.2, XP_009119930.2, XP_009128546.1
OG0000000	ESY7_g16535_DN2_SP0_c0.t1, ESY20_g12791_DN2_SP0_c0.t1	XP_009123079.1
OG0000000	ESY6_g47093_DN2_SP0_c0.t1	XP_033148634.1
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	XP_033140595.1, XP_018511523.1, XP_033138748.1, XP_033139562.1, XP_033138881.1, XP_033139102.1, XP_033129425.1, XP_033129376.1, XP_033139223.1, XP_033129408.1, XP_033134214.1, XP_033135851.1, XP_033147588.1, XP_033138789.1, XP_033129436.1, XP_033148879.1, XP_033142691.1, XP_033134367.1, XP_033136957.1, XP_033143541.1, XP_033136250.1, XP_033134280.1, XP_033139166.1, XP_033134986.1, XP_033128755.1, XP_033148549.1, XP_033148076.1, XP_033134169.1, XP_033148513.1
OG0000003	ESY8_g60366_DN2_SP0_c0.t1	XP_009123480.1
OG0000003	ESY2_g37194_DN1_SP0_c0.t1	XP_033129372.1
OG0000003	ESY9_g43824_DN1_SP0_c0.t1	XP_033129393.1, XP_009107616.2, XP_009138649.2, XP_033148502.1, XP_033133979.1, XP_033141128.1, XP_009119170.2
OG0000003	ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1	XP_033146211.1
OG0000004	ESY9_g43878_DN2_SP0_c0.t1	XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1
OG0000004	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1	XP_033138950.1, XP_033130324.1
OG0000005	ESY8_g60803_DN3_SP0_c6.t1	XP_033148793.1
OG0000007	ESY9_g43616_DN3_SP0_c12.t1	XP_033140542.1, XP_033128538.1, XP_009124768.1, XP_033132504.1, XP_033131877.1, XP_033134391.1, XP_009103805.2, XP_009129528.2, XP_033133945.1, XP_018510598.1, XP_033137354.1, XP_033148175.1, XP_009151426.1, XP_033148049.1, XP_033136152.1, XP_033130526.1, XP_018513873.2, XP_033139229.1, XP_009127425.2, XP_033140897.1, XP_009103747.2, XP_033133217.1, XP_033138322.1, XP_009128548.2, XP_009107586.3, XP_033137263.1, XP_009128533.2, XP_033145152.1, XP_033129678.1, XP_009144141.2, XP_033140024.1, XP_033134787.1, XP_033141430.1, XP_009140704.1, XP_033146627.1, XP_033133985.1, XP_033143316.1, XP_033138798.1, XP_033141235.1, XP_033133974.1, XP_033141172.1, XP_033145248.1, XP_033143243.1, XP_033145376.1, XP_033147221.1, XP_033128792.1, XP_018509939.2, XP_033132046.1, XP_018509717.2, XP_033143434.1, XP_033144206.1, XP_009107562.2, XP_033134788.1, XP_033131027.1, XP_033132428.1, XP_033133980.1, XP_033134568.1, XP_009120419.2, XP_033138143.1, XP_009113464.2, XP_009130602.2, XP_033133922.1, XP_009110769.2, XP_033148269.1, XP_033135997.1, XP_033135405.1, XP_033145261.1, XP_033128729.1, XP_033133916.1, XP_033131629.1, XP_033142256.1, XP_033131850.1, XP_033132443.1, XP_033141204.1, XP_033141185.1, XP_033143314.1, XP_033128723.1, XP_033136688.1, XP_033147435.1, XP_009108642.2, XP_018512011.2
OG0000008	ESY15_g64840_DN3_SP0_c0.t1	XP_033145381.1
OG0000008	ESY1_g7826_DN2_SP0_c27.t1	XP_033147955.1
OG0000009	ESY6_g47492_DN1_SP0_c0.t1	XP_033139461.1
OG0000009	ESY2_g34470_DN1_SP0_c0.t1	XP_009142536.1, XP_009111228.2
OG0000009	ESY8_g59457_DN2_SP0_c0.t1, ESY5_g5477_DN1_SP0_c0.t1, ESY5_g5044_DN1_SP0_c0.t1, ESY15_g65873_DN1_SP0_c0.t1, ESY5_g1712_DN1_SP0_c0.t1, ESY9_g43818_DN1_SP0_c0.t1, ESY19_g41266_DN2_SP0_c0.t1	XP_009139341.2, XP_009103764.1, XP_009152173.2, XP_009117699.2, XP_033144437.1
OG0000011	ESY5_g2565_DN1_SP0_c0.t1	XP_033140208.1, XP_033129445.1, XP_033136844.1, XP_033130854.1, XP_033144009.1, XP_033128807.1
OG0000011	ESY1_g5997_DN2_SP0_c99.t1	XP_018511928.1
OG0000011	ESY8_g60782_DN3_SP0_c0.t1	XP_033139088.1, XP_033131994.1, XP_033139376.1, XP_033143559.1, XP_033143864.1, XP_033136826.1, XP_033128834.1, XP_033130890.1, XP_033143497.1, XP_033129499.1, XP_018513221.2, XP_033148218.1, XP_018514420.1
OG0000011	ESY11_g53520_DN3_SP0_c81.t1, ESY1_g6775_DN3_SP0_c50.t1	XP_009138607.1, XP_033134171.1, XP_018511598.1, XP_009144754.1
OG0000011	ESY7_g17507_DN3_SP0_c53.t1	XP_033132530.1
OG0000011	ESY6_g46861_DN2_SP0_c63.t1	XP_033128536.1
OG0000015	ESY14_g21116_DN2_SP0_c1.t1	XP_009113103.2, XP_033138269.1
OG0000015	ESY5_g1619_DN2_SP0_c2.t1	XP_033146229.1
