Orthogroup	Rorippa_islandica	Noccaea_praecox
OG0000000	Roisl.0185s0067.1.p	Np002G1063700, Np003G1750900
OG0000000	Roisl.0053s0185.1.p	Np003G1708100, Np006G3568800
OG0000000	Roisl.0046s0703.1.p, Roisl.0210s0593.1.p	Np003G1709000
OG0000000	Roisl.0020s0052.1.p	Np006G3485200
OG0000000	Roisl.0213s0280.1.p	Np001G0404400, Np005G3184700, Np001G0462400, Np005G3094200, Np004G2127900, Np001G0216600, Np005G3036600, Np004G2157000, Np001G0630500, Np005G3117600, Np002G0913600, Np003G1515800, Np003G1649400, Np001G0236600, Np003G1751900, Np003G1819000, Np006G3224000, Np005G3184600
OG0000002	Roisl.0058s0007.1.p	Np002G1057700, Np008G4275500
OG0000002	Roisl.0213s0015.1.p, Roisl.0008s0085.1.p	Np002G1056700
OG0000002	Roisl.0204s0005.1.p, Roisl.0188s0060.1.p, Roisl.0040s0101.1.p	Np009G4293000
OG0000002	Roisl.0012s0044.1.p, Roisl.0200s0037.1.p, Roisl.0210s2181.1.p, Roisl.0014s0020.1.p, Roisl.0111s0033.1.p, Roisl.0022s0019.1.p, Roisl.0076s0006.1.p, Roisl.0214s0254.1.p, Roisl.0066s0414.1.p, Roisl.0006s0156.1.p, Roisl.0014s0086.1.p, Roisl.0083s0030.1.p, Roisl.0032s0054.1.p, Roisl.0041s0032.1.p	Np002G1029600, Np006G3468100
OG0000003	Roisl.0058s0055.1.p	Np005G3039000
OG0000003	Roisl.0058s0052.1.p, Roisl.0189s0151.1.p, Roisl.0214s0907.1.p, Roisl.0047s0023.1.p, Roisl.0213s0678.1.p, Roisl.0005s0145.1.p, Roisl.0214s0184.1.p, Roisl.0188s0028.1.p, Roisl.0004s0406.1.p, Roisl.0053s0433.1.p, Roisl.0037s0060.1.p, Roisl.0184s0058.1.p	Np003G1537900
OG0000003	Roisl.0053s0045.1.p	Np004G2165300
OG0000003	Roisl.0124s0003.1.p, Roisl.0185s0057.1.p, Roisl.0210s2127.1.p, Roisl.0188s0002.1.p	Np004G2027900
OG0000004	Roisl.0022s0436.1.p	Np004G2079000, Np003G1676800
OG0000005	Roisl.0006s0578.1.p	Np006G3606800
OG0000005	Roisl.0195s0004.1.p	Np001G0309600, Np006G3467000
OG0000005	Roisl.0194s0060.1.p	Np002G1022400, Np007G4025000
OG0000005	Roisl.0201s0014.1.p, Roisl.0087s0005.1.p, Roisl.0014s0007.1.p, Roisl.0087s0007.1.p, Roisl.0195s0029.1.p, Roisl.0179s0085.1.p	Np012G4370200, Np004G2223900
OG0000005	Roisl.0010s0028.1.p	Np005G2940800, Np006G3455900, Np009G4299700
