Orthogroup	Brassica_rapa	Cochlearia_excelsa
OG0000000	XP_033138771.1	g22659
OG0000000	XP_009123632.2, XP_009150012.1, XP_033128757.1, XP_009106474.1	g15642
OG0000000	XP_033139405.1, XP_033133908.1, XP_033139542.1, XP_033134352.1, XP_033141135.1, XP_033131653.1, XP_033136613.1, XP_033143400.1, XP_033131005.1, XP_033136774.1, XP_033131803.1, XP_033131796.1, XP_033131795.1, XP_033132141.1, XP_033141150.1, XP_033143342.1, XP_033132082.1, XP_033131560.1, XP_033132135.1, XP_033148733.1, XP_033135014.1, XP_033138739.1, XP_033148515.1, XP_033131337.1, XP_033143353.1, XP_033143430.1	g4652, g42066
OG0000000	XP_033130110.1	g36335
OG0000000	XP_033129351.1, XP_009117187.1	g34709, g4497, g26082, g48927
OG0000000	XP_033147264.1, XP_033134838.1, XP_033130352.1, XP_033142250.1, XP_009114092.1, XP_009138592.1, XP_009103531.2	g44562, g51061, g1238, g44545, g28474, g44506, g29058, g23419, g19097, g2263
OG0000000	XP_033134325.1, XP_033135924.1	g30907
OG0000002	XP_033138748.1	g16055, g23051, g18890, g45322
OG0000002	XP_033148076.1, XP_033134169.1	g28128, g35851, g3258, g32516
OG0000003	XP_033145314.1, XP_009145336.1	g14063
OG0000003	XP_033147757.1, XP_018509111.1, XP_033133957.1, XP_033145281.1, XP_033134016.1	g51436, g50080, g50933, g49020
OG0000003	XP_009123480.1	g25137
OG0000003	XP_033129481.1, XP_033134448.1, XP_033143250.1	g6810, g1448
OG0000003	XP_018510870.2	g25134, g35681, g14225, g41636
OG0000003	XP_033129527.1	g24632
OG0000003	XP_033129372.1	g42622
OG0000003	XP_033136094.1	g37408, g4680, g45852, g48285, g35551, g39300, g41607, g2783, g14645, g26213, g52072, g37684, g32875, g43390, g11178, g53942, g4056, g32055, g3715
OG0000003	XP_033146211.1, XP_033142170.1, XP_033143214.1, XP_033131873.1, XP_033146253.1, XP_009113517.1	g46643, g3725, g24106
OG0000004	XP_033142309.1	g1377
OG0000004	XP_033148227.1, XP_033141775.1, XP_033140426.1, XP_033141600.1, XP_033131490.1, XP_033129333.1, XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1	g42410, g1669, g8852, g8926, g33256, g8658, g27882, g42971, g52490, g11635, g26594, g26034, g30059
OG0000004	XP_033140624.1	g52367, g20888, g21409, g43220
OG0000004	XP_033138950.1, XP_033130324.1	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889
OG0000004	XP_033136136.1, XP_033145979.1, XP_033148872.1, XP_033133487.1, XP_033132457.1, XP_033132962.1	g30371, g48085, g4721, g53669, g21500, g25180, g52738, g21847
OG0000004	XP_033138897.1	g48700, g20926, g15557, g42275, g8925, g8257, g28585, g16658, g39214, g39216, g48656, g1668, g8853, g30531
OG0000004	XP_033142456.1	g33631, g43176, g15592, g4171, g14802, g15021, g34561, g26667, g14313, g33258, g43654, g42520, g29885, g4102, g33569, g9309, g43377, g43378, g35386, g48663, g21402, g9399, g21492, g48652, g53446, g48258, g26620, g4470, g34565, g14368, g32653, g50172, g19951, g16396, g30119, g33584, g8542, g34135, g42650, g49072, g24928, g8860, g21489, g4436, g9343, g33583, g3511, g48666, g48519, g42149, g52504
OG0000004	XP_033131609.1	g30683, g11402, g42267, g4097, g35533, g26378, g25248, g4110, g26383, g33093, g52754
OG0000004	XP_033129968.1, XP_033131705.1, XP_033129977.1, XP_033146608.1	g6262
OG0000004	XP_033139378.1, XP_033139209.1	g15622
OG0000005	XP_033147058.1	g49126, g35025, g4314, g3006, g14436, g25221, g43590
OG0000005	XP_033148793.1	g36078, g42010
OG0000005	XP_018511976.2	g3007
OG0000005	XP_033148226.1	g35068, g53526
OG0000005	XP_009106784.1	g43208, g6103, g1720
OG0000005	XP_033139184.1	g49196
OG0000005	XP_033145199.1, XP_033138856.1, XP_033139537.1	g21883
OG0000005	XP_033138922.1	g8684, g42471, g30075, g8186, g34553, g33523, g19890, g30141
OG0000005	XP_033139497.1	g26380, g21776
OG0000005	XP_033134418.1	g21278, g20466, g48110, g35853, g34379, g25150, g49153, g15688, g34015, g9373, g39078, g34881, g53100, g43002, g53316, g33907, g48442, g52431, g30155, g48992, g15070, g42274, g49109, g20971, g26111, g21486, g21325, g8468, g43585, g43545, g43879, g39189, g21259
OG0000005	XP_033139316.1	g24941, g6067, g53318, g33724
OG0000005	XP_033131095.1, XP_033139207.1	g39080, g34188, g39076, g48144, g30487, g38818
OG0000005	XP_033139380.1	g34165, g43672, g41752, g9458
OG0000005	XP_033139140.1	g34716, g49092
OG0000005	XP_033138479.1	g34166, g29824
OG0000005	XP_033139222.1, XP_033139526.1, XP_033139499.1, XP_033139354.1, XP_033139287.1, XP_033139242.1, XP_033138902.1, XP_033139528.1, XP_033141136.1, XP_033139289.1, XP_033139427.1, XP_033139424.1, XP_033139498.1, XP_033139368.1	g16442, g21798, g21724
OG0000005	XP_033134337.1	g20611, g15105, g33817
OG0000007	XP_033140542.1, XP_033128538.1	g4635
OG0000007	XP_033132504.1	g40547, g4032, g24749, g15595
OG0000007	XP_033131877.1	g24723, g1457, g35540
OG0000007	XP_018510598.1, XP_033137354.1, XP_033148175.1, XP_009151426.1, XP_033148049.1, XP_033136152.1, XP_033130526.1, XP_018513873.2, XP_033139229.1, XP_009127425.2, XP_033140897.1, XP_009103747.2, XP_033133217.1, XP_033138322.1, XP_009128548.2, XP_009107586.3, XP_033137263.1, XP_009128533.2, XP_033145152.1, XP_033129678.1, XP_009144141.2, XP_033140024.1, XP_033134787.1, XP_033141430.1, XP_009140704.1	g16483
OG0000007	XP_033142256.1, XP_033131850.1, XP_033132443.1, XP_033141204.1, XP_033141185.1, XP_033143314.1, XP_033128723.1	g47006, g45886, g50470
OG0000007	XP_033136688.1, XP_033147435.1, XP_009108642.2, XP_018512011.2	g47000, g11663, g32442, g35394, g34804
OG0000008	XP_033147955.1	g36794
OG0000008	XP_033147243.1	g35255, g34273, g25872
OG0000008	XP_033145226.1	g26783
OG0000008	XP_033139686.1, XP_033140769.1	g4483
OG0000008	XP_033138353.1	g11343
OG0000008	XP_033131793.1	g33123
OG0000009	XP_033139461.1	g1267, g50707, g54239, g22012, g2983, g47996, g6090, g43671, g9847, g53582
OG0000009	XP_033143163.1	g10582
OG0000009	XP_009117682.2	g50155, g5748, g1727
OG0000009	XP_033128715.1, XP_018515150.1	g39670, g22668, g25460, g181, g49313
OG0000009	XP_009117702.1, XP_009147334.1, XP_009135550.2, XP_033134013.1, XP_009113005.2, XP_033131870.1, XP_009102722.2, XP_009129720.1, XP_009124848.1, XP_009140864.1, XP_009139318.2, XP_018509100.1, XP_009146774.1	g11275, g53238, g41488, g4401, g4394, g44957
OG0000009	XP_009142128.2, XP_009147176.2, XP_009152175.2, XP_018513613.1	g23979, g28647, g29131, g1512
OG0000011	XP_033140208.1, XP_033129445.1, XP_033136844.1, XP_033130854.1, XP_033144009.1, XP_033128807.1	g18071, g2721, g42559, g4725, g47538
OG0000011	XP_018509279.1, XP_033141867.1	g16592, g1020
OG0000011	XP_033144010.1	g41576
OG0000011	XP_033139088.1, XP_033131994.1, XP_033139376.1	g48, g50936
OG0000011	XP_033143497.1, XP_033129499.1, XP_018513221.2, XP_033148218.1, XP_018514420.1	g16517, g46209, g52302, g50725, g9756, g40322, g40680, g46208, g46628, g28265, g45606, g286, g36844, g27603
OG0000011	XP_033132530.1	g450, g26627, g32634
OG0000011	XP_033131097.1, XP_033133861.1, XP_018512770.1, XP_033128536.1	g24975
OG0000011	XP_033134218.1, XP_033140102.1, XP_018515142.1, XP_033129402.1	g2720, g19256
OG0000012	XP_033131837.1	g4219, g9033, g16484, g37833
OG0000012	XP_009150017.2	g26075
OG0000014	XP_033138101.1	g19791, g52909, g26674, g4300, g16405, g35809, g35692, g30259, g7994, g4606, g8736, g49794, g48035, g14367, g53110, g14694, g52347, g16258, g8788, g36341, g30447, g14547, g14537, g14496, g14517, g14826, g9281, g32574, g25814, g30464, g25793, g16617, g25898, g42953, g14379, g33305
OG0000014	XP_033136960.1, XP_033131254.1, XP_033136067.1, XP_033143499.1	g41787, g16664, g14840, g16137, g4531, g33603, g43765, g52317, g42680, g53952, g16014, g4520, g43535, g28146, g4183, g33671, g3907, g13559, g3037, g4016, g43958, g24884, g41846, g42731, g43003, g33273, g15788, g25117, g50988, g33041, g52875, g26143, g50962
OG0000014	XP_033136253.1	g45670
OG0000014	XP_033134222.1	g30067, g16305, g42652, g20317, g17636, g4255, g12079, g35691, g42926, g14081, g43840, g44712, g4140
OG0000014	XP_033133951.1, XP_033148585.1	g53893
OG0000014	XP_033137204.1	g18001, g43148, g43743
OG0000014	XP_033138986.1	g48054
OG0000015	XP_033148475.1	g53143, g40661, g34265, g35247, g53815, g14879
OG0000015	XP_033148829.1	g36777, g35814, g10206, g17194, g42100
OG0000015	XP_009113103.2, XP_033138269.1	g42908, g43716, g41967
OG0000015	XP_033136397.1, XP_033137014.1	g26998, g24843, g14643, g12672, g5446, g48095, g26670
OG0000015	XP_033143221.1	g38798, g8683
OG0000015	XP_009145186.1	g41971, g39565, g4758, g26125, g35684, g3315, g8210, g24633, g8709, g3775, g53218, g42134, g3753, g42171, g26614
OG0000015	XP_009105628.1	g12285
