Orthogroup	Cardamine_hirsuta	Raphanus_sativus
OG0000000	CARHR219240, CARHR166210	XP_018453653.1
OG0000000	CARHR219900, CARHR034550	XP_018436035.1
OG0000000	CARHR228880, CARHR142010	XP_018435931.1
OG0000000	CARHR153350	XP_018435536.1, XP_018465308.1, XP_018463500.1, XP_018443699.1, XP_018459856.1, XP_018461626.1
OG0000007	CARHR258710	XP_018462223.1
OG0000007	CARHR183200, CARHR262650, CARHR128850, CARHR121710, CARHR180980, CARHR287750, CARHR115290, CARHR256390, CARHR262640, CARHR216870, CARHR058800, CARHR052910, CARHR152010, CARHR154010	XP_018448723.1, XP_018448724.1
OG0000007	CARHR144660, CARHR100290	XP_018480139.1
OG0000007	CARHR266890	XP_018487693.1
OG0000007	CARHR151410	XP_018479518.1, XP_018479614.1
OG0000007	CARHR214530	XP_018468724.1
OG0000007	CARHR216040	XP_018459130.1
OG0000007	CARHR051840	XP_018458777.1
OG0000008	CARHR101910	XP_018487720.1
OG0000008	CARHR035430, CARHR217860	XP_018487527.1, XP_018467072.1
OG0000008	CARHR118900	XP_018436131.1
OG0000008	CARHR115010	XP_018459044.1
OG0000008	CARHR291920, CARHR221030, CARHR117380	XP_018487725.1
OG0000008	CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350	XP_018438736.1
OG0000008	CARHR103530	XP_018473385.1
OG0000008	CARHR257810, CARHR218380	XP_018448604.1
OG0000008	CARHR118910, CARHR216990, CARHR111800	XP_018435526.1
OG0000009	CARHR034640, CARHR017910	XP_018479454.1
OG0000009	CARHR160220	XP_018473642.1
OG0000009	CARHR153540, CARHR055780	XP_018459193.1
OG0000011	CARHR259400	XP_018448673.1, XP_018475002.1
OG0000012	CARHR032700	XP_018458558.1
OG0000015	CARHR110600	XP_018459146.1, XP_018463612.1
OG0000020	CARHR113350, CARHR034150, CARHR049310	XP_018463663.1, XP_018481037.1, XP_018464215.1, XP_018448670.1, XP_018448669.1
OG0000020	CARHR213120	XP_018460984.1, XP_018460983.1
OG0000021	CARHR146600	XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1
OG0000022	CARHR234420	XP_018467852.1
OG0000022	CARHR196550	XP_018446660.1
OG0000022	CARHR049170	XP_018452507.1
OG0000022	CARHR045470, CARHR051030, CARHR048220, CARHR049120	XP_018456914.1, XP_018456330.1
OG0000022	CARHR013000	XP_018439379.1
OG0000022	CARHR213210	XP_018478989.1
OG0000022	CARHR091960	XP_018437843.1
OG0000024	CARHR030420	XP_018458976.1, XP_018467451.1
OG0000024	CARHR126510, CARHR030870	XP_018467644.1
OG0000024	CARHR062310	XP_018436387.1
OG0000024	CARHR168020, CARHR167830	XP_018487153.1
OG0000024	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190	XP_018448575.1, XP_018448576.1
OG0000025	CARHR288360	XP_018487947.1
OG0000026	CARHR104160	XP_018461685.1, XP_018479510.1, XP_018487597.1, XP_018480090.1, XP_018462643.1, XP_018487821.1, XP_018475107.1, XP_018456285.1, XP_018433777.1, XP_018448780.1, XP_018467220.1, XP_018487563.1, XP_018463237.1, XP_018470316.1, XP_018465470.1, XP_018487975.1, XP_018487976.1, XP_018448492.1, XP_018487480.1, XP_018440445.1, XP_018458044.1, XP_018462689.1, XP_018458371.1, XP_018479432.1, XP_018432616.1, XP_018489035.1, XP_018448499.1, XP_018463920.1
OG0000027	CARHR255040	XP_018476504.1, XP_018476512.1, XP_018454315.1
OG0000027	CARHR057450	XP_018468520.1, XP_018468522.1
OG0000027	CARHR230660	XP_018468514.1, XP_018468509.1, XP_018468512.1
OG0000027	CARHR230510	XP_018451933.1, XP_018448914.1
OG0000027	CARHR230500	XP_018451939.1, XP_018448955.1
OG0000027	CARHR230410	XP_018458837.1, XP_018459041.1
OG0000027	CARHR254870	XP_018454312.1
OG0000027	CARHR254910, CARHR254920	XP_018453781.1
OG0000027	CARHR254880	XP_018455630.1
OG0000027	CARHR230440	XP_018463400.1, XP_018480408.1
OG0000028	CARHR267510, CARHR281550, CARHR242960, CARHR104940, CARHR028790, CARHR285330, CARHR220000, CARHR100780	XP_018467289.1, XP_018480012.1
OG0000028	CARHR030090, CARHR289310	XP_018474154.1, XP_018475339.1
OG0000028	CARHR269260, CARHR269250	XP_018474185.1, XP_018475245.1, XP_018465891.1, XP_018474187.1
OG0000028	CARHR268630, CARHR289300	XP_018475306.1, XP_018475278.1
OG0000028	CARHR267520, CARHR267660	XP_018474189.1, XP_018474190.1, XP_018466632.1, XP_018466593.1, XP_018466641.1, XP_018466603.1, XP_018469501.1, XP_018466579.1, XP_018466613.1, XP_018469209.1, XP_018469254.1, XP_018440554.1, XP_018440555.1, XP_018469276.1, XP_018469113.1, XP_018466902.1, XP_018466824.1, XP_018469469.1
OG0000028	CARHR242050	XP_018465681.1, XP_018448362.1
OG0000028	CARHR244240	XP_018448361.1, XP_018448364.1, XP_018435503.1
OG0000028	CARHR028780, CARHR203520	XP_018474193.1, XP_018474191.1, XP_018466544.1, XP_018480011.1
OG0000029	CARHR116610, CARHR153140	XP_018492516.1
OG0000030	CARHR134370	XP_018481995.1, XP_018492454.1
OG0000030	CARHR025790, CARHR162370, CARHR260760, CARHR260790	XP_018479424.1, XP_018466469.1, XP_018462013.1
OG0000030	CARHR158520, CARHR158510, CARHR158530	XP_018453970.1
OG0000030	CARHR088860, CARHR095910, CARHR026350	XP_018435374.1, XP_018435377.1, XP_018435375.1, XP_018435378.1
OG0000032	CARHR266440, CARHR116050, CARHR284910, CARHR106310, CARHR182600, CARHR114460, CARHR159330	XP_018459344.1
OG0000032	CARHR284230	XP_018487411.1
OG0000032	CARHR289940	XP_018487719.1
OG0000032	CARHR159350, CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880	XP_018482431.1
OG0000034	CARHR230270, CARHR230290	XP_018483350.1, XP_018468503.1
OG0000034	CARHR230240	XP_018436206.1
OG0000034	CARHR228000	XP_018460842.1, XP_018460841.1
OG0000034	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070	XP_018484117.1, XP_018484118.1
OG0000034	CARHR106160	XP_018460473.1
OG0000034	CARHR230230, CARHR230200	XP_018448921.1, XP_018448031.1
OG0000034	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650	XP_018467312.1
OG0000035	CARHR034500, CARHR120350, CARHR104490	XP_018460300.1, XP_018453765.1, XP_018464702.1, XP_018460797.1, XP_018464171.1, XP_018448429.1, XP_018448430.1, XP_018485080.1, XP_018460632.1
OG0000038	CARHR187570	XP_018460335.1
OG0000039	CARHR184170	XP_018459982.1
OG0000042	CARHR181500	XP_018435669.1
OG0000043	CARHR288090	XP_018460645.1, XP_018474025.1, XP_018435759.1
OG0000044	CARHR116340	XP_018464129.1, XP_018440463.1
OG0000044	CARHR223510	XP_018466419.1
OG0000044	CARHR175070	XP_018448646.1
OG0000044	CARHR292230	XP_018454138.1, XP_018465769.1
OG0000044	CARHR175260	XP_018474392.1, XP_018457475.1
OG0000044	CARHR174840	XP_018440461.1, XP_018440462.1
OG0000044	CARHR116350	XP_018448890.1
OG0000044	CARHR223530	XP_018449076.1
OG0000044	CARHR222980, CARHR290490, CARHR223500	XP_018449081.1, XP_018460032.1
OG0000046	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330, CARHR116100, CARHR183570, CARHR057390, CARHR107370, CARHR152970	XP_018472630.1
OG0000046	CARHR159290, CARHR150320, CARHR273180, CARHR286710, CARHR217190, CARHR117470	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1
OG0000047	CARHR257880	XP_018479427.1, XP_018479426.1, XP_018462781.1, XP_018454077.1, XP_018459807.1, XP_018479622.1, XP_018477313.1, XP_018460720.1, XP_018467566.1, XP_018435405.1, XP_018458916.1, XP_018467233.1, XP_018463074.1, XP_018479492.1, XP_018458501.1, XP_018463664.1, XP_018463678.1, XP_018466684.1, XP_018453678.1
OG0000048	CARHR054750	XP_018436807.1
OG0000048	CARHR125110	XP_018467221.1, XP_018487960.1, XP_018443410.1, XP_018444815.1, XP_018442224.1, XP_018463243.1, XP_018479860.1, XP_018463443.1, XP_018436316.1, XP_018436315.1, XP_018434883.1
OG0000048	CARHR125800	XP_018466188.1
OG0000048	CARHR207670, CARHR126120	XP_018436322.1
OG0000048	CARHR126110	XP_018453414.1
OG0000049	CARHR220930	XP_018479410.1, XP_018435505.1, XP_018463619.1
OG0000050	CARHR154060	XP_018479391.1, XP_018460528.1, XP_018479861.1
OG0000050	CARHR071180, CARHR153550	XP_018487606.1, XP_018479191.1
OG0000051	CARHR002800	XP_018493126.1
OG0000051	CARHR109310	XP_018435533.1, XP_018438374.1, XP_018463100.1, XP_018455750.1, XP_018463099.1
OG0000051	CARHR127280	XP_018473990.1, XP_018465828.1
OG0000051	CARHR256260	XP_018482778.1, XP_018482777.1, XP_018432826.1
OG0000051	CARHR137540	XP_018436547.1, XP_018436548.1, XP_018436546.1, XP_018436545.1, XP_018436438.1, XP_018436441.1
OG0000052	CARHR148060	XP_018479392.1, XP_018479394.1, XP_018479395.1, XP_018481202.1
OG0000052	CARHR065210, CARHR065340, CARHR278910, CARHR148040, CARHR150860	XP_018454118.1
OG0000052	CARHR162490, CARHR162550	XP_018440341.1, XP_018440340.1, XP_018436949.1
OG0000052	CARHR162560, CARHR162540, CARHR162510, CARHR162500, CARHR162570	XP_018454062.1
OG0000054	CARHR218070, CARHR104410, CARHR182000, CARHR219040, CARHR221160, CARHR284340, CARHR057830, CARHR034710	XP_018460999.1
OG0000054	CARHR153240	XP_018453724.1
OG0000055	CARHR100810, CARHR107470, CARHR177430, CARHR192030	XP_018474315.1, XP_018475877.1, XP_018475876.1, XP_018460442.1, XP_018475208.1, XP_018448356.1, XP_018469080.1, XP_018460063.1
OG0000055	CARHR094260	XP_018488227.1
OG0000055	CARHR149840	XP_018489800.1
OG0000055	CARHR111010	XP_018435448.1, XP_018464098.1, XP_018440394.1
OG0000056	CARHR155600	XP_018456965.1, XP_018435121.1
OG0000059	CARHR293330, CARHR148640, CARHR151940, CARHR118340	XP_018476848.1, XP_018448721.1, XP_018436112.1, XP_018463973.1, XP_018467561.1, XP_018467345.1, XP_018443425.1, XP_018448461.1, XP_018435913.1, XP_018487671.1, XP_018458755.1, XP_018443688.1
OG0000059	CARHR286550, CARHR102470, CARHR152130	XP_018438980.1
OG0000061	CARHR270010	XP_018469367.1, XP_018471384.1, XP_018467960.1, XP_018457588.1
OG0000061	CARHR039590	XP_018464627.1
OG0000061	CARHR123140	XP_018467401.1
OG0000061	CARHR151510, CARHR219570	XP_018487822.1
OG0000064	CARHR050760, CARHR273290, CARHR054420, CARHR289730, CARHR289690	XP_018459458.1, XP_018459460.1, XP_018459461.1, XP_018459459.1, XP_018458876.1, XP_018458874.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1
OG0000065	CARHR214320	XP_018479733.1, XP_018460986.1
OG0000065	CARHR059230, CARHR059320, CARHR124320	XP_018461745.1, XP_018470308.1
OG0000065	CARHR059260, CARHR059160	XP_018470312.1
OG0000065	CARHR059130, CARHR059070, CARHR059140	XP_018442727.1, XP_018444185.1
OG0000065	CARHR059150	XP_018466796.1, XP_018470309.1
OG0000065	CARHR059360, CARHR263420	XP_018467421.1, XP_018461735.1
OG0000065	CARHR059200	XP_018461774.1
OG0000065	CARHR214430, CARHR214400	XP_018483048.1, XP_018483050.1, XP_018464170.1
OG0000065	CARHR257300	XP_018435200.1
OG0000065	CARHR257310	XP_018462982.1
OG0000065	CARHR263400, CARHR263410	XP_018481866.1, XP_018462609.1, XP_018479313.1, XP_018464676.1, XP_018481217.1
OG0000066	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160	XP_018433979.1, XP_018456938.1, XP_018470662.1, XP_018439713.1, XP_018448989.1, XP_018445234.1, XP_018448990.1, XP_018470661.1, XP_018456939.1
OG0000066	CARHR202310	XP_018474475.1, XP_018468122.1, XP_018468121.1, XP_018447173.1, XP_018443026.1, XP_018450392.1, XP_018442730.1, XP_018474474.1
OG0000068	CARHR210960	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1
OG0000069	CARHR264460	XP_018479217.1, XP_018479215.1, XP_018479201.1, XP_018465639.1, XP_018438799.1, XP_018484272.1, XP_018484259.1, XP_018461828.1, XP_018437258.1, XP_018475087.1, XP_018479296.1, XP_018479295.1, XP_018465128.1
OG0000069	CARHR070150	XP_018467622.1
OG0000070	CARHR010350, CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500	XP_018439895.1, XP_018455246.1
OG0000070	CARHR020650	XP_018435343.1
OG0000070	CARHR069500	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000070	CARHR052170, CARHR288810	XP_018475135.1
OG0000072	CARHR153090	XP_018458408.1
OG0000072	CARHR292290	XP_018465335.1, XP_018448501.1, XP_018436002.1, XP_018460221.1, XP_018464358.1, XP_018458942.1, XP_018462168.1
OG0000075	CARHR247180	XP_018468037.1, XP_018467919.1, XP_018459482.1, XP_018471019.1, XP_018453598.1
OG0000075	CARHR247150, CARHR221070, CARHR247140	XP_018481197.1, XP_018459483.1
OG0000076	CARHR247830	XP_018480217.1
OG0000076	CARHR260300	XP_018435433.1, XP_018436299.1, XP_018488002.1, XP_018454002.1, XP_018436289.1, XP_018436283.1, XP_018436285.1, XP_018436286.1, XP_018437674.1, XP_018467455.1, XP_018482750.1, XP_018436301.1, XP_018436349.1, XP_018476025.1, XP_018475567.1, XP_018463206.1, XP_018474153.1, XP_018464851.1, XP_018463265.1, XP_018482751.1, XP_018469272.1, XP_018436302.1, XP_018474027.1, XP_018474028.1, XP_018436303.1, XP_018467354.1, XP_018443480.1, XP_018443483.1, XP_018444827.1, XP_018444944.1, XP_018449802.1, XP_018449809.1, XP_018443478.1, XP_018443481.1, XP_018444994.1, XP_018465975.1, XP_018466260.1, XP_018472219.1, XP_018461543.1, XP_018443571.1, XP_018443574.1, XP_018461537.1, XP_018468598.1, XP_018464034.1
OG0000077	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080	XP_018473635.1, XP_018473636.1, XP_018483784.1
OG0000077	CARHR288740, CARHR145630	XP_018435698.1
OG0000078	CARHR194990, CARHR195030, CARHR195060, CARHR195010	XP_018468001.1, XP_018475082.1, XP_018467409.1, XP_018475059.1, XP_018475741.1, XP_018474955.1, XP_018475088.1, XP_018474996.1
OG0000079	CARHR151670, CARHR119610	XP_018482195.1
OG0000081	CARHR217030, CARHR117010	XP_018436245.1
OG0000081	CARHR264280	XP_018463440.1, XP_018467536.1, XP_018436146.1
OG0000081	CARHR258030	XP_018448853.1, XP_018446553.1, XP_018453862.1, XP_018491908.1, XP_018490120.1, XP_018463484.1, XP_018462409.1
OG0000082	CARHR184640	XP_018442695.1
OG0000086	CARHR214860	XP_018479609.1
OG0000086	CARHR214870	XP_018444904.1
OG0000086	CARHR058690, CARHR058660, CARHR058640, CARHR058680	XP_018445028.1, XP_018459504.1
OG0000089	CARHR189700	XP_018477697.1, XP_018484582.1
OG0000089	CARHR122890	XP_018440871.1
OG0000089	CARHR200860	XP_018476501.1, XP_018446020.1
OG0000089	CARHR178800	XP_018439894.1, XP_018456689.1, XP_018457306.1, XP_018483831.1
OG0000089	CARHR128920	XP_018434101.1
OG0000089	CARHR069200	XP_018446239.1, XP_018463490.1
OG0000090	CARHR116840, CARHR259920	XP_018439216.1
OG0000091	CARHR155710, CARHR155700	XP_018439296.1
OG0000091	CARHR155720	XP_018436152.1
OG0000091	CARHR192340, CARHR192330	XP_018474898.1, XP_018446823.1
OG0000092	CARHR180960, CARHR036310	XP_018436214.1
OG0000092	CARHR216160	XP_018453851.1
OG0000092	CARHR225750	XP_018462904.1
OG0000092	CARHR293270	XP_018455197.1
OG0000095	CARHR117030, CARHR118620	XP_018478409.1, XP_018478874.1
OG0000095	CARHR117020	XP_018479774.1, XP_018464217.1, XP_018479773.1
