Orthogroup	Rorippa_islandica	Arabidopsis_arenosa
OG0000000	Roisl.0214s0322.1.p, Roisl.0008s0147.1.p, Roisl.0082s0510.1.p, Roisl.0009s0190.1.p, Roisl.0191s0689.1.p, Roisl.0053s0029.1.p, Roisl.0055s0043.1.p, Roisl.0046s1083.1.p, Roisl.0185s0067.1.p, Roisl.0204s0096.1.p, Roisl.0185s0075.1.p	jg16911, jg12161, jg21611
OG0000000	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p	jg27616
OG0000002	Roisl.0194s0020.1.p	jg2023, jg27584
OG0000003	Roisl.0058s0052.1.p, Roisl.0189s0151.1.p, Roisl.0214s0907.1.p, Roisl.0047s0023.1.p, Roisl.0213s0678.1.p, Roisl.0005s0145.1.p, Roisl.0214s0184.1.p, Roisl.0188s0028.1.p, Roisl.0004s0406.1.p, Roisl.0053s0433.1.p, Roisl.0037s0060.1.p, Roisl.0184s0058.1.p	jg27926
OG0000003	Roisl.0194s0028.1.p, Roisl.0209s0038.1.p	jg13879
OG0000003	Roisl.0041s0053.1.p, Roisl.0008s0063.1.p, Roisl.0040s0026.1.p, Roisl.0015s0146.1.p, Roisl.0083s0007.1.p, Roisl.0066s0424.1.p	jg27173
OG0000003	Roisl.0179s0091.1.p, Roisl.0214s0894.1.p	jg17562
OG0000004	Roisl.0022s0436.1.p	jg12072, jg12472, jg1749
OG0000005	Roisl.0027s0129.1.p, Roisl.0211s0001.1.p, Roisl.0010s0029.1.p, Roisl.0082s0007.1.p, Roisl.0209s0534.1.p, Roisl.0213s0012.1.p, Roisl.0210s2163.1.p, Roisl.0083s0041.1.p, Roisl.0179s0032.1.p, Roisl.0206s0002.1.p, Roisl.0075s0007.1.p, Roisl.0185s0041.1.p, Roisl.0061s0001.1.p, Roisl.0077s0002.1.p, Roisl.0087s0026.1.p, Roisl.0184s0028.1.p, Roisl.0061s0007.1.p	jg1672
OG0000008	Roisl.0046s1132.1.p, Roisl.0046s1119.1.p	jg15054, jg15062, jg15069, jg15057
OG0000011	Roisl.0008s0052.1.p	jg33383, jg21637
OG0000011	Roisl.0019s0018.1.p	jg4342
OG0000012	Roisl.0011s0567.1.p	jg27473, jg29119
OG0000012	Roisl.0198s0021.1.p, Roisl.0082s0083.1.p	jg9712, jg17246
OG0000014	Roisl.0023s0108.1.p	jg1574
OG0000020	Roisl.0179s0050.1.p	jg27354
OG0000020	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p	jg2142
OG0000020	Roisl.0082s0242.1.p	jg32618
OG0000020	Roisl.0037s0007.1.p, Roisl.0066s0087.1.p	jg6884, jg7335
OG0000020	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p	jg11780, jg21044, jg32221, jg11614, jg1479, jg1901, jg6982, jg14690, jg6883
OG0000020	Roisl.0214s0109.1.p	jg32222, jg15995
OG0000021	Roisl.0082s0017.1.p	jg32225, jg20321, jg1978, jg701, jg3954
OG0000021	Roisl.0179s0097.1.p, Roisl.0198s0008.1.p	jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287
OG0000021	Roisl.0066s0388.1.p	jg32393, jg11989, jg32560, jg4400, jg26774
OG0000021	Roisl.0014s0139.1.p	jg25715
OG0000022	Roisl.0022s0346.1.p	jg9770
OG0000022	Roisl.0210s1365.1.p	jg5495
OG0000022	Roisl.0010s0089.1.p, Roisl.0010s0086.1.p	jg643, jg617, jg616, jg618, jg613
OG0000022	Roisl.0010s0095.1.p	jg645, jg586, jg583, jg572
OG0000022	Roisl.0010s0065.1.p	jg642
OG0000022	Roisl.0010s0092.1.p	jg612, jg610, jg644
OG0000022	Roisl.0008s0013.1.p	jg582, jg588, jg580, jg611
OG0000022	Roisl.0028s0598.1.p	jg29675
OG0000022	Roisl.0010s0069.1.p	jg638
OG0000022	Roisl.0021s0361.1.p	jg29724
OG0000022	Roisl.0021s0350.1.p	jg29711
OG0000022	Roisl.0050s0030.1.p	jg372
