Orthogroup	Eutrema_salsugineum	Arabidopsis_lyrata_Rawat
OG0000000	XP_024004899.1	AL2G10230, AL4G12690, AL532U10010, AL8G16910
OG0000000	XP_024006886.1, XP_024011324.1	AL6G33910, AL4G36510
OG0000000	XP_024006398.1	AL6G49130
OG0000000	XP_024004414.1	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040, AL6G34180
OG0000000	XP_024010239.1, XP_024016203.1, XP_024012343.1, XP_024011123.1	AL4G31100, AL4G37840, AL7G43450, AL4G13050, AL5G14690
OG0000000	XP_024013148.1	AL7G47010
OG0000000	XP_024014707.1	AL8G17990, AL4G17570
OG0000000	XP_024006491.1	AL4G28670, AL4G26210, AL8G16780, AL1G59080, AL5G14470, AL7G39190, AL5G26100, AL3G22550, AL3G46930, AL2G10670
OG0000000	XP_024004047.1, XP_024008096.1, XP_024016872.1, XP_024014000.1, XP_024010207.1	AL7G35400
OG0000002	XP_024016289.1, XP_024016302.1, XP_024016271.1, XP_024010360.1, XP_024015836.1	AL7G45780, AL7G43430, AL5G25580, AL2G27160, AL1G53170, AL9U10140, AL5G30280, AL3G49840, AL3G15910
OG0000002	XP_024006551.1	AL3G37080
OG0000002	XP_024015214.1, XP_024010428.1, XP_024014055.1, XP_024004035.1, XP_024010274.1, XP_024009787.1, XP_024014545.1, XP_024015965.1, XP_024015835.1, XP_024011225.1, XP_024014994.1, XP_024013910.1, XP_024004913.1, XP_024011113.1, XP_024016286.1, XP_024005018.1, XP_024014765.1, XP_024010367.1, XP_024011386.1, XP_024010917.1, XP_024013995.1, XP_024016214.1, XP_024013252.1, XP_024015942.1, XP_024016545.1, XP_024016832.1, XP_024007222.1, XP_024013919.1, XP_024016563.1, XP_024011289.1, XP_024013913.1, XP_024004935.1, XP_024014816.1, XP_024009618.1, XP_024004973.1, XP_024004934.1, XP_024011355.1, XP_024010481.1, XP_024015298.1, XP_024013904.1, XP_024016251.1, XP_024012926.1, XP_024015916.1, XP_024010916.1, XP_024004042.1, XP_024016831.1, XP_024010385.1, XP_024004936.1, XP_024014573.1, XP_024009949.1, XP_024007765.1, XP_024004949.1, XP_024014451.1, XP_024004820.1, XP_024009486.1, XP_024014438.1, XP_024006401.1, XP_024015242.1, XP_024007240.1, XP_024013349.1	AL8G20200
OG0000002	XP_024009451.1, XP_024013993.1, XP_024016193.1, XP_024013954.1, XP_024016116.1, XP_024013210.1, XP_024015869.1, XP_024011258.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024010553.1, XP_024009251.1, XP_024010604.1, XP_024014521.1, XP_024006130.1, XP_024009464.1, XP_024009904.1, XP_024010307.1, XP_024013058.1, XP_024015923.1, XP_024011338.1, XP_024007318.1	AL8G36900, AL5G16580, AL1G63470, AL5G20000, AL2G19560, AL122U10020, AL6G39770, AL8G20740, AL987U10010, AL4G19260, AL4G18310, AL6G46170, AL5G15420, AL4G14990, AL7G51360, AL7G51800, AL1G67410, AL1G66540, AL4G21030, AL5G12150
OG0000003	XP_024004423.1	AL7G30150, AL5G20380, AL488U10010, AL4G29570
OG0000003	XP_024006452.1	AL8G41490, AL4G39950, AL363U10020
OG0000003	XP_024009427.1	AL7G48880
OG0000003	XP_024007280.1, XP_024009246.1	AL4G18120
OG0000003	XP_024010659.1, XP_024010914.1	AL433U10010
OG0000003	XP_024013151.1	AL4G19540
OG0000003	XP_024009435.1	AL1G57700, AL8G16600
OG0000003	XP_024010650.1	AL5G39250
OG0000003	XP_024014297.1	AL5G19450, AL2G17040
OG0000003	XP_024009942.1	AL6G19270
OG0000003	XP_024014231.1	AL1G51710, AL1G50760
OG0000003	XP_024007996.1	AL3G46190
OG0000003	XP_024004030.1	AL7G34100, AL3G40240, AL2G10360
OG0000004	XP_024013103.1, XP_024009926.1	AL5G28990
OG0000004	XP_024007302.1	AL2G22640, AL7G43300
OG0000004	XP_024014847.1, XP_024016570.1	AL1G65560
OG0000005	XP_024003648.1	AL4G12740
OG0000005	XP_006404995.2, XP_024013903.1	AL7G13490
OG0000005	XP_006402217.2, XP_024013358.1, XP_024016125.1, XP_024013775.1	AL97U10030, AL8G11290
OG0000005	XP_024016833.1	AL2G18790
OG0000005	XP_024009771.1, XP_024007306.1	AL7G43820, AL7G43690
OG0000005	XP_024010905.1, XP_024015845.1	AL3G44970
OG0000007	XP_024009204.1, XP_024014376.1, XP_024006867.1, XP_024007289.1	AL9U10810
OG0000007	XP_024014636.1, XP_024004080.1, XP_024013187.1	AL4G24120
OG0000007	XP_024007990.1	AL8G18310, AL1G37680, AL3G20440
OG0000007	XP_024007956.1, XP_024014249.1	AL2G22610
