Orthogroup	Euclidium_syriacum	Erysimum_linariifolium
OG0000000	ESY13_g56188_DN3_SP0_c88.t1	El003G159590
OG0000000	ESY7_g17009_DN2_SP0_c60.t1	El003G182470, El006G298040, El001G044720, El001G051780, El004G209750
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	El004G212920, El002G130310, El001G051980, El004G212930, El004G208640, El002G130320, El006G293750, El001G039400
OG0000003	ESY8_g60803_DN3_SP0_c6.t1	El003G189560
OG0000005	ESY7_g17772_DN2_SP0_c0.t1	El003G166140, El001G039730
OG0000005	ESY4_g24391_DN2_SP0_c0.t1, ESY9_g43818_DN1_SP0_c0.t1, ESY5_g1712_DN1_SP0_c0.t1, ESY19_g41266_DN2_SP0_c0.t1	El002G120600
OG0000005	ESY6_g47492_DN1_SP0_c0.t1	El003G167150, El003G184490, El004G208560
OG0000005	ESY16_g61766_DN2_SP0_c0.t1	El006G313160
OG0000005	ESY6_g47366_DN1_SP0_c0.t1	El002G123530
OG0000005	ESY1_g10225_DN1_SP0_c0.t1	El004G214890, El002G120930, El007G348880
OG0000005	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1	El002G122720, El007G349440, El001G070000, El002G135590, El005G263180, El006G313170
OG0000005	ESY11_g53352_DN1_SP0_c0.t1	El007G348140
OG0000007	ESY7_g16535_DN2_SP0_c0.t1	El006G311470, El007G349510
OG0000007	ESY16_g61843_DN2_SP0_c0.t1, ESY17_g39043_DN1_SP0_c0.t1	El007G352010, El006G311480
OG0000007	ESY19_g41595_DN1_SP0_c0.t1	El002G108270, El006G310450, El004G211980, El007G348570, El001G053750, El002G123330, El004G208390, El007G348150, El006G310200, El002G114670, El008G369640
OG0000007	ESY6_g47093_DN2_SP0_c0.t1	El006G293980
OG0000008	ESY15_g64840_DN3_SP0_c0.t1	El007G351000, El005G264190, El001G021720, El004G212460, El003G182320, El001G077860, El003G167760, El001G021990, El001G021710, El003G174670
OG0000012	ESY8_g61320_DN3_SP0_c0.t1	El002G120760
OG0000013	ESY8_g60272_DN2_SP0_c0.t1	El006G310100, El007G353330, El004G207030, El006G312640, El003G182060, El001G045710, El006G310400, El007G349810, El007G350800
OG0000015	ESY13_g57357_DN1_SP0_c0.t1	El001G070750, El003G167160
OG0000015	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1, ESY5_g1619_DN2_SP0_c2.t1, ESY4_g23103_DN1_SP0_c0.t1	El060G376140, El053G375740
OG0000015	ESY7_g16245_DN2_SP0_c0.t1	El001G047930
OG0000017	ESY1_g7308_DN3_SP0_c0.t1, ESY18_g63484_DN3_SP0_c0.t1	El007G356670
OG0000017	ESY1_g7621_DN3_SP0_c100.t1, ESY6_g46672_DN3_SP0_c94.t1	El004G210020
OG0000018	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	El003G154150, El006G318220, El001G007900, El001G053230, El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830, El002G082650
OG0000018	ESY9_g43986_DN3_SP0_c0.t1	El001G048290
OG0000019	ESY6_g48254_DN3_SP0_c48.t1, ESY8_g60783_DN3_SP0_c0.t1	El002G122780
OG0000019	ESY9_g42816_DN3_SP0_c48.t1, ESY8_g60782_DN3_SP0_c0.t1	El007G351400
OG0000020	ESY1_g7080_DN3_SP0_c33.t1	El007G347970
OG0000021	ESY8_g60366_DN2_SP0_c0.t1	El001G037390
OG0000021	ESY9_g43535_DN3_SP0_c0.t1, ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1	El005G277430, El007G325630
OG0000024	ESY6_g47516_DN2_SP0_c0.t1	El006G293740, El007G351440, El002G140900
OG0000025	ESY7_g18156_DN1_SP0_c46.t1	El003G176780, El001G014170
OG0000026	ESY1_g10661_DN2_SP0_c99.t1	El003G164110, El005G264370, El003G183480, El007G356660, El004G210040, El002G122340, El004G232830, El002G140810, El005G251640, El006G294370
OG0000027	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1	El002G120570, El001G054130, El006G316890, El006G314010
OG0000027	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1	El002G117920, El002G117750, El002G117960, El002G117930, El002G117950, El002G122790, El002G122410, El002G122550, El002G122530, El002G122520, El002G122750, El002G122400, El002G122390, El001G054180, El001G054190, El006G314050, El006G316880, El002G118120, El002G111110
OG0000028	ESY6_g48344_DN1_SP0_c0.t1	El004G212000, El004G211990, El007G348580
OG0000028	ESY1_g6329_DN2_SP0_c0.t1	El007G351990
OG0000029	ESY13_g57677_DN1_SP0_c0.t1	El007G359550, El001G031910, El006G302870, El002G125750, El008G368530, El003G179090, El007G348030, El008G371400, El008G371420, El008G371370, El008G371360, El001G044810, El001G046730, El007G356090, El006G308300, El003G165930, El002G089750, El006G307470
OG0000030	ESY4_g21739_DN1_SP0_c0.t1	El007G358700
OG0000030	ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1	El008G371380, El007G349640
OG0000030	ESY17_g39786_DN2_SP0_c77.t1, ESY1_g9008_DN2_SP0_c16.t1	El003G181960
OG0000034	ESY4_g23032_DN3_SP0_c100.t1	El004G208110, El007G350680, El007G350130
OG0000035	ESY8_g58364_DN2_SP0_c0.t1	El001G043940
OG0000035	ESY1_g12294_DN3_SP0_c0.t1	El001G033240, El001G033230
OG0000036	ESY13_g56710_DN1_SP0_c0.t1	El006G312180
OG0000037	ESY21_g55396_DN1_SP0_c0.t1	El005G262630, El005G272610, El006G315350, El001G053830, El004G202640, El003G180470, El005G260860
OG0000038	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1	El006G281890, El006G282510
OG0000038	ESY9_g42631_DN2_SP0_c0.t1	El001G019410
OG0000040	ESY5_g3539_DN1_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1	El006G296490, El006G297130
OG0000040	ESY9_g42572_DN2_SP0_c0.t1, ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1, ESY3_g32449_DN2_SP0_c0.t1	El005G250150
OG0000040	ESY3_g32163_DN2_SP0_c0.t1, ESY16_g61826_DN2_SP0_c0.t1, ESY16_g61827_DN2_SP0_c0.t1, ESY3_g30254_DN3_SP0_c0.t1	El005G250180
OG0000040	ESY3_g29344_DN3_SP0_c0.t1	El005G257410
