Orthogroup	Camelina_sativa	Raphanus_sativus
OG0000000	XP_010413204.1	XP_018443420.1
OG0000000	XP_019094484.1, XP_010469202.1	XP_018448502.1, XP_018460857.1
OG0000000	XP_019097419.1, XP_019093315.1, XP_010419097.1, XP_010445866.1, XP_010513025.1	XP_018435931.1
OG0000000	XP_010431321.2, XP_010480531.1	XP_018488005.1, XP_018435927.1, XP_018479789.1, XP_018463775.1
OG0000000	XP_019090119.1	XP_018459875.1
OG0000000	XP_010518602.1	XP_018473555.1
OG0000000	XP_010507236.1, XP_010513760.1, XP_010495271.1	XP_018462157.1
OG0000000	XP_019091045.1	XP_018460558.1
OG0000000	XP_010436306.1	XP_018472282.1
OG0000000	XP_019097375.1, XP_010513742.1, XP_010495131.1, XP_010518579.1, XP_010462992.1	XP_018448498.1, XP_018435739.1, XP_018435737.1, XP_018435702.1, XP_018463622.1, XP_018443673.1, XP_018453689.1, XP_018475855.1, XP_018479455.1
OG0000000	XP_010472251.1, XP_019099588.1, XP_010474031.1, XP_010472440.1, XP_010451797.1, XP_010507264.1, XP_010468426.1	XP_018479790.1, XP_018487667.1, XP_018488079.1, XP_018473662.1
OG0000000	XP_019098248.1, XP_019093248.1, XP_019092295.1	XP_018464511.1, XP_018474039.1, XP_018458646.1
OG0000000	XP_010507173.1, XP_019101891.1	XP_018459162.1
OG0000000	XP_010481232.1	XP_018464994.1, XP_018462595.1, XP_018435292.1, XP_018463801.1
OG0000000	XP_019093256.1	XP_018487799.1
OG0000000	XP_010473903.1, XP_010512944.1, XP_019099570.1	XP_018479791.1
OG0000000	XP_010419021.1, XP_010490159.1, XP_010474601.1	XP_018466708.1
OG0000000	XP_019095662.1	XP_018454128.1
OG0000000	XP_010513002.1	XP_018458409.1, XP_018458407.1
OG0000000	XP_010495165.1, XP_010495244.1	XP_018453573.1, XP_018462059.1
OG0000002	XP_010513476.1, XP_010484771.1	XP_018436084.1
OG0000002	XP_010495465.1, XP_010513345.1	XP_018466031.1
OG0000003	XP_019095265.1, XP_010468638.1	XP_018474062.1
OG0000003	XP_010462886.1, XP_010418651.1, XP_010481131.1, XP_010431573.1, XP_010463260.1, XP_010446053.1	XP_018467689.1, XP_018453433.1, XP_018453884.1, XP_018461971.1
OG0000003	XP_010430863.1, XP_010436564.1, XP_019082654.1, XP_010489852.1	XP_018453894.1
OG0000003	XP_010418577.1, XP_010501871.1, XP_010501997.1	XP_018435394.1
OG0000003	XP_019094476.1	XP_018436038.1
OG0000003	XP_019087498.1, XP_010473996.1, XP_010513199.1, XP_019087344.1, XP_010507014.1, XP_019091090.1, XP_019089122.1, XP_010436801.1, XP_010424388.1, XP_010445682.1, XP_010422568.1, XP_010445926.1, XP_019090166.1, XP_010424222.1, XP_019097041.1, XP_010451419.2, XP_010474264.1, XP_010475217.1	XP_018479479.1, XP_018458947.1
OG0000003	XP_010496100.1, XP_010474339.1, XP_010418675.1	XP_018460607.1
OG0000003	XP_010445963.1, XP_010418736.1, XP_010425414.1, XP_010430719.1	XP_018458309.1, XP_018477029.1
OG0000003	XP_010435962.1, XP_010513407.1	XP_018462918.1, XP_018474005.1, XP_018435481.1, XP_018443265.1
OG0000003	XP_019087435.1, XP_010481038.1	XP_018462893.1
OG0000003	XP_010436867.1	XP_018465542.1, XP_018459724.1, XP_018443678.1
OG0000003	XP_019089220.1	XP_018467654.1
OG0000003	XP_010473894.1	XP_018453583.1, XP_018479683.1
OG0000003	XP_010446092.1	XP_018487950.1, XP_018479095.1
OG0000003	XP_010419047.1, XP_019087294.1	XP_018435547.1
OG0000003	XP_019089103.1, XP_010468560.1, XP_010446081.1	XP_018473666.1
OG0000003	XP_010424837.2	XP_018443313.1, XP_018443314.1
OG0000003	XP_010495645.1	XP_018479089.1
OG0000004	XP_010484959.1, XP_019098112.1, XP_010451376.1, XP_010468186.1, XP_010501684.1	XP_018466160.1, XP_018473944.1
OG0000004	XP_019096757.1	XP_018467378.1
OG0000004	XP_010518461.1	XP_018459921.1
OG0000004	XP_010495705.2	XP_018454350.1
OG0000004	XP_010445376.1	XP_018464654.1
OG0000004	XP_019095344.1, XP_019085777.1, XP_019094874.1, XP_019088092.1	XP_018462257.1, XP_018435900.1
OG0000005	XP_019085415.1, XP_010450321.1	XP_018436209.1, XP_018454154.1
OG0000005	XP_010445703.1, XP_010497063.1	XP_018448864.1, XP_018460938.1
OG0000005	XP_010445304.1	XP_018463109.1
OG0000005	XP_010430868.1, XP_010495615.1, XP_019094583.1	XP_018443683.1
OG0000005	XP_010412462.1, XP_010451773.2	XP_018448581.1
OG0000005	XP_019098316.1, XP_019094600.1, XP_019097484.1, XP_019086811.1, XP_019091104.1, XP_019089272.1, XP_019085539.1, XP_019089029.1	XP_018462024.1, XP_018463630.1
OG0000005	XP_010445897.1, XP_010484749.1	XP_018458503.1
OG0000007	XP_010431016.1	XP_018455976.1, XP_018466179.1
