Orthogroup	Aethionema_saxatile	Capsella_rubella
OG0000000	As006G148660, As007G164610, As002G036700, As010G230770, As002G040030	XP_023632701.1
OG0000003	As008G191470	XP_023645768.1, XP_023639625.1, XP_023643366.1
OG0000003	As012G279580	XP_023636063.1
OG0000004	As007G177100	XP_023638968.1, XP_006300431.2, XP_023632892.1, XP_023635799.1
OG0000004	As010G231160	XP_023633818.1
OG0000005	As001G006250	XP_023634342.1
OG0000006	As010G228090	XP_023634292.1, XP_023643356.1, XP_023644418.1, XP_023640335.1, XP_023633251.1, XP_023636143.1, XP_023633686.1, XP_023640302.1, XP_023643663.1, XP_023636902.1, XP_023641719.1, XP_023637544.1, XP_023640317.1, XP_023635150.1, XP_023634518.1, XP_023644453.1, XP_023644546.1, XP_023639048.1, XP_023641260.1, XP_023644414.1, XP_023635039.1
OG0000010	As004G091500	XP_023639612.1
OG0000010	As002G038660, As004G091490, As006G148670, As002G039770, As010G231130, As011G259140, As002G039560, As002G039570	XP_023636068.1
OG0000012	As007G176710	XP_023636242.1
OG0000013	As003G066310	XP_023638858.1
OG0000014	As007G177950	XP_023636038.1
OG0000015	As010G225860	XP_023633382.1
OG0000017	As003G068220	XP_023638851.1, XP_023638850.1
OG0000017	As006G147350, As006G144790, As012G280790, As001G010690	XP_006302668.2
OG0000017	As011G261070, As010G227380	XP_023636109.1
OG0000017	As001G011040, As001G011370, As005G109760, As003G065780	XP_023644234.1, XP_023642646.1, XP_023636041.1, XP_023633702.1, XP_023644500.1, XP_023633829.1, XP_023644232.1
OG0000019	As009G203070	XP_023641372.1
OG0000020	As001G015310, As011G260550, As007G165150, As001G010310, As001G015320	XP_023634318.1
OG0000023	As003G061360	XP_006284983.1
OG0000023	As004G084560, As004G084580, As004G084570	XP_006287240.1, XP_006289052.2, XP_023635860.1
OG0000023	As003G061280	XP_023634688.1
OG0000023	As003G061350	XP_023634702.1
OG0000026	As007G165250	XP_023644550.1, XP_023641958.1, XP_023644451.1, XP_023634078.1, XP_023644235.1, XP_023636040.1
OG0000031	As001G032000	XP_006301194.2, XP_006300860.1, XP_006302102.1
OG0000031	As009G202600	XP_023636761.1
OG0000031	As006G134510	XP_023635463.1, XP_006297483.1, XP_006283550.1
OG0000033	As003G061230, As003G061200, As003G061190, As003G061240	XP_006283285.1
OG0000033	As003G059410, As003G059430, As003G059400	XP_023634856.1
OG0000033	As003G061210, As003G061160	XP_023634701.1, XP_006283273.1, XP_006283145.1, XP_006283283.1, XP_006284972.1, XP_023635576.1, XP_006291260.2
OG0000033	As004G086230	XP_006287210.1
OG0000034	As011G258840	XP_023636243.1
OG0000036	As010G230940, As008G183620, As012G280180, As011G261090	XP_023644496.1
OG0000038	As009G211050, As009G210990, As009G210820	XP_006296301.2
OG0000038	As007G157540	XP_023643361.1
