Orthogroup	Brassica_oleracea	Arabis_alpina
OG0000002	XP_013624471.1, XP_013630619.1	Aa_G645190.h1.t1
OG0000003	XP_013594483.1, XP_013632484.1, XP_013616875.1, XP_013589405.1, XP_013595187.1	Aa_G505500.h1.t1
OG0000005	XP_013601863.1	Aa_G301670.h1.t1
OG0000005	XP_013601099.1	Aa_G418640.h1.t1
OG0000005	XP_013615225.1	Aa_G619980.h2.t1, Aa_G619980.h1.t1, Aa_G125480.h1.t1, Aa_G409540.h1.t1
OG0000005	XP_013624826.1	Aa_G249080.h1.t1, Aa_G249080.h2.t1
OG0000005	XP_013639562.1, XP_013594450.1, XP_013632769.1, XP_013624568.1	Aa_G169510.h1.t1
OG0000007	XP_013607658.1	Aa_G596260.h1.t1
OG0000008	XP_013601615.1	Aa_G302250.h1.t1
OG0000009	XP_013595203.1, XP_013633175.1	Aa_G430190.h1.t1
OG0000011	XP_013617429.1	Aa_G396980.h1.t1
OG0000011	XP_013619335.1	Aa_G103560.h1.t1
OG0000012	XP_013601212.1, XP_013613562.1, XP_013626733.1, XP_013624299.1, XP_013624561.1, XP_013634210.1, XP_013594779.1, XP_013607542.1, XP_013608275.1, XP_013589468.1, XP_013632839.1, XP_013617712.1, XP_013632406.1, XP_013624874.1, XP_013601001.1, XP_013624747.1, XP_013601114.1, XP_013607586.1, XP_013589385.1, XP_013607529.1, XP_013600651.1, XP_013616890.1, XP_013623900.1, XP_013589412.1, XP_013594746.1, XP_013616772.1, XP_013608363.1, XP_013617609.1, XP_013608342.1, XP_013601794.1, XP_013624259.1, XP_013632501.1, XP_013583330.1, XP_013607785.1, XP_013617815.1, XP_013614616.1, XP_013589476.1, XP_013624721.1, XP_013594775.1, XP_013639344.1, XP_013633221.1, XP_013589682.1, XP_013601622.1, XP_013607812.1, XP_013607760.1, XP_013607871.1, XP_013601396.1, XP_013639326.1, XP_013617062.1, XP_013601516.1, XP_013639230.1, XP_013624899.1, XP_013615219.1, XP_013589030.1, XP_013624901.1, XP_013624711.1, XP_013601366.1, XP_013617850.1, XP_013632873.1, XP_013617433.1, XP_013614555.1, XP_013595035.1, XP_013608334.1, XP_013632509.1, XP_013632737.1, XP_013595071.1, XP_013594774.1, XP_013625577.1, XP_013589568.1, XP_013589219.1, XP_013594946.1, XP_013617311.1, XP_013633380.1, XP_013617905.1, XP_013633195.1, XP_013589495.1, XP_013624371.1, XP_013589324.1, XP_013594626.1, XP_013616810.1, XP_013601384.1, XP_013607609.1, XP_013624196.1, XP_013624162.1, XP_013624137.1, XP_013639852.1, XP_013589446.1, XP_013615322.1, XP_013624918.1, XP_013639160.1, XP_013601474.1, XP_013594401.1, XP_013617958.1, XP_013616931.1, XP_013608215.1, XP_013617313.1, XP_013639496.1, XP_013607597.1, XP_013633158.1, XP_013589431.1, XP_013601007.1, XP_013633295.1, XP_013624353.1, XP_013607750.1, XP_013632893.1, XP_013624149.1, XP_013608386.1, XP_013608475.1, XP_013583261.1, XP_013629270.1, XP_013583255.1, XP_013608429.1, XP_013617667.1, XP_013600999.1, XP_013624439.1, XP_013608304.1, XP_013594412.1, XP_013614778.1, XP_013588899.1, XP_013601161.1, XP_013607652.1, XP_013624688.1, XP_013614655.1, XP_013589438.1, XP_013601311.1, XP_013594004.1, XP_013639324.1, XP_013594716.1, XP_013608513.1, XP_013589531.1, XP_013623942.1, XP_013601548.1, XP_013633347.1, XP_013633008.1, XP_013623653.1, XP_013616871.1, XP_013633036.1, XP_013594810.1, XP_013607496.1, XP_013633302.1, XP_013594605.1, XP_013624714.1, XP_013601355.1, XP_013583467.1, XP_013624002.1, XP_013624342.1, XP_013583393.1, XP_013594658.1, XP_013624746.1, XP_013623738.1, XP_013614361.1, XP_013589530.1, XP_013617310.1, XP_013632383.1, XP_013601077.1, XP_013601337.1, XP_013624535.1	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1
