Orthogroup	Camelina_sativa	Odontarrhena_muralis
OG0000000	XP_010495482.1, XP_010468186.1, XP_010501684.1, XP_019098112.1, XP_010451376.1, XP_010484959.1, XP_010446038.1, XP_010445863.1	Om007G305590
OG0000000	XP_010445376.1	Om008G349060
OG0000000	XP_010495705.2, XP_010462917.1, XP_010476476.1, XP_019091276.1, XP_019085476.1, XP_010508146.1, XP_010451681.1, XP_019097313.1	Om005G215690, Om007G308190
OG0000000	XP_010474178.1, XP_010480743.1, XP_010470702.1, XP_019100923.1, XP_010424969.1, XP_010456912.1, XP_010451293.2, XP_010430704.1, XP_019082581.1	Om007G313100
OG0000000	XP_019096757.1	Om004G142780, Om003G104870, Om003G105610
OG0000000	XP_019094707.1, XP_010479590.1, XP_019097715.1, XP_010507175.1, XP_010478337.2, XP_010518461.1, XP_019098283.1, XP_019096689.1	Om008G350470, Om008G347230, Om008G345480, Om002G077030, Om006G263450
OG0000000	XP_010488713.1	Om006G263990
OG0000002	XP_010518553.1, XP_010495428.1, XP_019085487.1, XP_010474084.2, XP_010481019.1, XP_019096180.1, XP_010457030.1, XP_010420641.1, XP_019091135.1	Om007G309520, Om002G043270
OG0000002	XP_010451602.1, XP_010468898.1, XP_010495427.1, XP_010480610.1, XP_019089215.1, XP_010451170.2, XP_010451603.1, XP_010424741.1, XP_010496006.1, XP_010496846.1, XP_010456559.1, XP_010480911.1, XP_010424499.1, XP_019089153.1, XP_019085481.1, XP_019089100.1, XP_010451318.1, XP_010451667.1	Om003G105370, Om003G107650, Om008G342070, Om003G102030, Om004G152900
OG0000002	XP_010468482.1, XP_010419143.1, XP_010430672.1, XP_010424375.1, XP_019092262.1, XP_010431341.1	Om005G222520, Om004G148400, Om001G016090
OG0000003	XP_010480943.1, XP_019085415.1, XP_010450321.1, XP_010468824.1, XP_019098106.1, XP_010497063.1, XP_010445703.1, XP_010412456.1	Om007G276690
OG0000003	XP_010468230.1	Om004G173160
OG0000003	XP_019086296.1, XP_019082606.1, XP_019086332.1, XP_010485073.1	Om008G354600
OG0000003	XP_010451581.1	Om008G345700
OG0000003	XP_019091104.1, XP_019089272.1, XP_019097484.1, XP_019086811.1, XP_019094600.1, XP_019098316.1, XP_019085539.1, XP_019085526.1	Om007G309660
OG0000003	XP_019098361.1, XP_010485042.1	Om005G217790
OG0000004	XP_010513002.1	Om003G114900
OG0000004	XP_019100869.1	Om004G166890, Om008G350240, Om004G154990, Om007G295840, Om008G361070, Om003G090730
OG0000004	XP_010495244.1, XP_010495165.1	Om008G333050
