Orthogroup	Raphanus_sativus	Rorippa_islandica
OG0000000	XP_018436035.1	Roisl.0046s1371.1.p, Roisl.0091s0126.1.p
OG0000000	XP_018443420.1	Roisl.0053s0186.1.p
OG0000000	XP_018448502.1, XP_018460857.1	Roisl.0188s0090.1.p
OG0000000	XP_018435931.1	Roisl.0012s0255.1.p, Roisl.0053s0040.1.p
OG0000000	XP_018488005.1, XP_018435927.1, XP_018479789.1, XP_018463775.1	Roisl.0213s0782.1.p
OG0000000	XP_018463113.1	Roisl.0003s0086.1.p
OG0000000	XP_018435536.1, XP_018465308.1, XP_018463500.1, XP_018443699.1, XP_018459856.1, XP_018461626.1	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p
OG0000000	XP_018479791.1, XP_018435819.1, XP_018463807.1, XP_018479254.1, XP_018474361.1, XP_018458945.1, XP_018463519.1, XP_018461587.1, XP_018479550.1, XP_018473616.1	Roisl.0213s0280.1.p
OG0000002	XP_018466031.1	Roisl.0047s0024.1.p
OG0000003	XP_018479340.1, XP_018473970.1, XP_018474062.1	Roisl.0058s0055.1.p
OG0000003	XP_018453894.1, XP_018487877.1, XP_018473660.1, XP_018436223.1, XP_018464826.1, XP_018464837.1, XP_018463488.1, XP_018473840.1, XP_018435394.1	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p
OG0000003	XP_018479479.1, XP_018458947.1	Roisl.0058s0052.1.p, Roisl.0189s0151.1.p, Roisl.0214s0907.1.p, Roisl.0047s0023.1.p, Roisl.0213s0678.1.p, Roisl.0005s0145.1.p, Roisl.0214s0184.1.p, Roisl.0188s0028.1.p, Roisl.0004s0406.1.p, Roisl.0053s0433.1.p, Roisl.0037s0060.1.p, Roisl.0184s0058.1.p
OG0000003	XP_018460607.1	Roisl.0053s0045.1.p, Roisl.0189s0026.1.p, Roisl.0193s0022.1.p, Roisl.0020s0023.1.p, Roisl.0047s0047.1.p, Roisl.0213s0702.1.p, Roisl.0185s0035.1.p, Roisl.0179s0027.1.p, Roisl.0046s0266.1.p, Roisl.0013s0148.1.p, Roisl.0184s0125.1.p, Roisl.0191s0324.1.p, Roisl.0184s0019.1.p, Roisl.0041s0045.1.p, Roisl.0209s0112.1.p, Roisl.0111s0003.1.p, Roisl.0056s0038.1.p, Roisl.0213s0675.1.p, Roisl.0058s0002.1.p, Roisl.0012s0115.1.p, Roisl.0213s0710.1.p, Roisl.0213s0711.1.p, Roisl.0014s0059.1.p, Roisl.0213s0758.1.p
OG0000003	XP_018462893.1	Roisl.0015s0133.1.p, Roisl.0017s0491.1.p, Roisl.0179s0077.1.p, Roisl.0058s0001.1.p
OG0000003	XP_018443742.1	Roisl.0124s0003.1.p, Roisl.0185s0057.1.p, Roisl.0210s2127.1.p, Roisl.0188s0002.1.p
OG0000003	XP_018465542.1, XP_018459724.1, XP_018443678.1	Roisl.0061s0013.1.p, Roisl.0066s0222.1.p, Roisl.0023s0114.1.p, Roisl.0214s0241.1.p
OG0000003	XP_018459621.1, XP_018473790.1	Roisl.0194s0028.1.p, Roisl.0209s0038.1.p
OG0000003	XP_018473666.1	Roisl.0198s0065.1.p, Roisl.0179s0091.1.p, Roisl.0214s0894.1.p
OG0000004	XP_018467378.1	Roisl.0022s0436.1.p
OG0000004	XP_018470557.1	Roisl.0213s0732.1.p
OG0000005	XP_018435852.1, XP_018435851.1	Roisl.0006s0578.1.p
OG0000005	XP_018464531.1	Roisl.0046s0518.1.p
OG0000005	XP_018443683.1	Roisl.0194s0060.1.p
OG0000005	XP_018458647.1	Roisl.0201s0014.1.p, Roisl.0087s0005.1.p, Roisl.0014s0007.1.p, Roisl.0087s0007.1.p, Roisl.0195s0029.1.p, Roisl.0179s0085.1.p
OG0000007	XP_018458777.1	Roisl.0064s0008.1.p
OG0000008	XP_018454207.1	Roisl.0072s0014.1.p
OG0000008	XP_018465341.1	Roisl.0053s0439.1.p
OG0000008	XP_018487527.1, XP_018467072.1	Roisl.0066s0428.1.p, Roisl.0066s0426.1.p, Roisl.0008s0018.1.p
OG0000008	XP_018467440.1, XP_018464167.1, XP_018487483.1	Roisl.0210s2153.1.p
OG0000008	XP_018436131.1	Roisl.0189s0008.1.p
OG0000008	XP_018454076.1, XP_018467638.1, XP_018435422.1, XP_018476077.1	Roisl.0036s0056.1.p, Roisl.0053s0438.1.p
OG0000008	XP_018459044.1	Roisl.0037s0001.1.p, Roisl.0041s0027.1.p, Roisl.0213s0638.1.p
OG0000008	XP_018487725.1	Roisl.0208s0049.1.p, Roisl.0065s0019.1.p, Roisl.0209s0203.1.p
OG0000008	XP_018438736.1	Roisl.0046s1128.1.p, Roisl.0046s1132.1.p, Roisl.0046s1119.1.p
OG0000008	XP_018473385.1	Roisl.0027s0062.1.p, Roisl.0058s0016.1.p
OG0000008	XP_018448604.1	Roisl.0022s0261.1.p
OG0000008	XP_018435526.1	Roisl.0014s0136.1.p, Roisl.0214s0127.1.p, Roisl.0179s0096.1.p, Roisl.0033s0081.1.p, Roisl.0005s0371.1.p, Roisl.0020s0039.1.p, Roisl.0189s0101.1.p
OG0000011	XP_018450169.1	Roisl.0019s0018.1.p
OG0000012	XP_018479604.1, XP_018459024.1, XP_018462958.1	Roisl.0024s0027.1.p, Roisl.0091s0798.1.p, Roisl.0189s0072.1.p, Roisl.0027s0111.1.p, Roisl.0028s0041.1.p, Roisl.0210s1889.1.p, Roisl.0091s0194.1.p, Roisl.0204s0043.1.p, Roisl.0056s0007.1.p
OG0000014	XP_018487321.1	Roisl.0071s0016.1.p, Roisl.0036s0113.1.p, Roisl.0214s0188.1.p, Roisl.0012s0102.1.p, Roisl.0053s0340.1.p, Roisl.0209s0503.1.p, Roisl.0194s0016.1.p
OG0000014	XP_018443681.1	Roisl.0214s0420.1.p, Roisl.0058s0048.1.p, Roisl.0020s0183.1.p, Roisl.0012s0051.1.p, Roisl.0214s0915.1.p, Roisl.0179s0062.1.p, Roisl.0082s0454.1.p, Roisl.0064s0002.1.p, Roisl.0185s0078.1.p, Roisl.0213s0587.1.p, Roisl.0066s0172.1.p, Roisl.0082s0607.1.p, Roisl.0009s0256.1.p, Roisl.0019s0087.1.p, Roisl.0053s0039.1.p, Roisl.0009s0006.1.p, Roisl.0209s0538.1.p, Roisl.0058s0116.1.p, Roisl.0051s0028.1.p, Roisl.0213s0759.1.p, Roisl.0188s0034.1.p, Roisl.0214s0180.1.p, Roisl.0023s0031.1.p, Roisl.0184s0053.1.p, Roisl.0053s0422.1.p, Roisl.0189s0189.1.p, Roisl.0210s2165.1.p, Roisl.0038s0010.1.p, Roisl.0214s0038.1.p
OG0000014	XP_018458906.1	Roisl.0002s0076.1.p, Roisl.0029s0003.1.p, Roisl.0040s0055.1.p, Roisl.0055s0017.1.p, Roisl.0194s0041.1.p
OG0000015	XP_018475313.1	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p
OG0000015	XP_018463612.1	Roisl.0053s0047.1.p
OG0000016	XP_018487708.1	Roisl.0208s0007.1.p, Roisl.0027s0024.1.p, Roisl.0111s0008.1.p, Roisl.0082s0020.1.p, Roisl.0189s0043.1.p, Roisl.0206s0040.1.p, Roisl.0037s0037.1.p
OG0000016	XP_018459795.1, XP_018459797.1, XP_018460985.1, XP_018479528.1, XP_018461947.1, XP_018443753.1, XP_018443752.1, XP_018436039.1, XP_018460155.1, XP_018465034.1, XP_018458440.1	Roisl.0066s0398.1.p, Roisl.0045s0086.1.p, Roisl.0124s0004.1.p
OG0000016	XP_018466545.1, XP_018464905.1, XP_018465409.1, XP_018443351.1	Roisl.0214s0061.1.p, Roisl.0031s0055.1.p, Roisl.0213s0004.1.p, Roisl.0194s0052.1.p
OG0000016	XP_018467500.1	Roisl.0209s0129.1.p
OG0000016	XP_018458058.1	Roisl.0053s0133.1.p, Roisl.0037s0075.1.p
OG0000016	XP_018467165.1	Roisl.0020s0190.1.p
OG0000016	XP_018463982.1	Roisl.0213s0002.1.p
OG0000020	XP_018439110.1	Roisl.0179s0050.1.p
OG0000020	XP_018463663.1, XP_018481037.1, XP_018464215.1, XP_018448670.1, XP_018448669.1	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p
OG0000020	XP_018463043.1	Roisl.0082s0242.1.p
OG0000020	XP_018460984.1, XP_018460983.1	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p, Roisl.0037s0008.1.p, Roisl.0211s0007.1.p, Roisl.0214s0109.1.p
OG0000021	XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1	Roisl.0082s0017.1.p, Roisl.0179s0097.1.p, Roisl.0198s0008.1.p, Roisl.0023s0095.1.p, Roisl.0046s0797.1.p, Roisl.0014s0138.1.p, Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p, Roisl.0066s0388.1.p, Roisl.0032s0086.1.p, Roisl.0005s0191.1.p, Roisl.0214s0300.1.p, Roisl.0072s0013.1.p, Roisl.0185s0094.1.p, Roisl.0188s0063.1.p, Roisl.0011s0031.1.p, Roisl.0191s0373.1.p
OG0000022	XP_018467852.1	Roisl.0022s0346.1.p
OG0000022	XP_018446660.1	Roisl.0210s1365.1.p
OG0000022	XP_018452507.1	Roisl.0010s0065.1.p
OG0000022	XP_018456914.1, XP_018456330.1	Roisl.0028s0598.1.p, Roisl.0010s0069.1.p
OG0000022	XP_018439379.1	Roisl.0021s0361.1.p
OG0000022	XP_018493478.1, XP_018487942.1	Roisl.0091s0926.1.p
OG0000022	XP_018478989.1	Roisl.0009s0109.1.p
OG0000022	XP_018437843.1	Roisl.0074s0275.1.p
OG0000024	XP_018485466.1, XP_018482596.1	Roisl.0015s0178.1.p
OG0000024	XP_018436387.1	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p, Roisl.0213s0367.1.p
OG0000024	XP_018487153.1	Roisl.0026s0117.1.p, Roisl.0026s0135.1.p
OG0000024	XP_018448575.1, XP_018448576.1	Roisl.0011s0535.1.p, Roisl.0011s0534.1.p, Roisl.0006s0183.1.p
OG0000025	XP_018487947.1	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p
OG0000026	XP_018461685.1, XP_018479510.1, XP_018487597.1, XP_018480090.1, XP_018462643.1, XP_018487821.1, XP_018475107.1, XP_018456285.1, XP_018433777.1, XP_018448780.1, XP_018467220.1, XP_018487563.1, XP_018463237.1, XP_018470316.1, XP_018465470.1, XP_018487975.1, XP_018487976.1, XP_018448492.1, XP_018487480.1, XP_018440445.1, XP_018458044.1, XP_018462689.1, XP_018458371.1, XP_018479432.1, XP_018432616.1, XP_018489035.1, XP_018448499.1, XP_018463920.1	Roisl.0213s0871.1.p
OG0000027	XP_018468520.1, XP_018468522.1	Roisl.0008s0130.1.p
OG0000027	XP_018468514.1, XP_018468509.1, XP_018468512.1	Roisl.0008s0132.1.p
OG0000027	XP_018451939.1, XP_018448955.1	Roisl.0184s0126.1.p
OG0000027	XP_018468502.1	Roisl.0184s0128.1.p, Roisl.0184s0127.1.p
OG0000027	XP_018458837.1, XP_018459041.1	Roisl.0008s0080.1.p
OG0000027	XP_018448923.1, XP_018448922.1	Roisl.0214s0896.1.p
OG0000028	XP_018467289.1, XP_018480012.1	Roisl.0080s0376.1.p, Roisl.0075s0120.1.p, Roisl.0001s0071.1.p, Roisl.0075s0080.1.p, Roisl.0075s0121.1.p
OG0000028	XP_018474154.1, XP_018475339.1	Roisl.0210s1185.1.p
OG0000028	XP_018474185.1, XP_018475245.1, XP_018465891.1, XP_018474187.1	Roisl.0080s0746.1.p, Roisl.0080s0747.1.p
OG0000028	XP_018465681.1, XP_018448362.1	Roisl.0008s0342.1.p
OG0000028	XP_018462813.1	Roisl.0091s1124.1.p
OG0000029	XP_018462178.1, XP_018479617.1, XP_018480098.1, XP_018453783.1, XP_018479504.1, XP_018453703.1, XP_018435876.1, XP_018478239.1, XP_018461350.1, XP_018473938.1, XP_018479503.1, XP_018453702.1, XP_018435877.1, XP_018463848.1, XP_018463679.1, XP_018479419.1, XP_018462971.1, XP_018459455.1, XP_018479546.1, XP_018443548.1, XP_018473650.1, XP_018435416.1, XP_018473647.1, XP_018436157.1, XP_018464649.1, XP_018464671.1, XP_018475894.1, XP_018478725.1, XP_018460863.1, XP_018479047.1, XP_018472293.1, XP_018448729.1, XP_018459873.1, XP_018488169.1	Roisl.0208s0029.1.p
OG0000029	XP_018492516.1	Roisl.0210s0592.1.p, Roisl.0046s0704.1.p
OG0000030	XP_018435466.1, XP_018464547.1, XP_018443694.1	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p
OG0000030	XP_018481995.1, XP_018492454.1	Roisl.0115s0300.1.p
OG0000030	XP_018479424.1, XP_018466469.1, XP_018462013.1	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p, Roisl.0213s0186.1.p, Roisl.0053s0027.1.p, Roisl.0060s0006.1.p
OG0000030	XP_018453970.1	Roisl.0046s0887.1.p
OG0000030	XP_018488225.1	Roisl.0042s0059.1.p
OG0000030	XP_018454017.1	Roisl.0074s0641.1.p
OG0000030	XP_018435374.1, XP_018435377.1, XP_018435375.1, XP_018435378.1	Roisl.0046s0886.1.p
OG0000030	XP_018482202.1, XP_018471303.1, XP_018481495.1, XP_018480537.1, XP_018481681.1, XP_018479916.1	Roisl.0074s0618.1.p
OG0000031	XP_018462035.1, XP_018463620.1, XP_018467340.1, XP_018435482.1, XP_018443707.1, XP_018487726.1	Roisl.0023s0119.1.p
OG0000031	XP_018459624.1	Roisl.0048s0016.1.p
OG0000031	XP_018479461.1, XP_018466777.1, XP_018473377.1, XP_018436087.1, XP_018453832.1, XP_018467329.1, XP_018435496.1, XP_018461346.1	Roisl.0020s0186.1.p
OG0000031	XP_018453981.1	Roisl.0210s2075.1.p, Roisl.0213s0679.1.p, Roisl.0209s0419.1.p, Roisl.0082s0631.1.p, Roisl.0014s0099.1.p, Roisl.0056s0037.1.p
OG0000031	XP_018458946.1, XP_018480196.1	Roisl.0046s0265.1.p, Roisl.0027s0005.1.p, Roisl.0066s0373.1.p, Roisl.0036s0003.1.p
OG0000031	XP_018443765.1, XP_018474115.1, XP_018448786.1, XP_018479710.1, XP_018459816.1, XP_018465887.1, XP_018453952.1, XP_018466560.1, XP_018461533.1, XP_018453567.1, XP_018459998.1	Roisl.0188s0032.1.p, Roisl.0036s0104.1.p
OG0000031	XP_018474461.1	Roisl.0020s0022.1.p, Roisl.0184s0020.1.p, Roisl.0204s0107.1.p
OG0000032	XP_018482431.1	Roisl.0005s0192.1.p
OG0000032	XP_018487698.1	Roisl.0029s0063.1.p
OG0000032	XP_018461981.1	Roisl.0188s0018.1.p
OG0000034	XP_018483350.1, XP_018468503.1	Roisl.0008s0068.1.p
OG0000034	XP_018468506.1, XP_018468517.1	Roisl.0214s0895.1.p
OG0000034	XP_018484117.1, XP_018484118.1	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p
OG0000034	XP_018460473.1	Roisl.0191s0566.1.p
OG0000034	XP_018463089.1, XP_018468501.1	Roisl.0008s0129.1.p, Roisl.0008s0131.1.p
OG0000034	XP_018483344.1	Roisl.0019s0659.1.p
OG0000034	XP_018448921.1, XP_018448031.1	Roisl.0214s0905.1.p
OG0000035	XP_018460300.1, XP_018453765.1, XP_018464702.1, XP_018460797.1, XP_018464171.1, XP_018448429.1, XP_018448430.1, XP_018485080.1, XP_018460632.1	Roisl.0213s0218.1.p
OG0000038	XP_018450137.1	Roisl.0046s1475.1.p
OG0000038	XP_018460335.1	Roisl.0046s1474.1.p, Roisl.0055s0039.1.p
OG0000040	XP_018467584.1	Roisl.0066s0406.1.p, Roisl.0184s0161.1.p, Roisl.0012s0376.1.p, Roisl.0214s0030.1.p
OG0000040	XP_018460803.1, XP_018487809.1, XP_018453539.1, XP_018463233.1, XP_018461220.1, XP_018436156.1, XP_018435870.1, XP_018462983.1, XP_018487561.1, XP_018448193.1, XP_018453481.1, XP_018436477.1, XP_018460961.1, XP_018467278.1, XP_018473788.1, XP_018488210.1, XP_018458625.1, XP_018479372.1, XP_018464335.1, XP_018443222.1, XP_018479331.1, XP_018477166.1, XP_018479218.1, XP_018458516.1, XP_018436297.1, XP_018448764.1, XP_018454006.1	Roisl.0209s0055.1.p
OG0000040	XP_018443419.1	Roisl.0008s0099.1.p, Roisl.0188s0108.1.p
OG0000041	XP_018464686.1, XP_018472294.1, XP_018448715.1	Roisl.0046s0022.1.p
OG0000042	XP_018467507.1	Roisl.0032s0094.1.p
OG0000042	XP_018459378.1	Roisl.0025s0036.1.p, Roisl.0022s0501.1.p
OG0000042	XP_018467598.1, XP_018463824.1	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p
OG0000043	XP_018465687.1	Roisl.0209s0166.1.p, Roisl.0210s1685.1.p, Roisl.0214s0265.1.p, Roisl.0082s0570.1.p, Roisl.0066s0301.1.p
OG0000044	XP_018454138.1, XP_018465769.1	Roisl.0005s0161.1.p
OG0000044	XP_018474392.1, XP_018457475.1	Roisl.0055s0047.1.p, Roisl.0055s0046.1.p, Roisl.0012s0357.1.p
OG0000044	XP_018440461.1, XP_018440462.1	Roisl.0005s0157.1.p, Roisl.0005s0158.1.p, Roisl.0005s0160.1.p, Roisl.0005s0126.1.p, Roisl.0005s0170.1.p, Roisl.0005s0128.1.p, Roisl.0005s0129.1.p
OG0000044	XP_018441634.1	Roisl.0005s0150.1.p
OG0000044	XP_018444272.1	Roisl.0079s0325.1.p
OG0000044	XP_018449081.1, XP_018460032.1	Roisl.0005s0218.1.p, Roisl.0091s0682.1.p, Roisl.0091s0647.1.p
OG0000046	XP_018472630.1	Roisl.0210s2226.1.p, Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p
OG0000046	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1	Roisl.0029s0014.1.p, Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p
OG0000047	XP_018479492.1, XP_018458501.1	Roisl.0029s0050.1.p, Roisl.0066s0352.1.p
OG0000048	XP_018479865.1, XP_018482211.1, XP_018482223.1, XP_018481628.1	Roisl.0214s0362.1.p
OG0000048	XP_018436807.1	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p
OG0000048	XP_018465159.1, XP_018458896.1, XP_018468803.1	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p
OG0000048	XP_018467221.1, XP_018487960.1, XP_018443410.1, XP_018444815.1, XP_018442224.1, XP_018463243.1, XP_018479860.1, XP_018463443.1, XP_018436316.1, XP_018436315.1, XP_018434883.1	Roisl.0017s0510.1.p
OG0000048	XP_018482068.1, XP_018479796.1, XP_018479876.1, XP_018481878.1, XP_018484946.1, XP_018481942.1, XP_018490100.1, XP_018484944.1, XP_018465213.1, XP_018477245.1, XP_018484943.1, XP_018484945.1, XP_018484942.1, XP_018477397.1, XP_018479871.1, XP_018477265.1, XP_018483420.1, XP_018478113.1, XP_018479866.1	Roisl.0074s0908.1.p
OG0000048	XP_018453414.1	Roisl.0028s0615.1.p
OG0000050	XP_018462198.1, XP_018487487.1, XP_018479391.1, XP_018460528.1, XP_018479861.1, XP_018459880.1	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000050	XP_018479406.1	Roisl.0082s0464.1.p
OG0000051	XP_018435533.1, XP_018438374.1, XP_018463100.1, XP_018455750.1, XP_018463099.1	Roisl.0210s2097.1.p, Roisl.0082s0147.1.p
OG0000051	XP_018473990.1, XP_018465828.1	Roisl.0028s0722.1.p
OG0000051	XP_018482778.1, XP_018482777.1, XP_018432826.1	Roisl.0020s0125.1.p, Roisl.0020s0130.1.p, Roisl.0020s0124.1.p
OG0000051	XP_018436547.1, XP_018436548.1, XP_018436546.1, XP_018436545.1, XP_018436438.1, XP_018436441.1	Roisl.0189s0079.1.p
OG0000052	XP_018454118.1	Roisl.0019s0256.1.p, Roisl.0019s0270.1.p, Roisl.0011s0480.1.p
OG0000054	XP_018460118.1	Roisl.0214s0230.1.p
OG0000054	XP_018487733.1	Roisl.0188s0036.1.p, Roisl.0036s0106.1.p, Roisl.0058s0047.1.p, Roisl.0053s0423.1.p
OG0000054	XP_018466277.1, XP_018487763.1	Roisl.0210s2114.1.p
OG0000055	XP_018474315.1, XP_018475877.1, XP_018475876.1, XP_018460442.1, XP_018475208.1, XP_018448356.1, XP_018469080.1, XP_018460063.1	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p
OG0000056	XP_018452289.1, XP_018452239.1, XP_018452238.1, XP_018454291.1	Roisl.0209s0603.1.p, Roisl.0209s0629.1.p
OG0000056	XP_018456965.1, XP_018435121.1	Roisl.0209s0402.1.p
OG0000059	XP_018438980.1	Roisl.0209s0123.1.p, Roisl.0214s0002.1.p
OG0000059	XP_018469270.1, XP_018438946.1, XP_018480125.1, XP_018490555.1	Roisl.0019s0008.1.p, Roisl.0027s0012.1.p, Roisl.0214s0427.1.p, Roisl.0018s0107.1.p, Roisl.0010s0148.1.p, Roisl.0214s0190.1.p
OG0000064	XP_018459458.1, XP_018459460.1, XP_018459461.1, XP_018459459.1, XP_018458876.1, XP_018458874.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p, Roisl.0214s0824.1.p, Roisl.0214s0825.1.p, Roisl.0214s0821.1.p, Roisl.0214s0815.1.p, Roisl.0214s0826.1.p
OG0000065	XP_018461745.1, XP_018470308.1	Roisl.0024s0085.1.p
OG0000065	XP_018444649.1, XP_018442726.1, XP_018443463.1	Roisl.0024s0064.1.p
OG0000065	XP_018442727.1, XP_018444185.1	Roisl.0024s0067.1.p, Roisl.0024s0060.1.p
