Orthogroup	Euclidium_syriacum	Odontarrhena_muralis
OG0000000	ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1, ESY3_g27908_DN2_SP0_c72.t1	Om004G142780, Om003G104870, Om003G105610
OG0000000	ESY7_g17009_DN2_SP0_c60.t1	Om008G349730, Om004G155370, Om006G261490, Om004G177230, Om005G216380, Om003G113470, Om007G306250, Om006G263990
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	Om003G106310, Om007G305030, Om001G030070, Om002G054700, Om007G309520, Om002G043270, Om003G105370, Om003G107650, Om008G342070, Om003G102030, Om004G152900, Om005G222520, Om004G148400, Om001G016090
OG0000003	ESY8_g60803_DN3_SP0_c6.t1	Om007G276690
OG0000003	ESY1_g7389_DN1_SP0_c0.t1, ESY33_g12634_DN2_SP0_c75.t1	Om001G017050
OG0000005	ESY7_g17772_DN2_SP0_c0.t1	Om001G028590, Om007G295980
OG0000005	ESY2_g38373_DN2_SP0_c0.t1, ESY7_g17672_DN2_SP0_c0.t1, ESY18_g63291_DN2_SP0_c0.t1, ESY8_g59590_DN3_SP0_c0.t1	Om001G005070
OG0000005	ESY17_g40133_DN1_SP0_c0.t1	Om005G208940
OG0000005	ESY6_g47492_DN1_SP0_c0.t1	Om007G282810
OG0000005	ESY1_g10225_DN1_SP0_c0.t1	Om003G112530, Om008G348300, Om007G313150, Om008G358870, Om003G121930, Om007G313790
OG0000005	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1	Om002G076060, Om008G339990, Om004G151870, Om002G089170, Om004G141530
OG0000005	ESY11_g53352_DN1_SP0_c0.t1	Om006G257980
OG0000007	ESY7_g16535_DN2_SP0_c0.t1	Om006G253570, Om001G035080, Om001G019950, Om007G300730, Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480, Om001G019860
