Orthogroup	Arabis_alpina	Cardamine_hirsuta
OG0000007	Aa_G711210.h1.t1	CARHR128840, CARHR216900, CARHR184100, CARHR117490, CARHR293410
OG0000007	Aa_G596260.h1.t1	CARHR055800, CARHR216040, CARHR051840
OG0000007	Aa_G437570.h1.t1	CARHR032440, CARHR057030
OG0000008	Aa_G426070.h1.t1	CARHR102600
OG0000008	Aa_G302250.h1.t1	CARHR161310, CARHR161290, CARHR161300, CARHR161340, CARHR161350
OG0000009	Aa_G430190.h1.t1	CARHR077050, CARHR056420, CARHR034120
OG0000011	Aa_G396980.h1.t1	CARHR218510
OG0000012	Aa_G57270.h1.t1, Aa_G57260.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1	CARHR130420, CARHR032720, CARHR190160, CARHR032710
OG0000015	Aa_G962140.h1.t1	CARHR258200, CARHR258330
OG0000015	Aa_G522550.h1.t1	CARHR110600
OG0000020	Aa_G135640.h1.t1	CARHR113350, CARHR034150, CARHR049310
OG0000022	Aa_G447870.h1.t1	CARHR196550
OG0000022	Aa_G830960.h1.t1	CARHR048820, CARHR051020, CARHR048770
OG0000022	Aa_G319760.h1.t1, Aa_G683730.h1.t1	CARHR048220
OG0000022	Aa_G97120.h1.t1	CARHR213210, CARHR091960
OG0000024	Aa_G565560.h1.t1, Aa_G381220.h1.t1	CARHR030400
OG0000024	Aa_G737030.h1.t1, Aa_G731070.h1.t1	CARHR030460, CARHR030420, CARHR031230, CARHR030890, CARHR126510, CARHR030870, CARHR116780
OG0000024	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	CARHR168020, CARHR167830
OG0000024	Aa_G230140.h1.t1	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190
OG0000025	Aa_G387540.h1.t1	CARHR288360
OG0000026	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1	CARHR104160
OG0000027	Aa_G200970.h1.t1	CARHR057450, CARHR230660, CARHR230630, CARHR230470, CARHR230480, CARHR230460, CARHR230450
OG0000027	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1	CARHR230500
OG0000027	Aa_G200950.h1.t1, Aa_G200910.h1.t1	CARHR230410
OG0000027	Aa_G200900.h1.t1	CARHR230400, CARHR230390
OG0000027	Aa_G597270.h1.t1	CARHR254870
OG0000027	Aa_G191740.h1.t1	CARHR055330
OG0000028	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1	CARHR267510, CARHR281550, CARHR242960, CARHR104940, CARHR028790, CARHR285330, CARHR220000, CARHR100780
OG0000028	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1	CARHR267690, CARHR242050, CARHR244240, CARHR242060, CARHR028780, CARHR203520, CARHR281120, CARHR030060, CARHR267830
OG0000028	Aa_G553200.h1.t1	CARHR267840, CARHR267700
OG0000029	Aa_G288600.h1.t1, Aa_G637980.h1.t1, Aa_G988890.h1.t1	CARHR116610, CARHR153140
OG0000030	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1	CARHR158520, CARHR158510, CARHR158530
OG0000030	Aa_G152820.h1.t1	CARHR088860, CARHR095910, CARHR026350
OG0000032	Aa_G209100.h1.t1	CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880
OG0000034	Aa_G782810.h1.t1, Aa_G619140.h1.t1	CARHR230270, CARHR230290
OG0000034	Aa_G191730.h1.t1	CARHR055320, CARHR230240
OG0000034	Aa_G317970.h1.t1	CARHR228000
OG0000034	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070
OG0000034	Aa_G58920.h1.t1	CARHR289950
OG0000034	Aa_G522590.h1.t1	CARHR255000
OG0000034	Aa_G917140.h1.t1	CARHR230360
OG0000034	Aa_G191690.h1.t1	CARHR230230, CARHR230200
OG0000034	Aa_G92800.h1.t1	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650
OG0000035	Aa_G7660.h1.t1, Aa_G44290.h1.t1	CARHR034500, CARHR120350, CARHR104490
OG0000044	Aa_G685510.h1.t1	CARHR116340, CARHR036550
OG0000044	Aa_G639660.h1.t1	CARHR223510
OG0000044	Aa_G208050.h1.t1	CARHR175160
OG0000044	Aa_G208060.h1.t1	CARHR116350
OG0000044	Aa_G791970.h1.t1	CARHR116330
OG0000044	Aa_G295890.h1.t1, Aa_G565780.h1.t1, Aa_G369060.h1.t1, Aa_G295880.h1.t1, Aa_G645470.h1.t1	CARHR223530
OG0000046	Aa_G675110.h1.t1	CARHR117470
OG0000047	Aa_G631350.h1.t1	CARHR257880
OG0000048	Aa_G20510.h1.t1	CARHR054750
OG0000048	Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1	CARHR261660, CARHR042940
OG0000048	Aa_G584300.h1.t1	CARHR125110
OG0000048	Aa_G312310.h1.t1	CARHR125800
OG0000048	Aa_G43710.h1.t1	CARHR207670
OG0000050	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1	CARHR071180, CARHR153550
OG0000051	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1	CARHR002800
OG0000051	Aa_G592860.h1.t1	CARHR109310
OG0000051	Aa_G599340.h1.t1	CARHR127280
OG0000051	Aa_G271540.h1.t1	CARHR260850
OG0000052	Aa_G696490.h1.t1	CARHR278910, CARHR148040
OG0000052	Aa_G521750.h1.t1	CARHR162490
OG0000052	Aa_G521780.h1.t1	CARHR162520
OG0000052	Aa_G61380.h1.t1	CARHR162530, CARHR292090
OG0000055	Aa_G659190.h1.t1	CARHR094260, CARHR107830, CARHR149830, CARHR108270
OG0000055	Aa_G5070.h1.t1	CARHR149840
OG0000056	Aa_G534290.h1.t1	CARHR050320
OG0000056	Aa_G615080.h1.t1	CARHR050310
OG0000056	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1	CARHR050280, CARHR049980, CARHR050290, CARHR050160
