Orthogroup	Arabidopsis_arenosa	Arabidopsis_lyrata_Rawat
OG0000000	jg16911, jg12161, jg21611, jg27990	AL6G27580
OG0000000	jg5331, jg11875, jg33137	AL1G62960
OG0000000	jg7218	AL7G44730
OG0000000	jg26753	AL1G56620, AL5G26440, AL3G26530, AL7G44950
OG0000000	jg25591	AL2G12570, AL4G43860
OG0000000	jg27616	AL396U10020, AL4G14390, AL4G39790, nbis-gene-231, AL8G17890, AL5G12810, AL6G49130
OG0000000	jg25786	AL1G56670
OG0000002	jg2023, jg27584	AL7G45780, AL7G43430, AL5G25580, AL2G27160, AL1G53170, AL9U10140, AL5G30280, AL3G49840, AL3G15910
OG0000002	jg11830	AL3G37080
OG0000002	jg21985	AL4G14300
OG0000002	jg1034	AL6G39770, AL8G20740, AL987U10010
OG0000002	jg12348, jg27118	AL4G19260
OG0000002	jg1783	AL5G12150
OG0000003	jg27926	AL433U10010
OG0000003	jg13879	AL4G18440
OG0000004	jg27064, jg6905, jg12072, jg12472, jg1749	AL7G43300
OG0000005	jg14786	AL4G12740
OG0000005	jg1672	AL3G44970
OG0000008	jg15054, jg15062, jg15069, jg15057	AL5G32180
OG0000009	jg1846, jg6872	AL251U10020, AL3G32130
OG0000009	jg3218, jg20691	AL1G49730
OG0000009	jg12452, jg19324, jg23533	AL6G36520
OG0000009	jg13874, jg12267, jg12278	AL8G14080
OG0000009	jg13081, jg20041	AL4G46120, AL8G23160
OG0000011	jg21637	AL6G32670
OG0000011	jg26287	AL8G22980
OG0000011	jg4816, jg25269	AL7G34180
OG0000011	jg16702	AL7G52850
OG0000011	jg13838	AL1G50520
OG0000011	jg27639	AL5G34620, AL5G17780
OG0000011	jg7016, jg25810, jg18104, jg33105, jg17517, jg32960, jg20959	AL1G17050
OG0000011	jg21692	AL8G24370
OG0000011	jg32528	AL6G47490
OG0000011	jg6805	AL2G23260
OG0000012	jg9712	AL8G15640, AL3G37530
OG0000012	jg17246	AL6G20560
OG0000012	jg14895, jg31555	AL2G23040, AL5G42550, AL1G61200, AL3G31820, AL5G24930, AL4G33280
OG0000012	jg16352, jg8938	AL7G32640, AL2G22620
OG0000012	jg6738	AL1G46320
OG0000012	jg22437, jg1376	AL4G10450
OG0000012	jg33243	AL3G45980, AL4G24110
OG0000012	jg13806	AL2G22540
OG0000012	jg13807	AL971U10010
OG0000014	jg1574	AL9U11460
OG0000015	jg21086	AL3G46050
OG0000020	jg27354	AL189U10010, AL189U10020, AL3G44820, AL7G51100
OG0000020	jg32618	AL6G40580
OG0000020	jg11846	AL5G20560
OG0000020	jg6982	AL5G20700, AL4G18270, AL4G19490, AL5G11530
OG0000020	jg14690	AL6G46630
OG0000020	jg32222, jg15995	AL7G16690, AL7G11240, AL4G42290
OG0000021	jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287	AL39U10070
OG0000021	jg27179	AL8G31610, AL7G45200, AL2G25080, AL5G20460
OG0000021	jg32393, jg11989, jg32560, jg4400	AL4G20340
OG0000021	jg26774	AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170
OG0000021	jg25715	AL7G47350, AL7G51150
OG0000022	jg5495	AL6G27650
OG0000022	jg643	AL2G18840
OG0000022	jg617	AL2G13140
OG0000022	jg616	AL2G12820
OG0000022	jg618	AL2G13170
OG0000022	jg613	AL2G12830
OG0000022	jg645, jg586, jg583	AL2G12470
OG0000022	jg642	AL2G13120
OG0000022	jg663	AL2G13280
OG0000022	jg538	AL2G11830
OG0000022	jg612	AL2G13150
OG0000022	jg610	AL2G13130
OG0000022	jg582	AL2G12460
OG0000022	jg588	AL2G12500
OG0000022	jg611	AL2G12780
OG0000022	jg638	AL2G13070
OG0000022	jg26478	AL3G36780
OG0000022	jg29724	AL1G24190
OG0000022	jg29708, jg29704	AL1G23970
OG0000022	jg29712	AL1G24080
OG0000022	jg29722, jg29734	AL1G23630, AL1G24180
OG0000022	jg29678, jg29676	AL1G23620
OG0000022	jg372	AL2G10190
OG0000022	jg12744	AL7G48260
OG0000022	jg25741	AL3G29640
OG0000023	jg1550, jg27237, jg27744	AL2G19210
OG0000023	jg32109	AL8G29520
OG0000023	jg32331	AL5G18610
OG0000023	jg12319	AL1G66070
OG0000023	jg12454	AL2G22450
OG0000024	jg17071	AL4G16470
OG0000024	jg31700	AL1G45470
OG0000024	jg31701	AL1G45480
OG0000024	jg31702, jg31695	AL1G45490
OG0000024	jg31682	AL1G45350
OG0000024	jg31706	AL1G45520
OG0000024	jg31678	AL1G45280
OG0000024	jg31679	AL1G45290, AL1G45300
OG0000024	jg31677	AL1G45270
OG0000024	jg31696, jg31707, jg31681	AL1G45340
OG0000024	jg31709	AL1G45540
OG0000024	jg31713	AL1G45590, nbis-gene-188
OG0000024	jg31710	AL1G45550
OG0000024	jg31714	AL1G45570, AL1G45600
OG0000024	jg2233	nbis-gene-553
OG0000024	jg16933	AL4G14930
OG0000024	jg16932	nbis-gene-966
OG0000024	jg31715	AL1G45610
OG0000024	jg31705	AL1G45510
OG0000024	jg31953, jg31952	AL1G47320
OG0000024	jg31856	AL1G46270
OG0000024	jg31855	AL1G46260
OG0000024	jg31708	AL1G45530
OG0000024	jg31857	AL1G46280
OG0000024	jg27402	AL3G45420
OG0000024	jg18984	AL4G35160
OG0000024	jg15696	AL5G38280
OG0000024	jg15770	AL5G39160
OG0000024	jg15771	AL5G39170
OG0000024	jg14278	AL5G23680
OG0000025	jg7349, jg6966, jg1482, jg14688, jg1903, jg6980	AL5G11540
OG0000025	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257	AL9U11280, AL5G16730, AL2G12870
OG0000025	jg27352	AL460U10010
OG0000027	jg7518, jg7519	nbis-gene-1639
OG0000027	jg7517	AL6G45930
OG0000027	jg7521	AL6G45970
OG0000027	jg7523	AL6G46000
OG0000027	jg7515	AL6G45910
