Orthogroup	Arabidopsis_lyrata_NCBI	Aethionema_saxatile
OG0000000	XP_020886397.1, XP_020866436.1, XP_020870151.1, XP_020870162.1	As001G006630, As006G147610
OG0000003	XP_020874036.1	As007G166450, As007G166410, As003G066730, As003G066690, As007G166480
OG0000004	XP_020867739.1	As010G231160
OG0000006	XP_020870555.1, XP_020870157.1	As011G261190
OG0000006	XP_020866419.1, XP_002868379.2, XP_002893144.2, XP_020870776.1, XP_020871034.1, XP_002875947.2, XP_020868816.1, XP_020883895.1, XP_020866620.1, XP_020879876.1, XP_020873499.1, XP_020887609.1, XP_020874852.1, XP_020871008.1, XP_020880934.1, XP_020882643.1, XP_020866331.1, XP_020876409.1, XP_020879940.1, XP_020872053.1, XP_020872382.1, XP_020873755.1	As010G228090
OG0000010	XP_020871369.1	As012G280540, As003G067340
OG0000012	XP_020875418.1, XP_020880599.1, XP_020888103.1	As007G176710
OG0000014	XP_020874556.1	As010G230580, As010G232150, As007G177430, As008G192770, As009G206390
OG0000015	XP_020883676.1, XP_020890755.1, XP_020889910.1	As007G163280, As004G091800, As011G257210, As008G195330, As004G086610
OG0000015	XP_020870556.1	As011G260400
OG0000017	XP_020884768.1, XP_020872420.1	As006G147350
OG0000017	XP_020876951.1	As011G261070, As010G227380
OG0000019	XP_020876758.1, XP_020881514.1, XP_020889800.1	As009G203070
OG0000019	XP_020866193.1, XP_020870462.1	As012G281430, As001G013530
OG0000019	XP_020887011.1	As010G228190
OG0000021	XP_020883515.1	As003G071480, As010G232120
OG0000023	XP_020873345.1	As003G061290
OG0000023	XP_020867640.1, XP_002872599.2	As004G084560, As004G084580, As004G084570
OG0000023	XP_002867727.1	As003G061270
OG0000026	XP_020872549.1, XP_020881073.1, XP_020879655.1	As007G165250
OG0000026	XP_020889652.1	As008G188870
OG0000029	XP_020889577.1	As005G112730, As001G005440, As001G005430
OG0000029	XP_020879586.1	As004G091740, As005G109110
OG0000031	XP_020891718.1, XP_020891198.1, XP_020865792.1, XP_020889844.1, XP_002886462.1	As001G032000
OG0000031	XP_020878202.1	As009G202600
OG0000031	XP_002868609.1, XP_002883021.2, XP_020873422.1	As006G134510
OG0000033	XP_002869784.2	As003G061230, As003G061200, As003G061190, As003G061240
OG0000033	XP_020873360.1, XP_002867849.1	As003G059410, As003G059430, As003G059400
OG0000033	XP_020872543.1, XP_020873366.1, XP_020873356.1, XP_002877439.2	As003G061210, As003G061160
OG0000033	XP_002874837.2	As004G086230
OG0000034	XP_020872318.1, XP_020872991.1, XP_020875735.1, XP_020877498.1, XP_020872630.1, XP_020885869.1	As011G258840
OG0000035	XP_002894465.2	As005G105710, As005G106260, As012G269410
OG0000037	XP_020866728.1	As004G089890
OG0000038	XP_020889818.1	As009G211050, As009G210990, As009G210820
OG0000038	XP_020871435.1, XP_002893374.1	As007G157540
OG0000048	XP_020887050.1	As006G137100, As006G137070, As006G137030
OG0000048	XP_002884413.1	As006G136970
OG0000048	XP_020883931.1, XP_020877812.1, XP_002873872.1, XP_020877813.1, XP_002873870.1, XP_002871799.1, XP_020877807.1, XP_020877805.1	As001G017720, As001G017740, As001G017730, As001G017710
OG0000055	XP_020880767.1	As001G022050
OG0000066	XP_020876760.1, XP_020875249.1, XP_020875248.1, XP_020891414.1, XP_020886001.1, XP_020877536.1, XP_020891413.1	As002G052230
OG0000066	XP_020869687.1	As007G156090
OG0000066	XP_002877046.2, XP_002873454.1, XP_020876762.1, XP_020867896.1, XP_002894648.1	As005G118450
OG0000067	XP_020876026.1, XP_020876030.1	As011G256070, As011G256050
OG0000073	XP_020875361.1, XP_002873864.1	As006G137430
OG0000073	XP_002863747.1, XP_002884747.1, XP_020890887.1	As002G034500, As002G034570, As002G034640
OG0000079	XP_020888699.1, XP_020887488.1, XP_020880521.1, XP_020880524.1, XP_020880494.1, XP_020884444.1, XP_020880507.1, XP_020880534.1, XP_020875151.1, XP_020880533.1, XP_020880531.1, XP_020874862.1, XP_020875150.1, XP_020874863.1, XP_020872443.1, XP_020872200.1, XP_020874865.1, XP_020874195.1, XP_020880546.1, XP_020880539.1	As012G285110
OG0000082	XP_020869010.1	As012G278670
OG0000083	XP_020891687.1, XP_020889939.1, XP_020872871.1, XP_020865931.1, XP_020886763.1, XP_020874486.1, XP_020887115.1, XP_020886765.1, XP_020886764.1, XP_020886770.1, XP_002883392.2, XP_020887913.1, XP_020866346.1, XP_020888844.1, XP_020883479.1, XP_020883055.1, XP_020882682.1, XP_020882656.1, XP_020888110.1	As006G138550
OG0000086	XP_002894696.1, XP_002862362.1, XP_002886750.1, XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886752.2, XP_002886746.1, XP_020891241.1, XP_002886744.1, XP_002862361.1, XP_002886749.1, XP_002886745.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002886748.1, XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_002865487.1	As009G216030, As009G216300, As009G216040
OG0000087	XP_020879374.1	As010G222260
OG0000087	XP_020883550.1	As006G128780
OG0000087	XP_002873559.1	As002G051000
OG0000087	XP_002881356.1	As012G274980
OG0000087	XP_002863588.1	As004G086530
OG0000087	XP_020872103.1	As003G058850
OG0000087	XP_020890671.1	As010G237710
OG0000088	XP_020881827.1, XP_002880903.1, XP_020880709.1, XP_020886823.1, XP_002875847.2, XP_020880186.1, XP_002875849.2, XP_002877545.1	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920
OG0000088	XP_020881857.1, XP_020881860.1	As010G225370
OG0000088	XP_020880184.1	As010G223910
OG0000089	XP_020876820.1	As002G053510
OG0000089	XP_020871933.1, XP_020882238.1	As010G224530, As005G115200
OG0000090	XP_002863814.1	As004G082910
OG0000090	XP_020891141.1	As003G065330
