Orthogroup	Eutrema_salsugineum	Alyssum_gmelinii
OG0000000	XP_024004899.1	Ag077G5323300, Ag003G0363000, Ag013G1740700
OG0000000	XP_024011347.1	Ag055G4904400
OG0000000	XP_024006886.1, XP_024011324.1	Ag052G4861800, Ag004G0706900, Ag033G3514900, Ag018G2438300, Ag032G3442900, Ag016G2353100, Ag067G5186800, Ag031G3358900, Ag047G4548700, Ag013G1396900, Ag016G2398200, Ag013G1719000, Ag014G2113700, Ag016G2347700
OG0000000	XP_024006398.1	Ag020G2571600, Ag013G1635500
OG0000000	XP_024013148.1	Ag034G3852600, Ag034G3811600
OG0000000	XP_024014707.1	Ag067G5173700
OG0000002	XP_024009486.1, XP_024014438.1	Ag027G3030200
OG0000003	XP_024006573.1, XP_024005010.1, XP_024016553.1	Ag005G0787400
OG0000003	XP_024006452.1, XP_024009427.1, XP_024004072.1, XP_024004813.1, XP_024004020.1	Ag022G2672700, Ag014G2084900
OG0000003	XP_024009611.1, XP_024010658.1, XP_024010659.1, XP_024010914.1, XP_024016317.1, XP_024013151.1, XP_024003873.1	Ag067G5203100
OG0000003	XP_024014348.1, XP_024011850.1, XP_024010650.1, XP_024010600.1, XP_024014297.1, XP_024004974.1, XP_024015880.1, XP_024014004.1, XP_024009942.1, XP_024014527.1	Ag004G0525300
OG0000003	XP_024011300.1, XP_024006615.1, XP_024014246.1	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200
OG0000003	XP_024007996.1	Ag025G2976100
OG0000003	XP_024004985.1, XP_024004030.1	Ag011G1183800
OG0000004	XP_024014993.1, XP_024010229.1	Ag033G3561100
OG0000004	XP_024007302.1	Ag062G5056100, Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600, Ag010G0992800, Ag014G1774700
OG0000004	XP_024009381.1, XP_024016564.1, XP_024011370.1	Ag039G4237400
OG0000004	XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024014224.1, XP_024009247.1	Ag015G2248700
OG0000004	XP_024014847.1, XP_024016570.1	Ag012G1335000, Ag008G0950900, Ag016G2280500, Ag002G0174700, Ag011G1226600, Ag034G4031200, Ag002G0145400, Ag002G0123900, Ag014G1970800, Ag068G5216500, Ag011G1178300, Ag031G3300400
OG0000005	XP_024016833.1	Ag041G4377100
OG0000008	XP_024006483.1, XP_024014781.1, XP_024004796.1, XP_024004794.1, XP_024014490.1	Ag027G3059500
OG0000008	XP_024015912.1, XP_024004048.1	Ag005G0786100
OG0000008	XP_024013171.1, XP_024010288.1, XP_024007970.1	Ag027G3054100
OG0000008	XP_024013173.1	Ag001G0025300
OG0000008	XP_024010217.1, XP_024010377.1	Ag033G3526400
OG0000009	XP_024013918.1, XP_024007904.1	Ag015G2264800, Ag040G4348900, Ag088G5430700
OG0000009	XP_024004860.1	Ag014G1796900, Ag018G2446400, Ag034G3932700, Ag042G4419400, Ag010G1025100
