Orthogroup	Cardamine_glauca	Brassica_rapa
OG0000000	Cg004G132730	XP_033129333.1
OG0000000	Cg008G288880	XP_033142309.1
OG0000000	Cg003G090030, Cg003G090000	XP_033141125.1, XP_033140369.1, XP_033148095.1
OG0000000	Cg008G318220, Cg007G256290, Cg005G186910, Cg004G150450, Cg002G062250	XP_033146645.1, XP_033138950.1
OG0000003	Cg006G209840	XP_033147287.1, XP_018514447.1, XP_033148793.1, XP_033144892.1, XP_018511976.2, XP_009106784.1, XP_033148226.1, XP_033147058.1
OG0000003	Cg005G163140	XP_009113007.1
OG0000003	Cg005G184670	XP_033139262.1, XP_033139474.1, XP_033139183.1
OG0000003	Cg005G182650	XP_033139261.1
OG0000004	Cg004G154080	XP_009124577.2
OG0000004	Cg005G167340	XP_009123632.2, XP_009150012.1, XP_009106474.1
OG0000005	Cg005G186690, Cg003G078000, Cg005G192860	XP_009102722.2, XP_009113005.2, XP_033131870.1, XP_009135550.2, XP_033134013.1, XP_009146774.1, XP_009139318.2, XP_009124848.1, XP_009140864.1, XP_018509100.1, XP_009129720.1, XP_009122880.1, XP_018513613.1, XP_009147334.1, XP_009117702.1
OG0000005	Cg003G086520	XP_033140104.1, XP_033141066.1, XP_033146099.1, XP_009137100.1, XP_018515469.2
OG0000005	Cg005G188160	XP_033139816.1, XP_009110782.1
OG0000005	Cg005G185830	XP_033132529.1
OG0000007	Cg005G188670, Cg005G188650, Cg005G188640, Cg005G188690, Cg005G188630, Cg008G303470	XP_009139680.2
OG0000007	Cg003G084380	XP_033134315.1
OG0000007	Cg002G061850	XP_033146231.1, XP_033148554.1, XP_009140393.1, XP_009127418.1, XP_033132438.1, XP_033128765.1, XP_033146952.1, XP_009108636.2
OG0000008	Cg002G071180	XP_033148559.1, XP_033143621.1, XP_033138365.1, XP_033143620.1, XP_033141059.1, XP_033143195.1
OG0000008	Cg007G263310	XP_033131033.1, XP_033139686.1, XP_033140769.1, XP_033133054.1, XP_033128088.1
OG0000008	Cg002G055170	XP_009115858.3
OG0000010	Cg001G010610	XP_033143861.1, XP_033137204.1
OG0000010	Cg006G205490	XP_033136253.1
OG0000011	Cg005G184960	XP_033139230.1, XP_033145505.1, XP_018512892.1, XP_033132935.1
OG0000014	Cg008G312030	XP_033139578.1
OG0000014	Cg007G266660	XP_009124283.2, XP_009115282.1, XP_009128583.2, XP_033138826.1, XP_009120263.2, XP_033148537.1, XP_033143577.1
OG0000015	Cg008G310160	XP_033146964.1
OG0000015	Cg004G140320	XP_018509062.1, XP_009118914.1, XP_009105628.1
OG0000015	Cg007G254560	XP_033130405.1
OG0000015	Cg007G249020	XP_033143221.1
OG0000018	Cg003G089030, Cg003G095110	XP_033129353.1, XP_033148520.1, XP_033129522.1, XP_033141116.1, XP_033129361.1, XP_009119482.2, XP_018513563.2, XP_033131843.1, XP_033141097.1, XP_009123464.1, XP_033133955.1, XP_033145227.1, XP_033136601.1, XP_033136202.1, XP_033146808.1, XP_009124449.2
OG0000019	Cg008G308170	XP_033144010.1, XP_018509279.1
OG0000019	Cg003G084410, Cg008G317890	XP_033128807.1
OG0000019	Cg004G134340	XP_009117181.1, XP_033148528.1, XP_018509802.2, XP_009124475.1, XP_033144190.1
OG0000021	Cg006G208570	XP_033145314.1, XP_033133938.1, XP_009145336.1
OG0000021	Cg003G100100	XP_009106506.2
OG0000021	Cg002G061370	XP_033143250.1
OG0000023	Cg001G017560	XP_009136778.1, XP_009136797.2
OG0000023	Cg001G017610, Cg001G017600	XP_009137326.1, XP_009137327.1, XP_009108600.1
OG0000023	Cg003G082320	XP_033142038.1
OG0000023	Cg003G082240	XP_009108162.1
OG0000023	Cg001G017690	XP_009114807.1
OG0000025	Cg001G005300	XP_018509211.2, XP_009148196.2, XP_009105560.1, XP_009102308.1, XP_009133872.1, XP_009102299.1, XP_009133873.1
OG0000027	Cg002G070600	XP_033132209.1
OG0000027	Cg006G215350, Cg006G215360	XP_009144063.2, XP_033148397.1, XP_018514372.2
OG0000027	Cg002G048550, Cg002G048720	XP_009116539.1
OG0000028	Cg001G041970	XP_009119478.1
OG0000029	Cg007G253930	XP_033129539.1, XP_009108043.1, XP_033129024.1
OG0000029	Cg005G177640	XP_033145454.1
OG0000030	Cg007G253140	XP_033148072.1
OG0000030	Cg013G330360	XP_033131887.1
OG0000031	Cg007G247710	XP_009112698.1
OG0000031	Cg001G042060	XP_009140073.1
OG0000031	Cg004G133170	XP_009114567.1
OG0000031	Cg007G245660	XP_009118532.1
OG0000033	Cg001G017700	XP_009108047.1, XP_009109092.2, XP_009136929.1, XP_009137321.1
OG0000033	Cg001G017780	XP_033135404.1, XP_009137324.1
OG0000033	Cg001G019630	XP_009137188.1, XP_009134716.1
OG0000033	Cg001G017580	XP_033143973.1
OG0000033	Cg003G079950, Cg003G094060	XP_033136442.1
OG0000034	Cg002G066600	XP_033143708.1, XP_033133157.1
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	XP_033131068.1, XP_033132741.1, XP_033146849.1, XP_009114424.1, XP_033147285.1
OG0000036	Cg002G062800	XP_033131792.1, XP_033138465.1
OG0000036	Cg005G182230, Cg005G181070	XP_033139240.1
OG0000038	Cg008G285210, Cg008G285280	XP_009115414.1
OG0000038	Cg001G007650	XP_033133461.1, XP_033133451.1, XP_009138083.1, XP_033143334.1
OG0000038	Cg008G320560	XP_009137794.1
OG0000040	Cg006G217350	XP_033131947.1
OG0000040	Cg004G137150	XP_033144643.1, XP_033142641.1, XP_009145735.1
OG0000040	Cg004G136640	XP_033138328.1, XP_033137984.1, XP_009141814.1
OG0000042	Cg008G311300, Cg008G309470	XP_033148631.1
OG0000042	Cg005G183270, Cg003G113100, Cg008G310640, Cg008G309000, Cg005G175020, Cg003G088120	XP_018513078.1
OG0000044	Cg001G029670	XP_033147280.1, XP_033143224.1, XP_009114167.2, XP_033148557.1, XP_018512849.2, XP_033129976.1, XP_009129598.2, XP_033148784.1, XP_033131827.1, XP_033139854.1, XP_033131463.1, XP_033140741.1, XP_033146209.1, XP_033136827.1, XP_033147039.1, XP_033132745.1, XP_033146848.1, XP_033141133.1
OG0000044	Cg003G096230	XP_033141811.1, XP_033147696.1, XP_009145895.1
OG0000045	Cg003G091810	XP_009111088.1, XP_009124343.1, XP_033143302.1, XP_009148796.1, XP_009126345.2, XP_033131133.1, XP_009124322.1, XP_009123947.1, XP_009144965.1, XP_009112384.1, XP_009145102.2, XP_033138741.1, XP_009138594.2, XP_009150108.2, XP_009120275.1, XP_009118918.2, XP_033139364.1, XP_033139558.1, XP_009124884.2, XP_033128785.1, XP_033131640.1, XP_033134480.1, XP_009103830.2, XP_033141110.1, XP_009114691.2, XP_009151526.1, XP_009128527.1, XP_009128535.1, XP_009150829.1
OG0000045	Cg002G064420	XP_033148599.1
OG0000046	Cg001G022610	XP_033142550.1
OG0000046	Cg007G266760	XP_009127512.1
OG0000046	Cg007G266640	XP_009105243.1
OG0000047	Cg004G156550	XP_009127952.2
OG0000048	Cg008G298370	XP_009121030.1, XP_009121023.1, XP_009131631.1
OG0000052	Cg006G242960	XP_009119376.1, XP_009121616.2, XP_009118690.1
OG0000052	Cg005G173390, Cg013G330370	XP_018513039.2
OG0000052	Cg003G083820	XP_009142068.2
OG0000053	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350	XP_033139374.1, XP_033132002.1, XP_033134279.1, XP_033139086.1
OG0000053	Cg003G084420	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1
OG0000054	Cg005G189800, Cg005G189790	XP_033142357.1, XP_018510166.2, XP_033133480.1, XP_033147005.1, XP_033139689.1, XP_033136013.1, XP_033134954.1, XP_033139139.1, XP_033133474.1, XP_033146466.1, XP_009142118.2, XP_033146227.1, XP_033142442.1, XP_033147250.1, XP_009146086.3, XP_033133008.1, XP_033145348.1, XP_033133733.1, XP_009116216.2, XP_033134663.1, XP_033142529.1, XP_033131432.1, XP_009113835.2, XP_033144022.1, XP_033129213.1, XP_033128634.1, XP_033135782.1, XP_009130102.2, XP_033129833.1, XP_033136281.1, XP_018514499.2, XP_033135651.1, XP_033144006.1, XP_033145716.1, XP_033142399.1, XP_033140420.1, XP_009137187.2, XP_033131840.1, XP_009151508.2, XP_018509023.2, XP_033138604.1, XP_009117323.1, XP_033134470.1, XP_033147165.1, XP_033131882.1, XP_033142575.1, XP_033136842.1, XP_033144573.1, XP_033132171.1, XP_033130307.1, XP_033147946.1
OG0000055	Cg002G060080	XP_009149950.1
OG0000056	Cg007G262570, Cg007G263580, Cg007G265440, Cg006G204190	XP_033148496.1, XP_033129519.1, XP_033128162.1, XP_033146737.1, XP_009145557.2, XP_033134361.1, XP_033128616.1, XP_009122875.1, XP_009115922.2, XP_033141779.1
OG0000058	Cg005G185820	XP_033128725.1
OG0000058	Cg005G189250	XP_009138599.2, XP_033145680.1
OG0000060	Cg001G034080	XP_033141193.1, XP_033133785.1, XP_033130752.1, XP_033140199.1, XP_033147116.1, XP_033132497.1, XP_033146481.1, XP_033142010.1, XP_033139569.1, XP_033138489.1, XP_033143386.1, XP_033143075.1, XP_033134221.1, XP_033136411.1, XP_033134991.1, XP_033137009.1, XP_033139491.1, XP_033141273.1, XP_033132844.1
OG0000061	Cg007G263690, Cg007G267630	XP_009107884.2, XP_033132815.1, XP_033129160.1, XP_033139711.1, XP_033142712.1, XP_009107885.2, XP_009136781.1
OG0000062	Cg010G326150	XP_033129913.1, XP_033129645.1, XP_033132767.1, XP_033145242.1, XP_033131468.1, XP_033133429.1, XP_033128838.1, XP_033128695.1, XP_033128795.1, XP_033130871.1, XP_033146432.1, XP_033146434.1, XP_033139661.1, XP_033130432.1, XP_033133874.1, XP_033148881.1, XP_033129127.1, XP_033129128.1, XP_033136406.1, XP_033147269.1, XP_033131180.1, XP_033147836.1, XP_009121263.2, XP_033146531.1, XP_009122926.1
OG0000064	Cg001G000750	XP_009101919.1
OG0000064	Cg008G325030	XP_009134129.2, XP_009134122.2, XP_009134123.2, XP_033134012.1, XP_009126890.1, XP_018514362.2, XP_033147785.1, XP_009134127.2, XP_009105095.1, XP_009141039.2, XP_009141423.1, XP_009141424.2, XP_009132724.1, XP_033146437.1, XP_009141118.1, XP_009132713.2, XP_009132712.2, XP_009141037.3
OG0000066	Cg003G113360	XP_009125303.1, XP_009114048.1, XP_009110843.1, XP_009131154.1, XP_009129719.2, XP_009112178.1
OG0000067	Cg004G154470	XP_033144949.1, XP_033144954.1, XP_009122279.3, XP_033137765.1
OG0000067	Cg008G318950	XP_033144956.1, XP_009131006.1, XP_033144664.1, XP_033136756.1, XP_009130959.2, XP_009130957.1
OG0000070	Cg002G063700	XP_033139530.1, XP_033129378.1, XP_033138989.1, XP_033129363.1
OG0000070	Cg005G186370	XP_033143392.1
OG0000073	Cg008G302430	XP_009123255.2
OG0000073	Cg008G315120	XP_033128241.1
OG0000074	Cg006G222190	XP_009115511.1
OG0000074	Cg006G222350	XP_033135734.1, XP_009115048.1, XP_009115516.1
OG0000075	Cg003G083750, Cg005G174740, Cg008G291500, Cg008G290800, Cg008G290770, Cg006G214290	XP_018509924.1, XP_033135419.1
OG0000075	Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300	XP_009121040.1, XP_009131723.1
OG0000075	Cg008G301210	XP_009151202.1, XP_009151204.1
OG0000076	Cg002G054100	XP_009115966.1, XP_033146756.1, XP_033146757.1, XP_033146252.1, XP_033145801.1
OG0000076	Cg007G272900	XP_033139477.1, XP_033135650.1
OG0000076	Cg002G071650	XP_009152006.1
OG0000078	Cg002G071190	XP_033148565.1, XP_033138831.1, XP_033140785.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_018512940.2, XP_033147279.1, XP_033143194.1, XP_033143619.1, XP_033148618.1, XP_033148616.1, XP_009119775.3
OG0000079	Cg004G118210	XP_018510392.1
OG0000079	Cg002G047470	XP_009132838.1, XP_009117247.1
OG0000079	Cg005G185620	XP_009116567.1
OG0000079	Cg007G249140	XP_009116566.1
OG0000079	Cg008G310600, Cg008G310560, Cg008G308930	XP_033130624.1, XP_009104177.1
OG0000080	Cg004G150150	XP_009140814.1, XP_033145824.1
OG0000080	Cg005G177060	XP_033145280.1
OG0000083	Cg005G190480	XP_009124082.1
OG0000084	Cg005G189580	XP_033145265.1
OG0000084	Cg005G189500	XP_033145730.1, XP_033145267.1
OG0000087	Cg008G303510	XP_009150907.1
OG0000087	Cg005G177380	XP_009141007.2, XP_009144365.1
OG0000087	Cg003G110470	XP_009151388.1, XP_009150241.1
OG0000087	Cg002G060160	XP_009149954.2, XP_009150568.2
OG0000087	Cg008G292710	XP_009121863.1
OG0000087	Cg005G171830	XP_018514901.1
OG0000087	Cg008G320640	XP_009123590.1, XP_009113926.1, XP_009101721.2
OG0000087	Cg001G020160	XP_009134084.2, XP_009108485.1, XP_009137158.2
OG0000087	Cg007G276340	XP_009106234.1
OG0000088	Cg005G181240	XP_009149894.1, XP_009113892.3, XP_009131995.2, XP_009116363.1, XP_033142283.1
OG0000088	Cg001G039390, Cg008G300920	XP_009131797.1, XP_009120802.1
OG0000088	Cg003G090240, Cg003G095710	XP_033147614.1, XP_009143939.1
OG0000089	Cg008G290150	XP_009131124.2, XP_033138402.1, XP_009125344.2
OG0000089	Cg004G127880	XP_009146646.1
OG0000090	Cg006G225800	XP_009149503.1
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	XP_009104691.1, XP_009106248.2, XP_009128146.1
OG0000090	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850	XP_009147939.1, XP_033128831.1
OG0000090	Cg002G074060	XP_033136464.1
OG0000090	Cg006G235770	XP_009123589.1
OG0000093	Cg002G047960	XP_009138966.1, XP_009138965.1
OG0000093	Cg002G047940	XP_033136042.1, XP_009116516.1, XP_033136014.1
OG0000093	Cg002G048030	XP_033131129.1
OG0000096	Cg007G252880	XP_033134075.1
OG0000097	Cg003G079780, Cg003G094240	XP_009110937.1, XP_033135887.1
OG0000097	Cg003G079770, Cg003G094250	XP_009121666.1
OG0000098	Cg007G253040, Cg007G249450	XP_009138198.1
OG0000099	Cg007G249510	XP_009121822.3, XP_009132579.1, XP_009124806.1, XP_033134181.1, XP_009112903.1, XP_033129523.1, XP_009112794.2, XP_033135394.1
OG0000102	Cg001G040220, Cg001G033570	XP_033134130.1
OG0000104	Cg006G238510	XP_009118428.1
OG0000104	Cg005G178080, Cg005G178040, Cg005G177940, Cg005G177960, Cg005G177980, Cg005G177930, Cg005G177920	XP_033145187.1, XP_033131572.1
OG0000104	Cg006G200560	XP_033146903.1
OG0000104	Cg004G138340	XP_009135746.2
OG0000104	Cg005G178050	XP_009140956.1
OG0000105	Cg003G084510	XP_033131858.1, XP_009150028.1
OG0000106	Cg001G042030	XP_009136113.1
OG0000107	Cg005G182320	XP_033131954.1, XP_009113964.1
OG0000107	Cg004G136880	XP_033147102.1
OG0000107	Cg004G136910	XP_009140112.1, XP_033142636.1
OG0000108	Cg008G306430	XP_009150964.1
OG0000108	Cg007G245680, Cg007G245670	XP_033144223.1, XP_009137095.2, XP_033143042.1
OG0000109	Cg006G211600	XP_033136189.1, XP_033128016.1
OG0000109	Cg006G218300, Cg006G206180	XP_033147238.1
OG0000110	Cg002G047270	XP_009104193.2
OG0000110	Cg002G047280	XP_009116587.1, XP_018508692.1
OG0000110	Cg002G047240	XP_033130960.1
OG0000110	Cg007G269260	XP_009104190.1
OG0000111	Cg002G051630	XP_009116244.2, XP_009116184.2, XP_009116245.1, XP_033137144.1, XP_018510613.1
OG0000113	Cg007G253850, Cg007G250960	XP_033134179.1
OG0000114	Cg008G318090	XP_033142504.1, XP_033142547.1, XP_033142785.1, XP_009113973.2
OG0000120	Cg007G250010, Cg007G249930	XP_033136614.1, XP_033135828.1
OG0000120	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540	XP_033133710.1, XP_009107578.2, XP_033128024.1
OG0000120	Cg008G285500	XP_009122928.1
OG0000122	Cg003G086890	XP_033139821.1
OG0000122	Cg003G103770	XP_033137394.1
OG0000123	Cg006G218510, Cg006G218490	XP_009109753.1
OG0000123	Cg001G014420	XP_009124814.1, XP_009142142.1
OG0000125	Cg002G052860	XP_009139383.1, XP_009116061.1, XP_009103877.2
OG0000125	Cg008G302630	XP_009131894.1, XP_009120626.1
OG0000125	Cg003G107610	XP_009120513.1
OG0000125	Cg005G178390	XP_009133865.1, XP_009103710.2, XP_009140934.1
OG0000126	Cg001G027760, Cg001G028690, Cg002G060390, Cg007G271870, Cg008G305740, Cg007G255150	XP_033148541.1, XP_009123429.1
OG0000127	Cg008G282750	XP_033145538.1
OG0000127	Cg007G262300, Cg007G263860	XP_009122823.2
OG0000127	Cg004G124780	XP_033147907.1
OG0000128	Cg001G020220	XP_033143891.1
OG0000128	Cg008G318340	XP_009124323.2, XP_033139400.1, XP_009137698.1
OG0000129	Cg005G172680	XP_033138784.1
OG0000133	Cg003G084500, Cg005G185150, Cg004G141220	XP_033139533.1, XP_033130755.1, XP_033128569.1, XP_033147093.1, XP_009115089.3, XP_033137203.1
OG0000135	Cg004G138210	XP_009128617.1, XP_033133940.1, XP_009124649.1, XP_033134200.1, XP_009102172.2, XP_033129239.1, XP_009144118.2, XP_033148633.1, XP_033146244.1, XP_009140415.1, XP_018513882.1
