protein	mRNA	gene
XP_002892018.2	XM_002891972.2	LOC9330760
XP_020866566.1	XM_021010907.1	LOC9328081
XP_020869577.1	XM_021013918.1	LOC9325393
XP_020869576.1	XM_021013917.1	LOC9325394
XP_020866293.1	XM_021010634.1	LOC9328083
XP_002892022.1	XM_002891976.2	LOC9328084
XP_020866291.1	XM_021010632.1	LOC9328085
XP_002892023.1	XM_002891977.2	LOC9328085
XP_020866292.1	XM_021010633.1	LOC9328085
XP_002889330.1	XM_002889284.2	LOC9328086
XP_020866528.1	XM_021010869.1	LOC9325396
XP_002889333.1	XM_002889287.2	LOC9325397
XP_020868849.1	XM_021013190.1	LOC9325398
XP_002892024.1	XM_002891978.2	LOC9325398
XP_020868848.1	XM_021013189.1	LOC9328087
XP_020868850.1	XM_021013191.1	LOC9328088
XP_002892026.1	XM_002891980.2	LOC9328088
XP_020868851.1	XM_021013192.1	LOC9328089
XP_002892027.1	XM_002891981.2	LOC9325400
XP_020869822.1	XM_021014163.1	LOC9328091
XP_002889337.1	XM_002889291.2	LOC9325401
XP_020869823.1	XM_021014164.1	LOC9325401
XP_020869825.1	XM_021014166.1	LOC9325401
XP_020869824.1	XM_021014165.1	LOC9325401
XP_020869827.1	XM_021014168.1	LOC9325401
XP_020869828.1	XM_021014169.1	LOC9328093
XP_002889339.2	XM_002889293.2	LOC9325403
XP_002889340.2	XM_002889294.2	LOC9325404
XP_020868120.1	XM_021012461.1	LOC110224869
XP_020868113.1	XM_021012454.1	LOC9325405
XP_020868114.1	XM_021012455.1	LOC9325405
XP_020868115.1	XM_021012456.1	LOC110224866
XP_020868116.1	XM_021012457.1	LOC110224866
XP_020868117.1	XM_021012458.1	LOC110224867
XP_020868119.1	XM_021012460.1	LOC110224868
XP_020868111.1	XM_021012452.1	LOC9325406
XP_020868112.1	XM_021012453.1	LOC9325406
XP_002892033.1	XM_002891987.2	LOC9328095
XP_020870510.1	XM_021014851.1	LOC9328096
XP_020870210.1	XM_021014551.1	LOC110225261
XP_020869394.1	XM_021013735.1	LOC9325407
XP_002892034.1	XM_002891988.2	LOC9325408
XP_002889344.1	XM_002889298.2	LOC9328097
XP_020869420.1	XM_021013761.1	LOC9325409
XP_002892036.1	XM_002891990.2	LOC9328098
XP_002889345.1	XM_002889299.2	LOC9328099
XP_020867969.1	XM_021012310.1	LOC9325411
XP_020867967.1	XM_021012308.1	LOC9325411
XP_020867968.1	XM_021012309.1	LOC9325411
XP_020867966.1	XM_021012307.1	LOC9325411
XP_020867970.1	XM_021012311.1	LOC9328100
XP_020867971.1	XM_021012312.1	LOC9328100
XP_002892038.1	XM_002891992.2	LOC9325412
XP_020867965.1	XM_021012306.1	LOC9328101
XP_020867972.1	XM_021012313.1	LOC9325413
XP_002892039.1	XM_002891993.2	LOC9325414
XP_020868406.1	XM_021012747.1	LOC9328102
XP_020868408.1	XM_021012749.1	LOC9328102
XP_020868405.1	XM_021012746.1	LOC9328102
XP_020868409.1	XM_021012750.1	LOC9328102
XP_020868407.1	XM_021012748.1	LOC9328102
XP_020870072.1	XM_021014413.1	LOC9325416
XP_020870071.1	XM_021014412.1	LOC9325416
XP_020870081.1	XM_021014422.1	LOC9325417
XP_002892041.1	XM_002891995.2	LOC9328103
XP_020870070.1	XM_021014411.1	LOC9328103
XP_020870061.1	XM_021014402.1	LOC9328104
XP_002892042.1	XM_002891996.2	LOC9328104
XP_020870075.1	XM_021014416.1	LOC9328105
XP_002892043.1	XM_002891997.2	LOC9328105
XP_020870062.1	XM_021014403.1	LOC9328106
XP_002889353.2	XM_002889307.2	LOC9328107
XP_020870067.1	XM_021014408.1	LOC9328107
XP_020870068.1	XM_021014409.1	LOC9328107
XP_002892045.1	XM_002891999.2	LOC9325418
XP_020870080.1	XM_021014421.1	LOC9325418
XP_020870063.1	XM_021014404.1	LOC110225227
XP_020870065.1	XM_021014406.1	LOC110225227
XP_020870064.1	XM_021014405.1	LOC110225227
XP_020870074.1	XM_021014415.1	LOC9328108
XP_020870082.1	XM_021014423.1	LOC9328109
XP_002892047.1	XM_002892001.2	LOC9325419
XP_020870077.1	XM_021014418.1	LOC110225229
XP_020870076.1	XM_021014417.1	LOC110225229
XP_020870078.1	XM_021014419.1	LOC110225229
XP_020870079.1	XM_021014420.1	LOC110225229
XP_020870069.1	XM_021014410.1	LOC9328110
XP_020869977.1	XM_021014318.1	LOC110225203
XP_020869976.1	XM_021014317.1	LOC110225203
XP_020869978.1	XM_021014319.1	LOC9325420
XP_020869979.1	XM_021014320.1	LOC9325420
XP_020869980.1	XM_021014321.1	LOC9325420
XP_002889356.1	XM_002889310.2	LOC9328112
XP_020869670.1	XM_021014011.1	LOC110225127
XP_020869672.1	XM_021014013.1	LOC110225127
XP_020869671.1	XM_021014012.1	LOC110225127
XP_020869668.1	XM_021014009.1	LOC110225127
XP_020869669.1	XM_021014010.1	LOC110225127
XP_020869667.1	XM_021014008.1	LOC110225127
XP_020869666.1	XM_021014007.1	LOC9325421
XP_020869665.1	XM_021014006.1	LOC9325421
XP_020866657.1	XM_021010998.1	LOC9325422
XP_020866658.1	XM_021010999.1	LOC9325422
XP_020866660.1	XM_021011001.1	LOC9325423
XP_020866659.1	XM_021011000.1	LOC9325424
XP_020869191.1	XM_021013532.1	LOC9328113
XP_002889361.1	XM_002889315.2	LOC9325425
XP_002892051.1	XM_002892005.2	LOC9325426
XP_020869586.1	XM_021013927.1	LOC9328114
XP_002892052.1	XM_002892006.2	LOC9328114
XP_002892053.1	XM_002892007.2	LOC9328115
XP_002892054.1	XM_002892008.2	LOC9328116
XP_002892055.1	XM_002892009.2	LOC9328117
XP_020868348.1	XM_021012689.1	LOC9328118
XP_020868351.1	XM_021012692.1	LOC9328119
XP_020868349.1	XM_021012690.1	LOC9328119
XP_020868350.1	XM_021012691.1	LOC9328119
XP_020868347.1	XM_021012688.1	LOC9328120
XP_020868346.1	XM_021012687.1	LOC9328120
XP_020868353.1	XM_021012694.1	LOC9328122
XP_020868352.1	XM_021012693.1	LOC9328122
XP_002889362.1	XM_002889316.2	LOC9328123
XP_020867498.1	XM_021011839.1	LOC110224777
XP_020867496.1	XM_021011837.1	LOC9325427
XP_020867497.1	XM_021011838.1	LOC110224776
XP_002889363.1	XM_002889317.2	LOC9328124
XP_002892062.1	XM_002892016.2	LOC9325428
XP_002889364.1	XM_002889318.2	LOC9328125
XP_020869065.1	XM_021013406.1	LOC9325429
XP_002892064.1	XM_002892018.2	LOC9328126
XP_020869446.1	XM_021013787.1	LOC110225080
XP_020869447.1	XM_021013788.1	LOC110225080
XP_020869448.1	XM_021013789.1	LOC9325430
XP_002889367.1	XM_002889321.2	LOC9328128
XP_020869315.1	XM_021013656.1	LOC9325432
XP_020870181.1	XM_021014522.1	LOC9325433
XP_020870182.1	XM_021014523.1	LOC9325434
XP_020870183.1	XM_021014524.1	LOC9328129
XP_002889370.1	XM_002889324.2	LOC9328129
XP_020870180.1	XM_021014521.1	LOC9325435
XP_002892067.1	XM_002892021.2	LOC9325436
XP_020870190.1	XM_021014531.1	LOC9328130
XP_020870191.1	XM_021014532.1	LOC9328130
XP_020870189.1	XM_021014530.1	LOC9328130
XP_002892069.1	XM_002892023.2	LOC9328131
XP_020870188.1	XM_021014529.1	LOC9328132
XP_020870187.1	XM_021014528.1	LOC9328132
XP_002892071.1	XM_002892025.2	LOC9328133
XP_020870173.1	XM_021014514.1	LOC9328134
XP_020870174.1	XM_021014515.1	LOC9328134
XP_020870192.1	XM_021014533.1	LOC110225254
XP_020870172.1	XM_021014513.1	LOC9325438
XP_002892072.1	XM_002892026.2	LOC9325439
XP_002892073.1	XM_002892027.2	LOC9328135
XP_020870179.1	XM_021014520.1	LOC9328136
