Orthogroup	Noccaea_praecox	Arabis_alpina
OG0000002	Np001G043410, Np002G102940, Np001G043030	Aa_G645190.h1.t1
OG0000002	Np004G254710, Np004G202200, Np002G101770, Np004G226500, Np002G102920	Aa_G201640.h1.t1, Aa_G517450.h1.t1, Aa_G841100.h1.t1, Aa_G891490.h1.t1, Aa_G380080.h1.t1, Aa_G876490.h1.t1, Aa_G440660.h1.t1, Aa_G6650.h1.t1, Aa_G429320.h1.t1
OG0000002	Np008G426050	Aa_G109850.h1.t1, Aa_G417360.h1.t1
OG0000002	Np001G043040	Aa_G169610.h1.t1, Aa_G497900.h1.t1, Aa_G534810.h1.t1, Aa_G722140.h1.t1, Aa_G62810.h1.t1, Aa_G441820.h1.t1, Aa_G1002640.h1.t1, Aa_G934630.h1.t1, Aa_G181880.h1.t1, Aa_G884540.h1.t1, Aa_G945300.h1.t1, Aa_G211950.h1.t1, Aa_G211950.h2.t1, Aa_G294770.h1.t1, Aa_G396950.h1.t1, Aa_G277830.h1.t1
OG0000002	Np007G405440	Aa_G202910.h1.t1, Aa_G473920.h1.t1, Aa_G671100.h1.t1, Aa_G36530.h1.t1, Aa_G272260.h2.t1, Aa_G272260.h1.t1, Aa_G571690.h1.t1
OG0000002	Np006G346800, Np002G102950	Aa_G940570.h1.t1, Aa_G202640.h1.t1
OG0000002	Np009G429290	Aa_G166190.h1.t1
OG0000003	Np001G048700	Aa_G619980.h1.t1, Aa_G619980.h2.t1, Aa_G409540.h1.t1, Aa_G125480.h1.t1
OG0000005	Np002G080500	Aa_G1025960.h1.t1
OG0000005	Np004G197000	Aa_G122060.h1.t1
OG0000006	Np005G313160	Aa_G727680.h1.t1, Aa_G70820.h1.t1, Aa_G508230.h1.t1, Aa_G85610.h1.t1
OG0000007	Np006G357400, Np005G299740, Np007G402900, Np001G003900, Np005G307400, Np003G129790, Np005G315800, Np003G152970	Aa_G60120.h1.t1
OG0000007	Np003G126450	Aa_G175710.h1.t1
OG0000008	Np001G053530	Aa_G302250.h1.t1
OG0000011	Np001G009230, Np006G351190	Aa_G912630.h1.t1, Aa_G507370.h1.t1, Aa_G95430.h1.t1, Aa_G892370.h3.t1, Aa_G892370.h2.t1, Aa_G892370.h1.t1, Aa_G899650.h2.t1, Aa_G899650.h1.t1, Aa_G20660.h1.t1, Aa_G360660.h1.t1, Aa_G437580.h1.t1, Aa_G200180.h1.t1, Aa_G518970.h1.t1, Aa_G287610.h1.t1, Aa_G948050.h1.t1, Aa_G948050.h2.t1, Aa_G95420.h1.t1, Aa_G378160.h1.t1, Aa_G870430.h1.t1
OG0000011	Np005G296030, Np001G026330, Np005G265830, Np003G163940	Aa_G57260.h1.t1, Aa_G57270.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1
OG0000012	Np005G284530, Np006G343630, Np002G100520, Np003G169510, Np006G350820, Np007G404020, Np004G218280	Aa_G297380.h1.t1
