Orthogroup	Euclidium_syriacum	Rorippa_islandica
OG0000000	ESY9_g43741_DN1_SP0_c0.t1	Roisl.0214s0322.1.p, Roisl.0008s0147.1.p, Roisl.0082s0510.1.p, Roisl.0009s0190.1.p, Roisl.0191s0689.1.p, Roisl.0053s0029.1.p, Roisl.0055s0043.1.p, Roisl.0046s1083.1.p, Roisl.0185s0067.1.p, Roisl.0204s0096.1.p, Roisl.0185s0075.1.p
OG0000000	ESY7_g16535_DN2_SP0_c0.t1, ESY20_g12791_DN2_SP0_c0.t1	Roisl.0046s1371.1.p, Roisl.0091s0126.1.p
OG0000000	ESY2_g36604_DN3_SP0_c0.t1	Roisl.0053s0186.1.p
OG0000000	ESY6_g47093_DN2_SP0_c0.t1	Roisl.0188s0090.1.p
OG0000000	ESY17_g39043_DN1_SP0_c0.t1	Roisl.0020s0052.1.p
OG0000002	ESY9_g43349_DN2_SP0_c0.t1	Roisl.0058s0007.1.p, Roisl.0194s0020.1.p, Roisl.0006s0264.1.p, Roisl.0012s0025.1.p, Roisl.0038s0052.1.p, Roisl.0184s0176.1.p, Roisl.0213s0015.1.p, Roisl.0008s0085.1.p, Roisl.0204s0005.1.p, Roisl.0188s0060.1.p, Roisl.0040s0101.1.p, Roisl.0012s0044.1.p, Roisl.0200s0037.1.p, Roisl.0210s2181.1.p, Roisl.0014s0020.1.p, Roisl.0111s0033.1.p, Roisl.0022s0019.1.p, Roisl.0076s0006.1.p, Roisl.0214s0254.1.p, Roisl.0066s0414.1.p, Roisl.0006s0156.1.p, Roisl.0014s0086.1.p, Roisl.0083s0030.1.p, Roisl.0032s0054.1.p, Roisl.0041s0032.1.p, Roisl.0047s0024.1.p
OG0000003	ESY8_g60366_DN2_SP0_c0.t1	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p
OG0000003	ESY9_g43283_DN2_SP0_c0.t1	Roisl.0058s0052.1.p, Roisl.0189s0151.1.p, Roisl.0214s0907.1.p, Roisl.0047s0023.1.p, Roisl.0213s0678.1.p, Roisl.0005s0145.1.p, Roisl.0214s0184.1.p, Roisl.0188s0028.1.p, Roisl.0004s0406.1.p, Roisl.0053s0433.1.p, Roisl.0037s0060.1.p, Roisl.0184s0058.1.p
OG0000003	ESY2_g37194_DN1_SP0_c0.t1	Roisl.0015s0133.1.p, Roisl.0017s0491.1.p, Roisl.0179s0077.1.p, Roisl.0058s0001.1.p
OG0000003	ESY9_g43824_DN1_SP0_c0.t1	Roisl.0210s2108.1.p, Roisl.0193s0004.1.p, Roisl.0189s0031.1.p, Roisl.0124s0003.1.p, Roisl.0185s0057.1.p, Roisl.0210s2127.1.p, Roisl.0188s0002.1.p, Roisl.0061s0013.1.p, Roisl.0066s0222.1.p, Roisl.0023s0114.1.p, Roisl.0214s0241.1.p, Roisl.0194s0028.1.p, Roisl.0209s0038.1.p, Roisl.0046s0674.1.p, Roisl.0006s0559.1.p, Roisl.0029s0052.1.p, Roisl.0075s0146.1.p, Roisl.0047s0078.1.p, Roisl.0047s0014.1.p, Roisl.0215s0019.1.p, Roisl.0043s0035.1.p, Roisl.0045s0105.1.p, Roisl.0017s0492.1.p, Roisl.0064s0040.1.p, Roisl.0214s0079.1.p, Roisl.0108s0001.1.p, Roisl.0014s0079.1.p, Roisl.0014s0078.1.p, Roisl.0047s0051.1.p, Roisl.0046s0045.1.p, Roisl.0020s0030.1.p, Roisl.0047s0005.1.p, Roisl.0041s0053.1.p, Roisl.0008s0063.1.p, Roisl.0040s0026.1.p, Roisl.0015s0146.1.p, Roisl.0083s0007.1.p, Roisl.0066s0424.1.p, Roisl.0038s0064.1.p, Roisl.0210s2225.1.p
