Orthogroup	Arabidopsis_arenosa	Cardamine_amara
OG0000000	jg21340	evm.model.RL_3.1962
OG0000000	jg2924, jg12072, jg12472	evm.model.RL_3.245
OG0000000	jg1749	evm.model.RL_2.920, evm.model.RL_4.662, evm.model.RL_6.582
OG0000000	jg17418	evm.model.RL_2.738, evm.model.RL_4.733, evm.model.RL_1.3301
OG0000000	jg16482, jg16492	evm.model.RL_8.1072
OG0000002	jg27118	evm.model.RL_7.2046, evm.model.RL_4.1699, evm.model.RL_7.2065
OG0000003	jg1672	evm.model.RL_6.633
OG0000003	jg11917	evm.model.RL_2.709
OG0000003	jg11918	evm.model.RL_7.2059, evm.model.RL_6.676, evm.model.RL_1.2633
OG0000004	jg25786	evm.model.RL_2.303
OG0000005	jg19324, jg12452	evm.model.RL_4.816, evm.model.RL_4.229
OG0000005	jg11602	evm.model.RL_1.1086
OG0000005	jg13854, jg1845, jg4267, jg10505	evm.model.RL_1.3117
OG0000005	jg8025, jg11080, jg14183, jg14024, jg21899, jg13959, jg1165, jg13498, jg21058, jg18867, jg13113	evm.model.RL_1.1904, evm.model.RL_2.461
OG0000007	jg7091	evm.model.RL_2.1094
OG0000007	jg6465	evm.model.RL_2.508
OG0000007	jg25591	evm.model.RL_4.1690, evm.model.RL_7.1569
OG0000008	jg15069, jg15062, jg15057, jg15054	evm.model.RL_7.1211
OG0000010	jg11731	evm.model.RL_2.396
OG0000011	jg27473, jg29119	evm.model.RL_1.2267
OG0000012	jg26919, jg12454, jg31920, jg1757, jg32331, jg12319, jg3735	evm.model.RL_4.165
OG0000012	jg32355, jg32390, jg32436, jg32336, jg17412	evm.model.RL_3.685
OG0000013	jg12130	evm.model.RL_6.796
OG0000014	jg22974	evm.model.RL_3.2284
OG0000015	jg11869	evm.model.RL_1.3215
OG0000017	jg32618	evm.model.RL_7.1888
OG0000017	jg27354	evm.model.RL_3.613
OG0000017	jg1560	evm.model.RL_6.717
OG0000017	jg6883	evm.model.RL_7.1516
OG0000017	jg6884	evm.model.RL_3.2130
OG0000018	jg4400, jg32393, jg11989, jg32560, jg26774	evm.model.RL_4.1915
OG0000018	jg25715	evm.model.RL_7.1872
OG0000019	jg13840	evm.model.RL_7.2531
OG0000019	jg13838, jg27639, jg22122, jg16702	evm.model.RL_7.2268
OG0000021	jg17562	evm.model.RL_6.438
OG0000021	jg27173	evm.model.RL_2.653
OG0000021	jg17386, jg13577, jg12206	evm.model.RL_4.3275, evm.model.RL_5.2792
OG0000023	jg10174	evm.model.RL_2.1848
OG0000023	jg10183	evm.model.RL_2.1831
OG0000023	jg10181	evm.model.RL_2.1843
OG0000023	jg7521	evm.model.RL_8.636
OG0000023	jg10191	evm.model.RL_2.1829, evm.model.RL_2.1830
OG0000023	jg10192	evm.model.RL_2.1825.3.687c86e4
OG0000023	jg10187	evm.model.RL_2.1827
OG0000024	jg2022	evm.model.RL_5.2480
OG0000025	jg22442	evm.model.RL_2.872
OG0000025	jg22259	evm.model.RL_8.1541
OG0000025	jg8748	evm.model.RL_2.3111
OG0000027	jg14278	evm.model.RL_7.603, evm.model.RL_7.580
OG0000028	jg2197, jg17461, jg12004, jg26958, jg13640, jg2465	evm.model.RL_7.4, evm.model.RL_5.3115
OG0000028	jg21311, jg32932, jg1778	evm.model.RL_4.1689
OG0000029	jg5864, jg27798, jg17174, jg18126	evm.model.RL_4.797
OG0000029	jg1946	evm.model.RL_2.306
OG0000030	jg32380	evm.model.RL_7.2074
OG0000030	jg20585	evm.model.RL_5.2340, evm.model.RL_6.2259
OG0000030	jg17129	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258
OG0000031	jg645, jg586, jg583, jg572	evm.model.RL_3.758
OG0000031	jg618, jg613, jg617, jg616, jg643	evm.model.RL_3.205
OG0000033	jg10186	evm.model.RL_2.1828
OG0000033	jg10177	evm.model.RL_2.1847, evm.model.RL_2.1846
OG0000033	jg10195, jg10202	evm.model.RL_2.1820_evm.model.RL_2.1823
OG0000033	jg7784	evm.model.RL_8.413
OG0000034	jg32649, jg13995	evm.model.RL_5.2586
OG0000034	jg11749, jg11798	evm.model.RL_7.2041
OG0000036	jg16618	evm.model.RL_5.2564
OG0000036	jg299, jg1839, jg32415, jg11724, jg17278, jg1046, jg1567, jg11852, jg13931, jg6976, jg17098, jg1485, jg16419, jg27812, jg17384, jg21000, jg17522, jg31083	evm.model.RL_2.742, evm.model.RL_2.665
OG0000038	jg14792	evm.model.RL_7.1446
OG0000038	jg21941	evm.model.RL_8.1346, evm.model.RL_8.1344
OG0000039	jg6819	evm.model.RL_3.1691
OG0000040	jg25536	evm.model.RL_7.2097
OG0000040	jg2274	evm.model.RL_3.1121
OG0000044	jg1572	evm.model.RL_4.607
OG0000044	jg21339, jg1555	evm.model.RL_6.541
OG0000044	jg17523, jg29315, jg14196, jg1834, jg309, jg32416, jg1035, jg17283, jg1573	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000044	jg13501, jg20886	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226
OG0000044	jg12140	evm.model.RL_2.659
OG0000046	jg12337	evm.model.RL_2.391
OG0000046	jg10780	evm.model.RL_2.1379
OG0000046	jg2206	evm.model.RL_3.1075
OG0000046	jg2195	evm.model.RL_3.1072
OG0000046	jg2209, jg2212	evm.model.RL_3.1077
OG0000046	jg12331	evm.model.RL_2.393
OG0000052	jg29349	evm.model.RL_5.167
OG0000052	jg907	evm.model.RL_8.2684
OG0000052	jg19551, jg19550, jg19552, jg19554, jg18423	evm.model.RL_6.1412
OG0000052	jg19564	evm.model.RL_8.803, evm.model.RL_8.802
OG0000052	jg19560	evm.model.RL_6.2368
OG0000053	jg1077, jg28178, jg4817, jg5943, jg25268, jg33384, jg11480, jg32839	evm.model.RL_1.2655
OG0000055	jg674, jg739	evm.model.RL_3.282
OG0000055	jg748	evm.model.RL_3.286
OG0000055	jg721	evm.model.RL_3.285
OG0000055	jg728	evm.model.RL_3.277
OG0000056	jg12110, jg25787	evm.model.RL_2.634
OG0000056	jg20957, jg21612	evm.model.RL_1.2423
OG0000056	jg13720, jg21424	evm.model.RL_1.2416
OG0000057	jg17788	evm.model.RL_4.2353
OG0000058	jg27469, jg29921, jg1167, jg13112, jg18866, jg12231, jg7250, jg7021, jg20411, jg13499, jg11079, jg14182, jg13958, jg21898, jg21900, jg14025, jg21057, jg8024	evm.model.RL_1.1905
OG0000061	jg1125, jg28032, jg32127, jg20814	evm.model.RL_3.1126
OG0000062	jg7377	evm.model.RL_6.456, evm.model.RL_7.2113, evm.model.RL_2.991, evm.model.RL_6.777
OG0000063	jg17853	evm.model.RL_7.1740
OG0000063	jg14419	evm.model.RL_7.1774, evm.model.RL_6.981
OG0000066	jg27126	evm.model.RL_3.1975
OG0000066	jg30515	evm.model.RL_5.1818
OG0000066	jg13471	evm.model.RL_5.781, evm.model.RL_8.2623
OG0000066	jg1404	evm.model.RL_8.2622
OG0000067	jg24838, jg24839	evm.model.RL_7.2627
OG0000067	jg30520, jg22052, jg22034, jg32039, jg24035, jg24037, jg24042, jg4088, jg4089, jg4055, jg14204, jg14390, jg14389	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9
OG0000067	jg12213	evm.model.RL_3.1500, evm.model.RL_3.1537
OG0000069	jg13828, jg32034, jg10937, jg11572, jg20466, jg32702, jg16551, jg30444, jg24432, jg11779, jg1433, jg26607, jg7033	evm.model.RL_4.1093
OG0000071	jg17558	evm.model.RL_1.2437
OG0000071	jg25723	evm.model.RL_6.3
OG0000072	jg2002, jg1859, jg13895, jg13896, jg17450, jg17336, jg27058	evm.model.RL_3.925
OG0000072	jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091	evm.model.RL_3.783
OG0000073	jg20416, jg20443, jg20442	evm.model.RL_4.151, evm.model.RL_4.156
OG0000073	jg21037, jg1752, jg6091	evm.model.RL_6.501
OG0000073	jg12610	evm.model.RL_4.150
OG0000073	jg7157, jg7084	evm.model.RL_5.2720
OG0000073	jg13687, jg20423	evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175
OG0000074	jg30923, jg30924	evm.model.RL_5.3415
OG0000076	jg14762	evm.model.RL_7.1484
OG0000076	jg15188	evm.model.RL_8.1070
OG0000077	jg21501, jg21500	evm.model.RL_4.914, evm.model.RL_4.878
OG0000077	jg8426	evm.model.RL_2.3382
OG0000077	jg24861	evm.model.RL_2.1487
OG0000077	jg26791	evm.model.RL_6.2241, evm.model.RL_6.145
OG0000077	jg8428	evm.model.RL_2.3381
OG0000078	jg9173	evm.model.RL_3.798
OG0000079	jg15925	evm.model.RL_7.465
OG0000080	jg12190	evm.model.RL_2.499
OG0000080	jg32915, jg32919, jg32548, jg32861, jg32845, jg32993	evm.model.RL_5.2173
OG0000080	jg18020, jg18016	evm.model.RL_6.1107
OG0000081	jg2643	evm.model.RL_5.1972
OG0000081	jg5656	evm.model.RL_4.1833
OG0000081	jg1070, jg1395	evm.model.RL_4.293
OG0000084	jg16997	evm.model.RL_6.376
OG0000084	jg17005, jg20640	evm.model.RL_6.397
OG0000086	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410
OG0000087	jg6235	evm.model.RL_4.1345
OG0000087	jg17972	evm.model.RL_6.1057
OG0000087	jg14482	evm.model.RL_8.2340
OG0000087	jg5068	evm.model.RL_4.2360
OG0000087	jg18593	evm.model.RL_6.1567
OG0000087	jg20749	evm.model.RL_4.428
OG0000087	jg10485	evm.model.RL_2.1599
OG0000087	jg30528	evm.model.RL_5.1831
OG0000087	jg3235	evm.model.RL_3.1990
OG0000088	jg14230, jg14231, jg17633, jg14563, jg27525, jg14545, jg14558, jg14559, jg14561, jg14507	evm.model.RL_7.1629
OG0000088	jg21695	evm.model.RL_8.1137
OG0000089	jg4799	evm.model.RL_4.2603
OG0000089	jg26012, jg33022	evm.model.RL_1.1790.1.687c87ee
OG0000089	jg19507, jg19508, jg19509	evm.model.RL_6.2333
OG0000089	jg15311	evm.model.RL_6.1820
OG0000090	jg4483, jg30544, jg16631	evm.model.RL_5.1846
OG0000090	jg21183	evm.model.RL_4.706
OG0000090	jg3251	evm.model.RL_3.2006
OG0000090	jg15233, jg8905	evm.model.RL_2.2972
